DiseaseName	DiseaseID
Precursor Cell Lymphoblastic Leukemia-Lymphoma	D054198
Adenocarcinoma	D000230
Adenocarcinoma of Lung	D000077192
Alopecia	D000505
Androgen-Insensitivity Syndrome	D013734
Astrocytoma	D001254
Autistic Disorder	D001321
Breast Neoplasms	D001943
Breast Neoplasms, Male	D018567
Bulbospinal neuronopathy, X-linked recessive	C537017
Burkitt Lymphoma	D002051
Carcinoma	D002277
Carcinoma, Ductal	D044584
Carcinoma, Hepatocellular	D006528
Carcinoma, Merkel Cell	D015266
Carcinoma, Non-Small-Cell Lung	D002289
Carcinoma, Squamous Cell	D002294
Cardiomyopathy, Hypertrophic	D002312
Cell Transformation, Neoplastic	D002471
Chromosome Breakage	D019457
Cleft Lip	D002971
Cleft Palate	D002972
Colonic Neoplasms	D003110
Colorectal Neoplasms	D015179
Diabetes, Gestational	D016640
Disease Models, Animal	D004195
Disease Progression	D018450
Endometrial Neoplasms	D016889
Ependymoma	D004806
Fatty Liver	D005234
Genital Diseases, Male	D005832
Glioblastoma	D005909
Hemangiosarcoma	D006394
Hypertension	D006973
Hypertrophy, Left Ventricular	D017379
Hypospadias 1, X-Linked	C567482
Infertility, Female	D007247
Infertility, Male	D007248
Insulin Resistance	D007333
Leukemia	D007938
Leukemia, Myeloid, Acute	D015470
Liver Cirrhosis, Experimental	D008106
Liver Neoplasms	D008113
Liver Neoplasms, Experimental	D008114
Lung Neoplasms	D008175
Lymphoma, Large B-Cell, Diffuse	D016403
Medulloblastoma	D008527
Myelodysplastic Syndromes	D009190
Neoplasm Metastasis	D009362
Neoplasm Recurrence, Local	D009364
Neoplasms	D009369
Neuroblastoma	D009447
Neuroectodermal Tumors	D017599
Osteosarcoma	D012516
Ovarian Neoplasms	D010051
Pancreatic Neoplasms	D010190
Pheochromocytoma	D010673
Polycystic Kidney, Autosomal Dominant	D016891
Prostatic Intraepithelial Neoplasia	D019048
Prostatic Neoplasms	D011471
Prostatic Neoplasms, Castration-Resistant	D064129
Stomach Neoplasms	D013274
Urinary Bladder Neoplasms	D001749
Uterine Cervical Neoplasms	D002583
Wilms Tumor	D009396
Amphetamine-Related Disorders	D019969
Amyotrophic lateral sclerosis 1	C531617
Anxiety Disorders	D001008
Arthritis, Juvenile	D001171
Atrial Fibrillation, Familial, 3	C563817
Beckwith-Wiedemann Syndrome	D001506
Brain Diseases	D001927
Brain Injuries	D001930
Carcinoma, Ovarian Epithelial	D000077216
Cholestasis, Extrahepatic	D001651
Cocaine-Related Disorders	D019970
Developmental Disabilities	D002658
Diabetes Mellitus, Type 2	D003924
Endometriosis	D004715
Epilepsy	D004827
Epilepsy, Benign Neonatal	D020936
Fibrous Dysplasia of Bone	D005357
Hearing Loss, Noise-Induced	D006317
Heat Stroke	D018883
Hemorrhage	D006470
Hyperalgesia	D006930
Hyperkinesis	D006948
Infarction, Middle Cerebral Artery	D020244
Intestinal Neoplasms	D007414
Jervell-Lange Nielsen Syndrome	D029593
Long QT Syndrome	D008133
Nervous System Diseases	D009422
Neurodevelopmental Disorders	D065886
Neurotoxicity Syndromes	D020258
Obesity	D009765
Reperfusion Injury	D015427
Romano-Ward Syndrome	D029597
Seizures	D012640
Short QT Syndrome 2	C566505
Status Epilepticus	D013226
Substance Withdrawal Syndrome	D013375
Trigeminal Neuralgia	D014277
Abnormalities, Drug-Induced	D000014
Acute Lung Injury	D055371
Chemical and Drug Induced Liver Injury	D056486
Fever	D005334
Hypercholanemia, Familial	C564336
Lymphoma	D008223
Lymphoma, Non-Hodgkin	D008228
Mammary Neoplasms, Animal	D015674
Mammary Neoplasms, Experimental	D008325
Mesothelioma, Malignant	D000086002
Micronuclei, Chromosome-Defective	D048629
Multiple Myeloma	D009101
Myocardial Ischemia	D017202
Pre-Eclampsia	D011225
Pulmonary Disease, Chronic Obstructive	D029424
Pulmonary Emphysema	D011656
Skin Neoplasms	D012878
Acute Kidney Injury	D058186
Adrenocortical Carcinoma	D018268
Arthritis, Experimental	D001169
Arthritis, Rheumatoid	D001172
Atrial Fibrillation	D001281
Cardiovascular Diseases	D002318
Drug Metabolism, Poor, CYP2C19-Related	C563703
Drug-Related Side Effects and Adverse Reactions	D064420
Escherichia coli Infections	D004927
Esophageal Neoplasms	D004938
Genetic Predisposition to Disease	D020022
Heart Defects, Congenital	D006330
Hematologic Neoplasms	D019337
Hypotension, Orthostatic	D007024
Inflammatory Bowel Disease 13	C567384
Kidney Failure, Chronic	D007676
Kidney Neoplasms	D007680
Marijuana Abuse	D002189
Mental Disorders	D001523
Nausea	D009325
Neutropenia	D009503
Pain, Postoperative	D010149
Parkinson Disease	D010300
Parkinson Disease, Secondary	D010302
Peripheral Nervous System Diseases	D010523
Poisoning	D011041
Primary Ovarian Insufficiency	D016649
Squamous Cell Carcinoma of Head and Neck	D000077195
