ChemicalName	ChemicalID	CasRN
10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide	C004822	35079-97-1
10-(alpha-diethylaminopropionyl)phenothiazine	C013759	63834-04-8
10-decarbamoylmitomycin C	C067795	26909-37-5
10-formyltetrahydropteroylglutamic acid	C010161	2800-34-2
10-hydroxycamptothecin	C028098	67656-30-8
10-hydroxynortriptyline	C013567	1156-99-6
10-hydroxywarfarin	C065719	83219-99-2
1,10-phenanthroline	C025205	66-71-7
11,12,15-trihydroxyeicosatrienoic acid	C066049	82144-59-0
1,1,1,2-tetrafluoro-2-chloroethane	C072959	2837-89-0
11,14,15-trihydroxyeicosa-5,8,12-trienoic acid	C051283	79595-81-6
11,17-dihydroxy-6-methyl-17-(1-propynyl)androsta-1,4,6-triene-3-one	C049154	74915-64-3
1,1,1-trichloroethane	C024566	71-55-6
1,1,2,2-tetrabromoethane	C037530	79-27-6
1,1,2,2-tetrachloroethane	C015530	79-34-5
1,12-benzoperylene	C006718	191-24-2
1,1,2-trichloroethane	C024567	79-00-5
1-(1,3-benzodioxol-5-ylcarbonyl)piperidine	C085415	34023-62-6
1,1-bis(4-hydroxyphenyl)-2-phenylbut-1-ene	C052383	91221-46-4
11-(dansylamino)undecanoic acid	C054400	73025-02-2
11-dehydrocorticosterone	C003552	72-23-1
11-dehydro-thromboxane B2	C049235	67910-12-7
11-deoxy-16-phenoxy-17,18,19,20-tetranorprostaglandin E1	C032405	80558-61-8
11-deoxyprostaglandin E1	C034008	37786-00-8
1,1-dichloro-2,2-difluoroethylene	C054365	79-35-6
1,1-dichloroethane	C501196	75-34-3
1,1-diethyl-2-hydroxy-2-nitrosohydrazine	C084012	86831-65-4
1,1-diphenyl-2-picrylhydrazyl	C004931	1898-66-4
1,1-diphenylhydrazine	C037220	530-50-7
1,1-ethanediol	C041868	4433-56-1
11-hydroxy-5,8,12,14-eicosatetraenoic acid	C027356	73151-66-3
11-hydroxyandrostenedione	C003582	564-32-9
11-hydroxy-delta(9)-tetrahydrocannabinol	C001427	26108-40-7
11-hydroxytestosterone	C037914	1816-85-9
11-ketotestosterone	C003600	53187-98-7
1-(1-naphthyl)piperazine	C048241	57536-86-4
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid	C016780	64280-14-4
11-oxo-delta(8)-tetrahydrocannabinol	C020443	53865-18-2
1,2,3,4,5,6-hexachloronaphthalene	C049022	58877-88-6
1,2,3,4,6,7,8-heptachlorodibenzodioxin	C046839	35822-46-9
1,2,3,4,7,8-hexachlorodibenzodioxin	C078219	39227-28-6
1,2,3,4,7,8-hexachlorodibenzofuran	C051412	70648-26-9
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole	C063159	130495-35-1
1,2,3,4-tetrachlorodibenzodioxin	C092155	30746-58-8
1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid	C078986	35186-99-3
1,2,3,5-tetrachlorobenzene	C030387	634-90-2
