DiseaseID	DiseaseName	CasRN	ChemicalName	Score
D000196	Actinomycosis	74431-23-5	Imipenem	0.0
D000196	Actinomycosis	3098-60-0	morphocycline	0.0
D000196	Actinomycosis	157044-21-8	Piperacillin, Tazobactam Drug Combination	0.0
D000196	Actinomycosis	126602-89-9	quinupristin-dalfopristin	0.0
D000196	Actinomycosis	57-92-1	Streptomycin	0.0
D000787	Angina Pectoris	37517-30-9	Acebutolol	0.0
D000787	Angina Pectoris	33178-86-8	alinidine	0.0
D000787	Angina Pectoris	13655-52-2	Alprenolol	0.0
D000787	Angina Pectoris	2609-46-3	Amiloride	0.0
D000787	Angina Pectoris	317-34-0	Aminophylline	0.0
D000787	Angina Pectoris	1951-25-3	Amiodarone	0.0
D000787	Angina Pectoris	50-48-6	Amitriptyline	0.0
D000787	Angina Pectoris	88150-42-9	Amlodipine	0.0
D000787	Angina Pectoris	74469-00-4	Amoxicillin-Potassium Clavulanate Combination	0.0
D000787	Angina Pectoris	50-78-2	Aspirin	0.0
D000787	Angina Pectoris	29122-68-7	Atenolol	0.0
D000787	Angina Pectoris	51-55-8	Atropine	0.0
D000787	Angina Pectoris	64706-54-3	Bepridil	0.0
D000787	Angina Pectoris	63659-18-7	Betaxolol	0.0
D000787	Angina Pectoris	66722-44-9	Bisoprolol	0.0
D000787	Angina Pectoris	72956-09-3	Carvedilol	0.0
D000787	Angina Pectoris	56980-93-9	Celiprolol	0.0
D000787	Angina Pectoris	92077-78-6	Cilazapril	0.0
D000787	Angina Pectoris	637-07-0	Clofibrate	0.0
D000787	Angina Pectoris	439-14-5	Diazepam	0.0
D000787	Angina Pectoris	20830-75-5	Digoxin	0.0
D000787	Angina Pectoris	42399-41-7	Diltiazem	0.0
D000787	Angina Pectoris	35121-78-9	Epoprostenol	0.0
D000787	Angina Pectoris	77862-92-1	falipamil	0.0
D000787	Angina Pectoris	72509-76-3	Felodipine	0.0
D000787	Angina Pectoris	13042-18-7	Fendiline	0.0
D000787	Angina Pectoris	87721-62-8	flestolol	0.0
D000787	Angina Pectoris	16662-47-8	Gallopamil	0.0
D000787	Angina Pectoris	9005-49-6	Heparin	0.0
D000787	Angina Pectoris	58-93-5	Hydrochlorothiazide	0.0
D000787	Angina Pectoris	78919-13-8	Iloprost	0.0
D000787	Angina Pectoris	7683-59-2	Isoproterenol	0.0
D000787	Angina Pectoris	87-33-2	Isosorbide Dinitrate	0.0
D000787	Angina Pectoris	16051-77-7	isosorbide-5-mononitrate	0.0
D000787	Angina Pectoris	75695-93-1	Isradipine	0.0
D000787	Angina Pectoris	134186-26-8	KF 14124	0.0
D000787	Angina Pectoris	36894-69-6	Labetalol	0.0
D000787	Angina Pectoris	94985-29-2	MDL 72567	0.0
D000787	Angina Pectoris	37350-58-6	Metoprolol	0.0
D000787	Angina Pectoris	116644-53-2	Mibefradil	0.0
D000787	Angina Pectoris	25717-80-0	Molsidomine	0.0
D000787	Angina Pectoris	134431-49-5	N-cyano-N'-(2-nitroxyethyl)-3-pyridinecarboximidamide methanesulfonate	0.0
D000787	Angina Pectoris	55985-32-5	Nicardipine	0.0
D000787	Angina Pectoris	65141-46-0	Nicorandil	0.0
D000787	Angina Pectoris	21829-25-4	Nifedipine	0.0
D000787	Angina Pectoris	63675-72-9	Nisoldipine	0.0
D000787	Angina Pectoris	7697-37-2	Nitric Acid	0.0
