CasRN	ChemicalName	DiseaseID	DiseaseName	Score
34522-38-8	1'-methylspiro(adamantane-2,3'-pyrrolidine)maleate	D007251	Influenza, Human	0.0
139890-68-9	1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	D014693	Ventricular Fibrillation	0.0
611-59-6	1,7-dimethylxanthine	D029424	Pulmonary Disease, Chronic Obstructive	0.0
48144-44-1	1-(3-chlorophenyl)biguanide	D006973	Hypertension	0.0
107767-55-5	1-(5-hydroxy-5-methylhexyl)-3-methylxanthine	D002177	Candidiasis	0.0
9088-01-1	1-Sarcosine-8-Isoleucine Angiotensin II	D006973	Hypertension	0.0
6874-80-2	13-hydroxylupanine-2-pyrrolecarbonic acid	D001145	Arrhythmias, Cardiac	0.0
6874-80-2	13-hydroxylupanine-2-pyrrolecarbonic acid	D014693	Ventricular Fibrillation	0.0
102492-19-3	14-dehydroxy-3-glucodigitoxigenin	D006333	Heart Failure	0.0
33100-27-5	15-crown-5	D017202	Myocardial Ischemia	0.0
52670-65-2	17-pentylsparteine	D001145	Arrhythmias, Cardiac	0.0
1449-05-4	18alpha-glycyrrhetinic acid	D006976	Hypertension, Pulmonary	0.0
53209-27-1	2''-galloylhyperin	D011654	Pulmonary Edema	0.0
67287-49-4	2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine	D012893	Sleep Wake Disorders	0.0
490-79-9	2,5-dihydroxybenzoic acid	D009202	Cardiomyopathies	0.0
92891-93-5	2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide	D009303	Nasopharyngeal Neoplasms	0.0
72583-92-7	2-(2-benzofuranyl)-2-imidazoline	D001145	Arrhythmias, Cardiac	0.0
154447-36-6	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one	D007022	Hypotension	0.0
154447-36-6	2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one	D009362	Neoplasm Metastasis	0.0
163042-96-4	2-chloro-N(6)-(3-iodobenzyl)adenosine-5'-N-methyluronamide	D009203	Myocardial Infarction	0.0
146-77-0	2-Chloroadenosine	D009203	Myocardial Infarction	0.0
88-14-2	2-furoic acid	D008175	Lung Neoplasms	0.0
362-07-2	2-Methoxyestradiol	D006332	Cardiomegaly	0.0
362-07-2	2-Methoxyestradiol	D006976	Hypertension, Pulmonary	0.0
102575-24-6	2-methoxyidazoxan	D007022	Hypotension	0.0
53296-10-9	2-phenylaminoadenosine	D017202	Myocardial Ischemia	0.0
2409-55-4	2-tert-butyl-4-methylphenol	D008175	Lung Neoplasms	0.0
1948-33-0	2-tert-butylhydroquinone	D006332	Cardiomegaly	0.0
1948-33-0	2-tert-butylhydroquinone	D006973	Hypertension	0.0
528-74-5	3',5'-dichloromethotrexate	D008175	Lung Neoplasms	0.0
4339-71-3	3,3',4,5'-tetrahydroxystilbene	D006332	Cardiomegaly	0.0
4339-71-3	3,3',4,5'-tetrahydroxystilbene	D009362	Neoplasm Metastasis	0.0
67198-13-4	3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer	D001145	Arrhythmias, Cardiac	0.0
6957-27-3	3,4-dihydropapaverine	D006973	Hypertension	0.0
143578-51-2	3,6-dimethylaminodibenzopyridonium edetate	D001145	Arrhythmias, Cardiac	0.0
143578-51-2	3,6-dimethylaminodibenzopyridonium edetate	D017180	Tachycardia, Ventricular	0.0
143578-51-2	3,6-dimethylaminodibenzopyridonium edetate	D014693	Ventricular Fibrillation	0.0
143578-51-2	3,6-dimethylaminodibenzopyridonium edetate	D018879	Ventricular Premature Complexes	0.0
76144-81-5	3-(2,2,2-trimethylhydrazine)propionate	D006333	Heart Failure	0.0
162011-83-8	3-(3,4-difluorophenyl)-4-(4-(methylsulfonyl)phenyl)-2(5H)-furanone	D006333	Heart Failure	0.0
130061-81-3	3-hydroxy-10,11-dihydroquinidine	D001145	Arrhythmias, Cardiac	0.0
130061-81-3	3-hydroxy-10,11-dihydroquinidine	D017180	Tachycardia, Ventricular	0.0
577-85-5	3-hydroxyflavone	D009362	Neoplasm Metastasis	0.0
5142-23-4	3-methyladenine	D006333	Heart Failure	0.0
130603-71-3	4(G)-alpha-glucopyranosyl-rutin	D009202	Cardiomyopathies	0.0
101-77-9	4,4'-diaminodiphenylmethane	D009362	Neoplasm Metastasis	0.0
504-24-5	4-Aminopyridine	D001145	Arrhythmias, Cardiac	0.0
504-24-5	4-Aminopyridine	D007022	Hypotension	0.0
1076-38-6	4-hydroxycoumarin	D009362	Neoplasm Metastasis	0.0
4843-98-5	4-hydroxypyrazole	D008175	Lung Neoplasms	0.0
1821-12-1	4-phenylbutyric acid	D009203	Myocardial Infarction	0.0
3317-61-1	5,5-dimethyl-1-pyrroline-1-oxide	D009202	Cardiomyopathies	0.0
29347-89-5	5,6,7,8-tetrahydrofolic acid	D018376	Cardiovascular Abnormalities	0.0
5090-36-8	5,6-Dihydroxytryptamine	D007022	Hypotension	0.0
31363-74-3	5,7-Dihydroxytryptamine	D007022	Hypotension	0.0
1191-85-1	5,8,11,14-Eicosatetraynoic Acid	D011654	Pulmonary Edema	0.0
213252-19-8	5-((2,4-dioxo-5-thiazolidinyl)methyl)-2-methoxy-N-((4-(trifluoromethyl)phenyl)methyl)benzamide	D003920	Diabetes Mellitus	0.0
153042-42-3	5-(dimethylamino)-N-(3,4-dimethyl-5-isoxazolyl)-1-naphthalenesulfonamide	D006973	Hypertension	0.0
624-00-0	5-hydroxydecanoic acid	D006973	Hypertension	0.0
484-20-8	5-Methoxypsoralen	D006332	Cardiomegaly	0.0
484-20-8	5-Methoxypsoralen	D009203	Myocardial Infarction	0.0
34661-85-3	5-methylurapidil	D006973	Hypertension	0.0
115066-14-3	6-Cyano-7-nitroquinoxaline-2,3-dione	D006973	Hypertension	0.0
56305-04-5	6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid	D009202	Cardiomyopathies	0.0
50608-63-4	6-methyl-1,2,3,5-tetrahydroimidazo(2,1-b)quinazolin-2-one hydrochloride	D009203	Myocardial Infarction	0.0
115039-00-4	6-methyl-1,3,8-trichlorodibenzofuran	D008175	Lung Neoplasms	0.0
115039-00-4	6-methyl-1,3,8-trichlorodibenzofuran	D009362	Neoplasm Metastasis	0.0
57987-77-6	7,8-dichloro-1,2,3,4-tetrahydroisoquinoline	D007022	Hypotension	0.0
93-35-6	7-hydroxycoumarin	D006332	Cardiomegaly	0.0
79821-50-4	7-oxoprostaglandin I2	D001145	Arrhythmias, Cardiac	0.0
94899-83-9	711389-S	D001145	Arrhythmias, Cardiac	0.0
94899-83-9	711389-S	D001281	Atrial Fibrillation	0.0
94899-83-9	711389-S	D018879	Ventricular Premature Complexes	0.0
148589-13-3	8-(3-chlorostyryl)caffeine	D007022	Hypotension	0.0
80206-91-3	8-(4-sulfophenyl)theophylline	D007022	Hypotension	0.0
78950-78-4	8-Hydroxy-2-(di-n-propylamino)tetralin	D006973	Hypertension	0.0
961-45-5	8-phenyltheophylline	D007022	Hypotension	0.0
6267-02-3	9,9-dimethylcarbazine	D014376	Tuberculosis	0.0
60203-57-8	9-deoxy-delta-9-prostaglandin D2	D008175	Lung Neoplasms	0.0
56180-94-0	Acarbose	D002312	Cardiomyopathy, Hypertrophic	0.0
56180-94-0	Acarbose	D003924	Diabetes Mellitus, Type 2	0.0
56180-94-0	Acarbose	D009765	Obesity	0.0
37517-30-9	Acebutolol	D000787	Angina Pectoris	0.0
37517-30-9	Acebutolol	D001145	Arrhythmias, Cardiac	0.0
37517-30-9	Acebutolol	D006973	Hypertension	0.0
37517-30-9	Acebutolol	D017202	Myocardial Ischemia	0.0
37517-30-9	Acebutolol	D014693	Ventricular Fibrillation	0.0
37517-30-9	Acebutolol	D018879	Ventricular Premature Complexes	0.0
32795-44-1	Acecainide	D018879	Ventricular Premature Complexes	0.0
89796-99-6	aceclofenac	D001172	Arthritis, Rheumatoid	0.0
152-72-7	Acenocoumarol	D001145	Arrhythmias, Cardiac	0.0
152-72-7	Acenocoumarol	D001281	Atrial Fibrillation	0.0
152-72-7	Acenocoumarol	D012214	Rheumatic Heart Disease	0.0
