GeneID	GeneSymbol	# drug associations
1	A1BG	3
29974	A1CF	1
2	A2M	9
8086	AAAS	2
65985	AACS	2
13	AADAC	3
79719	AAGAB	2
22848	AAK1	4
28971	AAMDC	3
14	AAMP	1
25980	AAR2	2
16	AARS1	4
57505	AARS2	1
80755	AARSD1	1
132949	AASDH	1
60496	AASDHPPT	1
10157	AASS	2
26574	AATF	3
9625	AATK	1
18	ABAT	5
19	ABCA1	32
154664	ABCA13	1
10351	ABCA8	4
5243	ABCB1	156
8647	ABCB11	83
18671	ABCB1A	2
5244	ABCB4	27
340273	ABCB5	1
10058	ABCB6	5
22	ABCB7	1
11194	ABCB8	1
4363	ABCC1	72
85320	ABCC11	2
1244	ABCC2	70
8714	ABCC3	30
10257	ABCC4	44
10057	ABCC5	19
368	ABCC6	7
6833	ABCC8	1
10060	ABCC9	1
215	ABCD1	1
5825	ABCD3	2
5826	ABCD4	1
6059	ABCE1	2
23	ABCF1	5
10061	ABCF2	2
55324	ABCF3	2
9619	ABCG1	5
9429	ABCG2	60
64240	ABCG5	2
64241	ABCG8	2
55347	ABHD10	2
83451	ABHD11	3
26090	ABHD12	2
145447	ABHD12B	1
84836	ABHD14B	3
7920	ABHD16A	3
80167	ABHD18	1
11057	ABHD2	2
51099	ABHD5	2
10006	ABI1	3
10152	ABI2	2
45821	ABL	1
25	ABL1	17
27	ABL2	2
3983	ABLIM1	7
29	ABR	2
58527	ABRACL	1
84142	ABRAXAS1	1
23172	ABRAXAS2	3
25841	ABTB2	1
30	ACAA1	6
10449	ACAA2	3
31	ACACA	22
32	ACACB	6
84129	ACAD11	1
27034	ACAD8	1
28976	ACAD9	2
33	ACADL	5
34	ACADM	6
35	ACADS	1
36	ACADSB	2
37	ACADVL	7
176	ACAN	2
23527	ACAP2	3
38	ACAT1	5
39	ACAT2	4
64746	ACBD3	3
91452	ACBD5	3
414149	ACBD7	1
65057	ACD	2
1636	ACE	19
59272	ACE2	7
43	ACHE	37
22985	ACIN1	3
2532	ACKR1	1
57007	ACKR3	1
47	ACLY	9
48	ACO1	8
50	ACO2	6
641371	ACOT1	3
55856	ACOT13	4
10965	ACOT2	1
11332	ACOT7	3
10005	ACOT8	1
