MeSH Disease ID	MeSH Disease Term
D058165	22q11 Deletion Syndrome
D058489	46, XX Disorders of Sex Development
D058490	46, XY Disorders of Sex Development
D000182	ACTH Syndrome, Ectopic
D049913	ACTH-Secreting Pituitary Adenoma
D020943	AIDS Arteritis, Central Nervous System
D015526	AIDS Dementia Complex
D016263	AIDS-Associated Nephropathy
D000386	AIDS-Related Complex
D017088	AIDS-Related Opportunistic Infections
D018784	Abdominal Abscess
D000007	Abdominal Injuries
D000008	Abdominal Neoplasms
D020434	Abducens Nerve Diseases
D020222	Abducens Nerve Injury
D000012	Abetalipoproteinemia
D000014	Abnormalities, Drug-Induced
D000015	Abnormalities, Multiple
D000016	Abnormalities, Radiation-Induced
D009008	Abnormalities, Severe Teratoid
D000026	Abortion, Habitual
D000027	Abortion, Incomplete
D000030	Abortion, Missed
D000031	Abortion, Septic
D000022	Abortion, Spontaneous
D000033	Abortion, Threatened
D000034	Abortion, Veterinary
D000037	Abruptio Placentae
D000038	Abscess
D042101	Acalculous Cholecystitis
D015823	Acanthamoeba Keratitis
D000051	Acantholysis
D000052	Acanthosis Nigricans
D020642	Acatalasia
D016170	Accelerated Idioventricular Rhythm
D020436	Accessory Nerve Diseases
D000126	Achlorhydria
D000130	Achondroplasia
D000137	Acid-Base Imbalance
D000138	Acidosis
D000140	Acidosis, Lactic
D000141	Acidosis, Renal Tubular
D000142	Acidosis, Respiratory
D000151	Acinetobacter Infections
D000153	Acne Keloid
D000152	Acne Vulgaris
D017486	Acneiform Eruptions
D020083	Acquired Hyperostosis Syndrome
D000163	Acquired Immunodeficiency Syndrome
D030981	Acro-Osteolysis
D055673	Acrocallosal Syndrome
D000168	Acrocephalosyndactylia
D000169	Acrodermatitis
D000170	Acrodynia
D000172	Acromegaly
D018250	Acrospiroma
D000189	Actinobacillus Infections
D000193	Actinomycetales Infections
D000196	Actinomycosis
D000197	Actinomycosis, Cervicofacial
D020016	Activated Protein C Resistance
D056586	Acute Chest Syndrome
D054058	Acute Coronary Syndrome
D000208	Acute Disease
D056150	Acute Generalized Exanthematous Pustulosis
D058186	Acute Kidney Injury
D055371	Acute Lung Injury
D000210	Acute-Phase Reaction
D050398	Adamantinoma
D000219	Adams-Stokes Syndrome
D000224	Addison Disease
D000230	Adenocarcinoma
D002282	Adenocarcinoma, Bronchiolo-Alveolar
D018262	Adenocarcinoma, Clear Cell
D018263	Adenocarcinoma, Follicular
D002288	Adenocarcinoma, Mucinous
D000231	Adenocarcinoma, Papillary
D002293	Adenocarcinoma, Scirrhous
D018266	Adenocarcinoma, Sebaceous
D000232	Adenofibroma
D000235	Adenolymphoma
D000236	Adenoma
D000239	Adenoma, Acidophil
D000237	Adenoma, Basophil
D002759	Adenoma, Bile Duct
D000238	Adenoma, Chromophobe
D007516	Adenoma, Islet Cell
D018248	Adenoma, Liver Cell
D018249	Adenoma, Oxyphilic
D008949	Adenoma, Pleomorphic
D006607	Adenoma, Sweat Gland
D018253	Adenoma, Villous
D018254	Adenomatoid Tumor
D011125	Adenomatous Polyposis Coli
D018256	Adenomatous Polyps
D018194	Adenomyoma
D018195	Adenosarcoma
D000257	Adenoviridae Infections
D000258	Adenovirus Infections, Human
D000270	Adie Syndrome
D000274	Adiposis Dolorosa
D000275	Adjustment Disorders
D000291	Adnexal Diseases
D000303	Adrenal Cortex Diseases
D000306	Adrenal Cortex Neoplasms
D000307	Adrenal Gland Diseases
D000310	Adrenal Gland Neoplasms
D000312	Adrenal Hyperplasia, Congenital
D000309	Adrenal Insufficiency
D000314	Adrenal Rest Tumor
D018246	Adrenocortical Adenoma
D018268	Adrenocortical Carcinoma
D000308	Adrenocortical Hyperfunction
D047808	Adrenogenital Syndrome
D000326	Adrenoleukodystrophy
D000341	Affective Disorders, Psychotic
D000343	Afferent Loop Syndrome
D000347	Afibrinogenemia
D000357	African Swine Fever
D000361	Agammaglobulinemia
D000370	Ageusia
D010520	Aggressive Periodontitis
D000377	Agnosia
D000379	Agoraphobia
D000380	Agranulocytosis
D000381	Agraphia
D000382	Agricultural Workers' Diseases
D058540	Aicardi Syndrome
D000387	Ainhum
D000402	Airway Obstruction
D017109	Akathisia, Drug-Induced
D000405	Akinetic Mutism
D016738	Alagille Syndrome
D000417	Albinism
D016117	Albinism, Ocular
D016115	Albinism, Oculocutaneous
D000419	Albuminuria
D000425	Alcohol Amnestic Disorder
D000430	Alcohol Withdrawal Delirium
D020270	Alcohol Withdrawal Seizures
D020751	Alcohol-Induced Disorders
D020268	Alcohol-Induced Disorders, Nervous System
D019973	Alcohol-Related Disorders
D000435	Alcoholic Intoxication
D020269	Alcoholic Neuropathy
D000437	Alcoholism
D000453	Aleutian Mink Disease
D038261	Alexander Disease
D020237	Alexia, Pure
D055964	Alien Hand Syndrome
D000471	Alkalosis
D000472	Alkalosis, Respiratory
D000474	Alkaptonuria
D000505	Alopecia
D000506	Alopecia Areata
D018354	Alphavirus Infections
D056769	Alstrom Syndrome
D000532	Altitude Sickness
D016301	Alveolar Bone Loss
D000542	Alveolitis, Extrinsic Allergic
D000544	Alzheimer Disease
D020757	Amaurosis Fugax
D000550	Amblyopia
D000562	Amebiasis
D000564	Ameloblastoma
D000567	Amelogenesis Imperfecta
D000568	Amenorrhea
D000592	Amino Acid Metabolism, Inborn Errors
D020157	Amino Acid Transport Disorders, Inborn
D000647	Amnesia
D020324	Amnesia, Anterograde
D000648	Amnesia, Retrograde
D020236	Amnesia, Transient Global
D000652	Amniotic Band Syndrome
D019969	Amphetamine-Related Disorders
D000673	Amputation, Traumatic
