MeSH Disease ID	MeSH Disease Term	MeSH Symptom ID	MeSH Symptom Term	TFIDF score	PubMed occurrence
D000196	Actinomycosis	D000006	Abdomen, Acute	23.001602087672453	16
D000196	Actinomycosis	D015746	Abdominal Pain	35.63631448219113	42
D000196	Actinomycosis	D000550	Amblyopia	2.5635282297946014	1
D000196	Actinomycosis	D000855	Anorexia	1.8252606139541865	1
D000196	Actinomycosis	D001259	Ataxia	1.2196597127769402	1
D000196	Actinomycosis	D001835	Body Weight	1.3719513885790602	4
D000196	Actinomycosis	D002100	Cachexia	3.9894480316095446	2
D000196	Actinomycosis	D002637	Chest Pain	6.597364982138956	6
D000196	Actinomycosis	D003128	Coma	1.312084812843242	1
D000196	Actinomycosis	D003244	Consciousness Disorders	0.8771292762243725	1
D000196	Actinomycosis	D003248	Constipation	4.7817464805796766	3
D000196	Actinomycosis	D003371	Cough	13.147291510963322	10
D000196	Actinomycosis	D003967	Diarrhea	3.6927525243292414	4
D000196	Actinomycosis	D004172	Diplopia	3.288330597766952	2
D000196	Actinomycosis	D004401	Dysarthria	2.0265851178737564	1
D000196	Actinomycosis	D004487	Edema	2.383512376411528	4
D000196	Actinomycosis	D005221	Fatigue	2.2760263110428585	2
D000196	Actinomycosis	D005334	Fever	14.235565542515824	23
D000196	Actinomycosis	D005335	Fever of Unknown Origin	4.419464750013133	3
D000196	Actinomycosis	D006209	Halitosis	6.482815876447517	2
D000196	Actinomycosis	D006261	Headache	2.653692764135672	3
D000196	Actinomycosis	D006311	Hearing Disorders	0.7350165749565932	1
D000196	Actinomycosis	D034381	Hearing Loss	0.8035505446228293	1
D000196	Actinomycosis	D006314	Hearing Loss, Conductive	4.534840434057497	2
D000196	Actinomycosis	D006319	Hearing Loss, Sensorineural	1.2148558604642947	1
D000196	Actinomycosis	D006396	Hematemesis	4.171723455606593	2
D000196	Actinomycosis	D006423	Hemianopsia	2.082052199386629	1
D000196	Actinomycosis	D006469	Hemoptysis	45.821007815496756	27
D000196	Actinomycosis	D008607	Mental Retardation	1.810893368145429	2
D000196	Actinomycosis	D018908	Muscle Weakness	3.971964326811448	4
D000196	Actinomycosis	D009325	Nausea	1.1387530741641398	1
D000196	Actinomycosis	D009437	Neuralgia	1.5383141060813592	1
D000196	Actinomycosis	D009767	Obesity, Morbid	3.5058799047491203	2
D000196	Actinomycosis	D009886	Ophthalmoplegia	3.989541807549248	3
D000196	Actinomycosis	D009912	Oral Manifestations	1.865776282847908	1
D000196	Actinomycosis	D010146	Pain	1.6469335431537004	5
D000196	Actinomycosis	D010243	Paralysis	0.4844713774828484	1
D000196	Actinomycosis	D020335	Paraparesis	2.2358860726216605	1
D000196	Actinomycosis	D010264	Paraplegia	3.8324378509972994	3
D000196	Actinomycosis	D010291	Paresis	5.150943135331822	4
D000196	Actinomycosis	D017699	Pelvic Pain	10.205390625881616	5
D000196	Actinomycosis	D012640	Seizures	2.5355007765642417	3
D000196	Actinomycosis	D012877	Skin Manifestations	0.6123572181015575	1
D000196	Actinomycosis	D013851	Thinness	2.6705996098560565	1
D000196	Actinomycosis	D014550	Urinary Incontinence, Stress	5.604351935289552	2
D000196	Actinomycosis	D014839	Vomiting	1.687025330850775	2
D000196	Actinomycosis	D015431	Weight Loss	8.000429691049398	8
D000542	Alveolitis, Extrinsic Allergic	D000860	Anoxia	1.00198857170747	1
D000542	Alveolitis, Extrinsic Allergic	D018771	Arthralgia	1.4773000003262131	1
D000542	Alveolitis, Extrinsic Allergic	D001835	Body Weight	0.34298784714476505	1
D000542	Alveolitis, Extrinsic Allergic	D002637	Chest Pain	1.0995608303564923	1
D000542	Alveolitis, Extrinsic Allergic	D003371	Cough	19.720937266444984	15
D000542	Alveolitis, Extrinsic Allergic	D003490	Cyanosis	1.7434095875238662	1
D000542	Alveolitis, Extrinsic Allergic	D004417	Dyspnea	32.16709380926775	32
D000542	Alveolitis, Extrinsic Allergic	D004487	Edema	1.191756188205764	2
D000542	Alveolitis, Extrinsic Allergic	D005334	Fever	12.997690277949234	21
D000542	Alveolitis, Extrinsic Allergic	D005335	Fever of Unknown Origin	4.419464750013133	3
D000542	Alveolitis, Extrinsic Allergic	D006469	Hemoptysis	1.6970743635369168	1
D000542	Alveolitis, Extrinsic Allergic	D006942	Hypergammaglobulinemia	6.716500654827742	4
D000542	Alveolitis, Extrinsic Allergic	D009325	Nausea	2.27750614832828	2
D000542	Alveolitis, Extrinsic Allergic	D009461	Neurologic Manifestations	0.13988282635066876	2
D000542	Alveolitis, Extrinsic Allergic	D011602	Psychophysiologic Disorders	1.482505634153478	1
D000542	Alveolitis, Extrinsic Allergic	D012135	Respiratory Sounds	14.753423954441425	9
D000542	Alveolitis, Extrinsic Allergic	D014839	Vomiting	0.8435126654253875	1
D000542	Alveolitis, Extrinsic Allergic	D015431	Weight Loss	2.0001074227623494	2
D000787	Angina Pectoris	D000006	Abdomen, Acute	2.8752002609590566	2
D000787	Angina Pectoris	D015746	Abdominal Pain	2.545451034442224	3
D000787	Angina Pectoris	D054058	Acute Coronary Syndrome	283.1776864575533	109
