Disease	DiseaseName	D000006	D000334	D000370	D000377	D000419	D000550	D000647	D000648	D000787	D000788	D000789	D000849	D000855	D000857	D000860	D001037	D001039	D001041	D001044	D001049	D001072	D001184	D001247	D001259	D001264	D001308	D001405	D001416	D001724	D001750	D001766	D001835	D001836	D002032	D002100	D002303	D002375	D002389	D002524	D002558	D002559	D002637	D002639	D002819	D003085	D003117	D003128	D003147	D003221	D003244	D003248	D003303	D003371	D003490	D003638	D003639	D003655	D003693	D003967	D003968	D004172	D004244	D004401	D004408	D004410	D004411	D004412	D004415	D004417	D004418	D004421	D004433	D004438	D004487	D004489	D004614	D004688	D004884	D005130	D005132	D005157	D005158	D005207	D005221	D005222	D005262	D005311	D005316	D005320	D005334	D005335	D005414	D005483	D005683	D005926	D006209	D006212	D006261	D006311	D006312	D006313	D006314	D006315	D006316	D006317	D006319	D006337	D006356	D006396	D006423	D006429	D006456	D006469	D006472	D006606	D006628	D006685	D006732	D006930	D006935	D006939	D006941	D006942	D006948	D006963	D006985	D006987	D007035	D007040	D007088	D007383	D007565	D007805	D007806	D007859	D008569	D008580	D008607	D009041	D009058	D009120	D009122	D009123	D009127	D009128	D009133	D009155	D009207	D009222	D009325	D009437	D009461	D009765	D009767	D009846	D009886	D009912	D010146	D010148	D010149	D010167	D010243	D010264	D010291	D010292	D010468	D010591	D011141	D011304	D011507	D011537	D011595	D011596	D011602	D011681	D011693	D011694	D011695	D011696	D011697	D011782	D012021	D012133	D012135	D012585	D012607	D012640	D012678	D012877	D012892	D012893	D012912	D012913	D013035	D013064	D013342	D013494	D013575	D013651	D013746	D013851	D014008	D014012	D014098	D014103	D014202	D014313	D014474	D014549	D014550	D014717	D014770	D014786	D014826	D014832	D014839	D014840	D014884	D015160	D015354	D015430	D015431	D015746	D015845	D015875	D015877	D016534	D016553	D016857	D017109	D017116	D017246	D017699	D018437	D018458	D018476	D018489	D018496	D018589	D018614	D018771	D018908	D019080	D019462	D019547	D019569	D019575	D019584	D019588	D019591	D019954	D020069	D020233	D020234	D020235	D020236	D020237	D020240	D020250	D020323	D020324	D020335	D020336	D020385	D020567	D020757	D020795	D020820	D020828	D020886	D021501	D023341	D034381	D037061	D041781	D045262	D046088	D046089	D046608	D048949	D050177	D051346	D051474	D052245	D053120	D053158	D053159	D053201	D053202	D053448	D053565	D053584	D053591	D053608	D053609	D054058	D054068	D054160	D054971	D055154	D055665	D055948	D056844	D058447	D058568
D000196	Actinomycosis	23.001602087672453	0	0	0	0	2.5635282297946014	0	0	0	0	0	0	1.8252606139541865	0	0	0	0	0	0	0	0	0	0	1.2196597127769402	0	0	0	0	0	0	0	1.3719513885790602	0	0	3.9894480316095446	0	0	0	0	0	0	6.597364982138956	0	0	0	0	1.312084812843242	0	0	0.8771292762243725	4.7817464805796766	0	13.147291510963322	0	0	0	0	0	3.6927525243292414	0	3.288330597766952	0	2.0265851178737564	0	0	0	0	0	0	0	0	0	0	2.383512376411528	0	0	0	0	0	0	0	0	0	2.2760263110428585	0	0	0	0	0	14.235565542515824	4.419464750013133	0	0	0	0	6.482815876447517	0	2.653692764135672	0.7350165749565932	0	0	4.534840434057497	0	0	0	1.2148558604642947	0	0	4.171723455606593	2.082052199386629	0	0	45.821007815496756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.810893368145429	0	0	0	0	0	0	0	0	0	0	0	1.1387530741641398	1.5383141060813592	0	0	3.5058799047491203	0	3.989541807549248	1.865776282847908	1.6469335431537004	0	0	0	0.4844713774828484	3.8324378509972994	5.150943135331822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5355007765642417	0	0.6123572181015575	0	0	0	0	0	0	0	0	0	0	0	2.6705996098560565	0	0	0	0	0	0	0	0	5.604351935289552	0	0	0	0	0	1.687025330850775	0	0	0	0	0	8.000429691049398	35.63631448219113	0	0	0	0	0	0	0	0	0	10.205390625881616	0	0	0	0	0	0	0	0	3.971964326811448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2358860726216605	0	0	0	0	0	0	0	0	0	0	0.8035505446228293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D000542	Alveolitis, Extrinsic Allergic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00198857170747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34298784714476505	0	0	0	0	0	0	0	0	0	1.0995608303564923	0	0	0	0	0	0	0	0	0	0	19.720937266444984	1.7434095875238662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.16709380926775	0	0	0	0	1.191756188205764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.997690277949234	4.419464750013133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6970743635369168	0	0	0	0	0	0	0	0	0	6.716500654827742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27750614832828	0	0.13988282635066876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.482505634153478	0	0	0	0	0	0	0	0	0	14.753423954441425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8435126654253875	0	0	0	0	0	2.0001074227623494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4773000003262131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D000787	Angina Pectoris	2.8752002609590566	8.141374586216566	0	0	0	0	0	0	21323.939227729094	1587.2512369099795	2038.4872033558026	0	0	0	35.069600009761444	0	0	0	0	0	0	0	2.0632192510535368	1.2196597127769402	0	0	0	5.734642595896907	0	0	0	10.632623261487712	0	0	0	17.142365196445187	0	0	0	0	0	383.7467297944159	0	0	4.269494632745641	0	0	0	1.5089482112769952	0	12.751323948212473	0	2.6294583021926647	0	1.2285271630622612	0	0	0	1.8463762621646207	0	0	32.21931413787549	0	0	0	0	0	4.164104398773258	41.2140889431243	15.008934247958994	0	0	0	4.7670247528230565	0	0	0	0	0	1.5078769738954958	15.778628738369939	0	0	26.17430257699287	0	0	0	0	0	0.6189376322832968	0	3.1378672592829178	5.2280242704531865	0	0	0	3.4465763686488904	50.420162518577754	0	0	0	0	0	0	0	0	14.18050278862289	9.53060825125856	4.171723455606593	0	3.8838970886760484	0	5.091223090610749	0	0	0	2.2161269226411977	0	0	0	0	2.694864231855688	0	2.341000252522606	0	67.36416469341356	1.7219610441163826	0	0	0	73.2040056681052	0	0	0	0	1.4679976076638996	0	0	0	0	8.970240718837413	0	1.6565111347057753	0	3.4545604111879653	0	0	0	3.0540485873998464	12.526283815805538	1.5383141060813592	0.20982423952600315	36.63236067196939	0	0	0	0	99.47478600648351	29.894750569904822	0	0	2.422356887414242	0	0	1.358018146149779	0	16.14679799853792	2.360901406839901	0	1.248977773533552	1.4659421084818036	0	1.3316409916371097	59.30022536613912	0	0	0	0	1.4149055205518302	0	0	1.4071309430046999	2.4894202576408797	1.6392693282712694	0	0	0.8451669255214139	0	0	2.5759122889943233	16.422988008562484	0	5.520209507448177	157.23690922969618	0	0	0	58.144765673660345	0	2.3812066730006465	2.6705996098560565	0	0	16.383493886746603	0	3.4787055736565042	0	0	1.6175293416348633	0	17.558771375063365	0	1.3269788637358182	0	0	4.217563327126937	0	0	0	0	0	4.000214845524699	2.545451034442224	0	0	0	3.836493905607489	3.867788909913964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9175840131574176	0	0	0	0	0	0	4.840854772307857	0	0	0	0	0	0	0	0	0	2.2358860726216605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8238720995508412	0	0	0	0	0	0	0	0	0	0	0	8.00709598054131	0	0	283.1776864575533	0	0	0	0	0	0	0	0	0
D000789	Angina, Unstable	0	0	0	0	0	0	0	0	1183.9369487430486	65.31898094279751	10028.729123660229	0	0	0	4.0079542868298805	0	0	0	0	0	0	0	2.0632192510535368	0	0	0	0	2.2938570383587638	0	0	0	2.7439027771581204	0	0	0	14.99956954688954	0	0	0	0	0	138.54466462491806	0	0	0	0	0	0	0	0	0	0	1.3147291510963324	0	0	2.5853020293441618	0	0	0	0	0	4.027414267234437	0	0	0	0	0	2.082052199386629	9.046995133856553	3.7522335619897484	0	0	2.2999812330780607	0.5958780941028821	0	0	0	0	0	0	0	0	0	3.4140394665642875	0	0	0	0	0	1.2378752645665936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1051301466691736	1.7219610441163826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27750614832828	0	0	9.158090167992347	0	0	1.3298472691830825	0	4.611413920830361	1.992983371326988	0	0	0	0	0	1.358018146149779	0	0	0	0	1.248977773533552	0	2.2425601797093533	0	0	0	0	0	0	1.4149055205518302	0	0	0	0	0	0	0	0	0.3433219042716397	0	0	0	0	0	1.3672774715625755	0	0	0	4.4726742825892565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8435126654253875	0	0	0	0	0	2.0001074227623494	0.8484836781474079	0	0	0	0	1.9338944549569816	0	0	0	0	0	0	3.095079984077709	0	0	0	0	0	0	0	0	0	3.9175840131574176	0	0	0	0	0	0	2.4204273861539285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.25926940890992	0	0	0	0	0	0	0	0	0
D055008	Anthracosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.005221681539617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1380131555214292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D001014	Aortic Aneurysm	35.94000326198821	0	0	0	0	0	4.342972284037155	6.7971870434923405	37.769767689962286	0	20.183041617384177	0	0	0	6.011931430244822	0	0	3.4953231482047213	0	0	0	0	0	0	0	0	0	43.58328372881649	0	0	2.1962767100198994	1.7149392357238251	0	0	0	12.856773897333891	0	0	0	0	0	100.06003556244082	0	0	14.94323121460974	0	2.624169625686484	0	4.526844633830986	2.6313878286731183	0	0	3.944187453288997	3.4868191750477324	2.4570543261245223	0	0	0	1.8463762621646207	0	0	6.7123571120573935	2.0265851178737564	0	0	0	0	0	53.276749121599714	0	0	0	4.5999624661561205	5.362902846925938	0	0	0	0	0	0	0	1.357096911630458	0	4.552052622085717	0	0	0	2.588451638247058	0	8.046189219682859	27.98994341674984	3.1378672592829178	0	0	0	0	0	4.422821273559453	1.4700331499131865	2.2117885210426	0	0	0	0	0	1.2148558604642947	54.358594023054415	0	22.944479005836268	0	7.767794177352097	0	42.42685908842292	0	2.953725865771977	0	26.59352307169437	4.419252716076209	0	2.1109838219206343	0	0	0	0	0	0	0	1.9454362153971527	0	0	44.36606404127586	1.4547117709522501	0	0	0	0	0	3.621786736290857	0	0	0	0	4.9695334041173265	0	0	2.9216435391876563	0	0	0	0	4.6149423182440765	0.8392969581040126	2.4976609549070043	0	0	0	0	23.71584302141329	1.992983371326988	0	0	5.813656529794179	61.31900561595679	7.726414702997732	2.7160362922995573	0	0	0	0	1.248977773533552	0	2.2425601797093533	1.3316409916371097	0	0	1.0632186059291338	0	0	1.4149055205518302	0	0	1.4071309430046999	2.4894202576408797	1.6392693282712694	6.508227894221215	0	2.5355007765642417	0	0.6123572181015575	0	0	0	0	1.3672774715625755	1.1529165610240042	0	0	38.763177115773566	0	0	0	0	1.9740336225473258	0	0	0	0	1.8559456584112928	0	0	6.385007772750313	0	0	31.80447269523138	0	1.687025330850775	0	0	0	0	0	2.0001074227623494	10.181804137768896	0	0	0	0	1.9338944549569816	0	0	1.5904210228767852	0	0	3.535169056751921	0	0	0	0	0	0	0	8.936919735325757	0	0	3.9175840131574176	0	0	0	0	0	0	2.4204273861539285	0	0	0	12.296574510224938	0	0	0	0	4.070687293108283	8.943544290486642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.381643835944768	0	4.913366207639191	0	0	0	0	0	0	0
D017544	Aortic Aneurysm, Abdominal	17.251201565754346	0	0	0	4.130173330456663	0	0	0	13.074150354217716	0	2.2425601797093533	0	1.8252606139541865	0	4.0079542868298805	1.810661814533033	0	0	0	0	0	0	0	0	0	0	3.5270718465193016	51.61178336307218	0	0	0	3.4298784714476502	0	0	0	4.285591299111297	0	0	0	0	0	6.597364982138956	0	0	8.538989265491281	0	1.312084812843242	0	0	0	0	0	0	0	0	0	0	0	2.769564393246932	0	0	0	0	0	0	0	0	0	4.020886726158468	0	0	0	4.5999624661561205	3.5752685646172924	0	0	0	0	0	0	0	1.357096911630458	0	3.4140394665642875	0	0	0	0	0	4.951501058266373	7.365774583355222	0	0	0	0	0	0	0.8845642547118906	0	0	0	0	0	0	0	1.2148558604642947	0	0	12.51517036681978	0	2.5892647257840316	0	0	5.151824577988647	0	0	0	0	0	0	0	0	0	0	0	0	3.443922088232765	1.9454362153971527	0	0	48.802670445403464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27750614832828	1.5383141060813592	0	9.158090167992347	1.75293995237456	0	0	0	6.2583474639840615	1.992983371326988	6.711421289065839	0	0.9689427549656968	19.162189254986497	2.575471567665911	6.790090730748893	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4149055205518302	0	0	2.8142618860093997	2.4894202576408797	0	2.1694092980737385	0	0.8451669255214139	0	0	0	0	0	0	0	0	0	0	4.4726742825892565	0	0	2.6705996098560565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.217563327126937	0	0	0	0	1.4866897406760522	6.000322268287047	44.96963494181262	0	0	0	0	1.9338944549569816	0	0	46.12220966342677	0	0	0	0	0	0	0	0	0	1.4773000003262131	5.957946490217173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7076582178649815	0	0	0	3.5110715051728607	0	0	0	0	6.297712761717026	0	0	0	0	0	0	0	0	0	0.8238720995508412	0	0	0	0	0	0	0	0	0	0	0	4.003547990270655	0	0	2.597960426216085	8.197716340149961	0	0	0	0	0	9.763235018649224	0	0
D017545	Aortic Aneurysm, Thoracic	0	0	0	0	0	0	0	0	8.716100236145142	0	0	0	1.8252606139541865	0	3.0059657151224104	0	0	0	0	0	0	0	0	0	0	0	0	21.791641864408245	0	0	0	0.34298784714476505	0	0	0	4.285591299111297	0	0	0	0	0	64.87408899103306	0	0	0	0	3.9362544385297262	0	1.5089482112769952	0	0	0	11.83256235986699	3.4868191750477324	0	0	0	0	0.9231881310823103	0	0	2.6849428448229578	0	0	0	0	0	0	28.146207083109285	0	0	0	4.5999624661561205	1.191756188205764	0	0	0	0	0	0	0	0	0	3.4140394665642875	0	0	0	0	0	1.2378752645665936	10.31208441669731	0	0	0	0	0	0	3.5382570188475624	0.7350165749565932	0	0	0	0	0	0	1.2148558604642947	9.453668525748594	0	18.77275555022967	0	1.2946323628920158	0	67.88297454147667	2.5759122889943233	0	0	37.67415768490036	0	0	2.1109838219206343	0	0	0	0	0	0	1.7219610441163826	0	0	0	4.436606404127587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.460821769593828	0	0	0	2.27750614832828	0	0	1.6651073032713362	1.75293995237456	2.6140121352265933	0	0	1.6469335431537004	0	0	0	1.9378855099313932	33.21446137530993	2.575471567665911	4.074054438449337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1840386080896974	1.3691396694936402	0	2.4894202576408797	0	0	0	0	0	0	0	0	3.356920825345602	0	0	0	0	0	5.963565710119009	0	0	0	0	0	0	0	0	0	0.9279728292056466	0	0	1.5962519431875786	0	0	25.841134064875487	1.66524481467453	3.37405066170155	0	0	2.341000252522606	0	1.4866897406760522	5.000268556905873	8.48483678147408	0	0	0	0	0	0	0	7.952105114383925	0	0	0	0	0	0	0	0	0	0	1.985982163405724	0	0	1.9587920065787088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.943544290486642	3.1712036795505094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3300735753094144	0	0	0	0	0	0	0	0	0	0	10.39184170486434	0	0	0	3.4495136121734267	0	0	0	0	0
D001022	Aortic Valve Insufficiency	0	0	0	0	0	0	0	0	66.82343514377943	0	6.727680539128059	0	1.8252606139541865	2.2882302165425417	7.0139200019522905	0	0	0	0	5.62966172502521	0	0	0	0	0	0	0	1.1469285191793817	0	0	0	3.4298784714476502	0	0	0	25.713547794667782	0	0	0	0	0	7.696925812495447	0	3.985966742653976	0	0	0	0	0	0	0	0	2.6294583021926647	5.230228762571599	6.142635815311307	0	0	0	1.8463762621646207	0	0	4.027414267234437	0	0	0	0	0	0	25.13054203849043	3.7522335619897484	0	0	0	1.191756188205764	0	0	0	0	0	1.5078769738954958	0	0	0	1.1380131555214292	0	0	0	0	0	1.2378752645665936	2.9463098333420885	0	5.2280242704531865	0	0	0	1.7232881843244452	0	0.7350165749565932	0	0	0	0	0	0	7.289135162785769	153.62211354341466	0	0	0	1.2946323628920158	0	0	0	0	0	0	0	0	0	0	0	1.6791251637069355	0	0	2.1051301466691736	0	0	0	0	0	0	0	0	0	0	0	1.810893368145429	0	0	0	0	0	2.4019328035177634	0	0	0	0	0	0	0	0.06994141317533438	12.488304774535019	1.75293995237456	0	0	0	1.3175468345229604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7461232933954625	0	0	0	0	2.1840386080896974	0	0	0	0	0	2.3812066730006465	0.8451669255214139	0	0.6123572181015575	0	0	0	0	0	0	0	0	13.41802284776777	0	0	0	0	1.9740336225473258	0	0	0	0	0.9279728292056466	0	0	3.1925038863751567	0	0.6634894318679091	0	0	0	0	0	0	0	0	2.0001074227623494	0	0	0	0	3.836493905607489	1.9338944549569816	0	0	0	0	0	0	0	0	0	0	0	0	1.4773000003262131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5110715051728607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19592085243217	0	0	0	0	0	0	0	0	0
D001023	Aortic Valve Prolapse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.005221681539617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3634171314371484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
