MeSH Symptom ID	MeSH Symptom Term	MeSH Disease ID	MeSH Disease Term	TFIDF score	PubMed occurrence
D000006	Abdomen, Acute	D000196	Actinomycosis	23.001602087672453	16
D000006	Abdomen, Acute	D000787	Angina Pectoris	2.8752002609590566	2
D000006	Abdomen, Acute	D001014	Aortic Aneurysm	35.94000326198821	25
D000006	Abdomen, Acute	D017544	Aortic Aneurysm, Abdominal	17.251201565754346	12
D000006	Abdomen, Acute	D001145	Arrhythmias, Cardiac	2.8752002609590566	2
D000006	Abdomen, Acute	D001164	Arteriovenous Fistula	4.312800391438587	3
D000006	Abdomen, Acute	D001172	Arthritis, Rheumatoid	7.188000652397642	5
D000006	Abdomen, Acute	D001195	Asbestosis	1.4376001304795285	1
D000006	Abdomen, Acute	D001249	Asthma	4.312800391438587	3
D000006	Abdomen, Acute	D001281	Atrial Fibrillation	5.750400521918113	4
D000006	Abdomen, Acute	D001991	Bronchitis	1.4376001304795285	1
D000006	Abdomen, Acute	D002177	Candidiasis	2.8752002609590566	2
D000006	Abdomen, Acute	D002305	Cardiac Tamponade	5.750400521918113	4
D000006	Abdomen, Acute	D006332	Cardiomegaly	1.4376001304795285	1
D000006	Abdomen, Acute	D009202	Cardiomyopathies	1.4376001304795285	1
D000006	Abdomen, Acute	D002311	Cardiomyopathy, Dilated	1.4376001304795285	1
D000006	Abdomen, Acute	D003139	Common Cold	5.750400521918113	4
D000006	Abdomen, Acute	D003324	Coronary Artery Disease	10.063200913356699	7
D000006	Abdomen, Acute	D003327	Coronary Disease	8.625600782877171	6
D000006	Abdomen, Acute	D003329	Coronary Vasospasm	1.4376001304795285	1
D000006	Abdomen, Acute	D003371	Cough	4.312800391438587	3
D000006	Abdomen, Acute	D003453	Cryptococcosis	1.4376001304795285	1
D000006	Abdomen, Acute	D003550	Cystic Fibrosis	10.063200913356699	7
D000006	Abdomen, Acute	D003920	Diabetes Mellitus	8.625600782877171	6
D000006	Abdomen, Acute	D003922	Diabetes Mellitus, Type 1	11.500801043836226	8
D000006	Abdomen, Acute	D003924	Diabetes Mellitus, Type 2	2.8752002609590566	2
D000006	Abdomen, Acute	D003926	Diabetic Coma	7.188000652397642	5
