Symptom	SymptomName	D000039	D000196	D000542	D000787	D000789	D001014	D001022	D001023	D001024	D001145	D001164	D001172	D001195	D001228	D001249	D001250	D001261	D001281	D001607	D001716	D001987	D001991	D002037	D002095	D002177	D002305	D002310	D002311	D002312	D002313	D002639	D002805	D003047	D003139	D003323	D003324	D003327	D003329	D003371	D003440	D003453	D003550	D003920	D003922	D003924	D003926	D004417	D004695	D004696	D004826	D004844	D005203	D006073	D006255	D006332	D006333	D006344	D006345	D006349	D006469	D006491	D006557	D006660	D006973	D006976	D006985	D007012	D007022	D007024	D007251	D007819	D007822	D007826	D007827	D007829	D008133	D008169	D008175	D008478	D008944	D008946	D009058	D009164	D009181	D009202	D009203	D009205	D009298	D009303	D009304	D009362	D009382	D009400	D009617	D009765	D009959	D010003	D010018	D010019	D010020	D010024	D010490	D010493	D010494	D010996	D010997	D010998	D011009	D011020	D011024	D011030	D011081	D011111	D011649	D011654	D011655	D011656	D011657	D011665	D011666	D011928	D012120	D012127	D012128	D012131	D012141	D012214	D012222	D012806	D012829	D012830	D012848	D012852	D012893	D013174	D013586	D013611	D013612	D013613	D013617	D014069	D014123	D014134	D014262	D014263	D014264	D014376	D014397	D014648	D014693	D014826	D014917	D014927	D015207	D015508	D015535	D015663	D016491	D016535	D016706	D016724	D016883	D016918	D017180	D017202	D017544	D017545	D017564	D017565	D017703	D018192	D018376	D018410	D018879	D018880	D020181	D020182	D020215	D020217	D020246	D020370	D024741	D029424	D029481	D045169	D046789	D050197	D053840	D054059	D054537	D054556	D054990	D055008	D055034	D055963	D057767
D000006	Abdomen, Acute	0	23.001602087672453	0	2.8752002609590566	0	35.94000326198821	0	0	0	2.8752002609590566	4.312800391438587	7.188000652397642	1.4376001304795285	0	4.312800391438587	0	2.8752002609590566	5.750400521918113	0	0	0	1.4376001304795285	0	0	2.8752002609590566	5.750400521918113	0	1.4376001304795285	0	0	0	0	0	5.750400521918113	0	10.063200913356699	8.625600782877171	1.4376001304795285	4.312800391438587	0	1.4376001304795285	10.063200913356699	8.625600782877171	11.500801043836226	2.8752002609590566	7.188000652397642	0	0	2.8752002609590566	0	0	0	1.4376001304795285	0	1.4376001304795285	11.500801043836226	0	0	1.4376001304795285	0	0	0	1.4376001304795285	10.063200913356699	1.4376001304795285	1.4376001304795285	2.8752002609590566	1.4376001304795285	0	2.8752002609590566	1.4376001304795285	0	0	0	0	0	0	23.001602087672453	4.312800391438587	0	1.4376001304795285	0	1.4376001304795285	2.8752002609590566	1.4376001304795285	41.690403783906326	0	0	0	0	0	2.8752002609590566	0	1.4376001304795285	1.4376001304795285	0	0	0	5.750400521918113	0	0	0	5.750400521918113	0	1.4376001304795285	0	4.312800391438587	0	0	1.4376001304795285	4.312800391438587	1.4376001304795285	0	0	2.8752002609590566	15.813601435274816	1.4376001304795285	0	0	0	0	0	0	2.8752002609590566	10.063200913356699	7.188000652397642	2.8752002609590566	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4376001304795285	1.4376001304795285	0	1.4376001304795285	0	0	2.8752002609590566	8.625600782877171	1.4376001304795285	0	0	0	0	0	0	0	0	0	0	0	0	18.68880169623387	0	0	2.8752002609590566	17.251201565754346	0	0	0	0	1.4376001304795285	0	5.750400521918113	0	0	0	0	0	0	11.500801043836226	0	0	0	0	1.4376001304795285	0	0	0	0	0	0	0	0	0	0	0
D015746	Abdominal Pain	0.8484836781474079	35.63631448219113	0	2.545451034442224	0.8484836781474079	10.181804137768896	0	0	0.8484836781474079	0.8484836781474079	13.575738850358524	9.333320459621486	0.8484836781474079	2.545451034442224	6.787869425179262	0	0	4.24241839073704	0	0	0	0	0	0	6.787869425179262	4.24241839073704	0	1.6969673562948158	0.8484836781474079	0	0	0	0	5.090902068884447	0	3.3939347125896315	2.545451034442224	0	5.939385747031856	0	1.6969673562948158	26.302994022569646	7.636353103326671	15.272706206653345	14.424222528505936	0	8.48483678147408	0	1.6969673562948158	0	0.8484836781474079	0	1.6969673562948158	1.6969673562948158	0	11.030287815916305	0	0	0.8484836781474079	1.6969673562948158	3.3939347125896315	0	1.6969673562948158	20.36360827553779	2.545451034442224	2.545451034442224	0	5.939385747031856	1.6969673562948158	2.545451034442224	0	0	0	0	0.8484836781474079	0	0	19.515124597390386	0.8484836781474079	1.6969673562948158	0.8484836781474079	0	0	2.545451034442224	4.24241839073704	15.272706206653345	8.48483678147408	0	0	0	0	0.8484836781474079	0	2.545451034442224	8.48483678147408	0	5.090902068884447	0	5.939385747031856	0	3.3939347125896315	3.3939347125896315	1.6969673562948158	0	5.939385747031856	2.545451034442224	1.6969673562948158	0	0.8484836781474079	0.8484836781474079	8.48483678147408	0.8484836781474079	0	0	0.8484836781474079	17.818157241095566	0	0.8484836781474079	0	0	0	0	0.8484836781474079	1.6969673562948158	3.3939347125896315	4.24241839073704	1.6969673562948158	0	0	0	0	0	1.6969673562948158	6.787869425179262	0	0	0	0	0	0.8484836781474079	0	0	0	0.8484836781474079	0	0	11.030287815916305	9.333320459621486	7.636353103326671	1.6969673562948158	0	0	0	0	0	0.8484836781474079	1.6969673562948158	5.090902068884447	0	1.6969673562948158	0	9.333320459621486	0.8484836781474079	1.6969673562948158	0.8484836781474079	44.96963494181262	8.48483678147408	0	2.545451034442224	0.8484836781474079	4.24241839073704	0	1.6969673562948158	0	0	0	0	0	0	48.36356965440225	0	0	0	0.8484836781474079	0	0	5.090902068884447	0	0	0	1.6969673562948158	0	0	0	0	0
D054058	Acute Coronary Syndrome	0	0	0	283.1776864575533	179.25926940890992	23.381643835944768	5.19592085243217	0	10.39184170486434	41.56736681945736	7.7938812786482545	7.7938812786482545	0	0	5.19592085243217	0	0	70.1449315078343	0	0	0	0	20.78368340972868	0	0	2.597960426216085	0	2.597960426216085	7.7938812786482545	0	0	0	0	2.597960426216085	75.34085236026647	815.7595738318507	148.0837442943169	62.351050229186036	0	0	0	0	54.55716895053778	10.39184170486434	64.94901065540213	0	5.19592085243217	0	2.597960426216085	0	0	0	0	0	2.597960426216085	137.69190258945252	0	0	2.597960426216085	2.597960426216085	0	0	0	38.96940639324128	2.597960426216085	0	0	2.597960426216085	0	5.19592085243217	0	0	0	0	0	5.19592085243217	0	5.19592085243217	0	12.989802131080424	0	0	0	0	23.381643835944768	896.2963470445494	33.773485540809105	0	0	0	0	2.597960426216085	0	0	18.1857229835126	0	0	0	0	0	0	0	2.597960426216085	0	0	0	0	0	0	0	0	0	0	0	7.7938812786482545	41.56736681945736	0	0	0	0	0	0	0	0	2.597960426216085	2.597960426216085	0	0	0	0	0	0	0	2.597960426216085	0	0	0	0	0	2.597960426216085	0	0	0	0	0	0	0	0	0	15.587762557296509	0	0	2.597960426216085	0	0	0	0	28.577564688376942	0	0	0	5.19592085243217	0	28.577564688376942	823.5534551104989	2.597960426216085	10.39184170486434	0	0	0	0	2.597960426216085	5.19592085243217	0	0	5.19592085243217	0	0	0	5.19592085243217	0	0	5.19592085243217	0	0	0	132.49598173702034	5.19592085243217	36.3714459670252	7.7938812786482545	18.1857229835126	0	0	0	0	0
D000334	Aerophagy	0	0	0	8.141374586216566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.070687293108283	0	0	0	0	0	0	0	0	0	4.070687293108283	4.070687293108283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.070687293108283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.141374586216566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.070687293108283	0	0	0	0	0	0	0	8.141374586216566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.070687293108283	0	0	0	0	0	0	4.070687293108283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.141374586216566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D000370	Ageusia	0	0	0	0	0	0	0	0	0	0	0	7.1703589546531665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5851794773265833	3.5851794773265833	0	0	0	0	0	3.5851794773265833	0	0	0	0	0	0	0	0	0	0	3.5851794773265833	0	0	0	0	0	0	0	0	0	3.5851794773265833	0	0	0	0	0	7.1703589546531665	0	0	0	0	0	0	0	3.5851794773265833	0	0	0	0	0	0	0	0	0	3.5851794773265833	0	0	0	0	0	0	7.1703589546531665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5851794773265833	0	0	0	0	3.5851794773265833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5851794773265833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5851794773265833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D019588	Aging, Premature	0	0	0	0	0	0	0	0	0	0	0	6.929102979075935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.464551489537968	0	0	0	0	0	0	0	0	6.929102979075935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.464551489537968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.464551489537968	0	0	0	0	0	0	0	0	0	6.929102979075935	0	0	0	0	0	34.645514895379684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.464551489537968	0	3.464551489537968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.464551489537968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.929102979075935	0	0	0	0	0	0	0	0	0
D000377	Agnosia	0	0	0	0	0	0	0	0	0	0	2.5362124191476383	2.5362124191476383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0724248382952775	0	2.5362124191476383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5362124191476383	0	0	2.5362124191476383	0	0	0	0	0	0	2.5362124191476383	5.0724248382952775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5362124191476383	7.608637257442916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5362124191476383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D017109	Akathisia, Drug-Induced	0	0	0	0	0	0	0	0	0	6.221822898588778	0	0	0	0	12.443645797177556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.110911449294389	0	9.332734347883168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.221822898588778	0	6.221822898588778	0	9.332734347883168	0	3.110911449294389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.110911449294389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.110911449294389	0	0	0	0	0	0	0	0	3.110911449294389	0	0	3.110911449294389	0	0	0	0	0	0	0	0	6.221822898588778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.110911449294389	0	0	0	0	0	3.110911449294389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D000419	Albuminuria	0	0	0	0	0	0	0	0	0	12.390519991369992	0	49.56207996547997	0	0	2.0650866652283315	0	0	6.195259995684996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.31340652714817	117.70993991801492	0	0	0	0	10.32543332614166	675.2833395296645	3351.635657665582	3828.670677333328	0	0	0	0	0	0	0	10.32543332614166	0	18.585779987054988	74.34311994821995	0	0	0	0	0	0	0	2717.654051440485	2.0650866652283315	0	0	0	4.130173330456663	0	0	0	0	0	0	4.130173330456663	0	6.195259995684996	0	0	0	0	0	0	14.455606656598325	72.27803328299161	0	0	0	0	0	0	24.781039982739983	0	227.1595331751165	0	0	2.0650866652283315	2.0650866652283315	0	0	0	2.0650866652283315	2.0650866652283315	2.0650866652283315	0	2.0650866652283315	0	0	0	0	0	0	0	2.0650866652283315	2.0650866652283315	0	0	0	0	2.0650866652283315	0	0	10.32543332614166	6.195259995684996	0	0	0	0	2.0650866652283315	0	0	0	0	0	0	0	0	0	0	2.0650866652283315	0	0	0	0	0	0	8.260346660913326	0	0	0	0	0	0	0	2.0650866652283315	0	35.10647330888165	0	0	0	6.195259995684996	0	0	130.1004599093849	4.130173330456663	0	0	0	0	0	0	0	0	0	10.32543332614166	0	0	0	4.130173330456663	0	0	6.195259995684996	0	0	0	74.34311994821995	0	0	0	2.0650866652283315	0	0	0	0	0
D020237	Alexia, Pure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.658473958010402	0	4.658473958010402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
