ClassKind,icd11Code,icd11Title,icd11TTDalias,isLeaf,MeSHDiseaseID,MeSHDiseaseTerm,HSDNCount,TTDTitle,TTDDrugCount,DrugPresentInBlock,icd10Code,icd10Chapter,icd10Title
chapter,1A00-1H0Z,Certain infectious or parasitic diseases,,False,,,0,,0,1,,,
block,1A60-1A9Z,- Predominantly sexually transmitted infections,,False,,,0,,0,0,A50-A64,I,Infections with a predominantly sexual mode of transmission
block,1A70-1A7Z,- - Gonococcal infection,,False,,,0,,0,0,A54,I,Gonococcal infection
category,1A72,- - - Gonococcal infection of other sites,,False,,,0,,0,0,A54,I,Gonococcal infection
category,1A72.3,- - - - Gonococcal pharyngitis,,True,,,0,,0,0,A54.5,I,Gonococcal pharyngitis
block,1B10-1B21,- Mycobacterial diseases,,False,D009164,Mycobacterium Infections,33,Mycobacterium infection,6,1,,,
block,1B10-1B14,- - Tuberculosis,,False,D014376,Tuberculosis,91,Tuberculosis,9,1,A15-A19,I,Tuberculosis
category,1B10,- - - Tuberculosis of the respiratory system,,False,,,0,,0,0,A16,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
category,1B10.0,"- - - - Respiratory tuberculosis, confirmed",,True,,,0,,0,0,A15,I,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
category,1B10.1,"- - - - Respiratory tuberculosis, not confirmed",,True,,,0,,0,0,A16,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
category,1B10.Z,"- - - - Respiratory tuberculosis, without mention of bacteriological or histological confirmation",,True,D014397,"Tuberculosis, Pulmonary",118,Pulmonary tuberculosis,4,0,A16,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
category,1B21,- - Infections due to non-tuberculous mycobacteria,,False,,,0,,0,0,A31,I,Infection due to other mycobacteria
category,1B21.0,- - - Pulmonary infection due to non-tuberculous mycobacterium,,True,,,0,,0,0,A31.0,I,Pulmonary mycobacterial infection
block,1B40-1B5Z,- Certain staphylococcal or streptococcal diseases,,False,,,0,,0,0,,,
category,1B51,- - Streptococcal pharyngitis,,True,,,0,,0,0,J02.0,X,Streptococcal pharyngitis
block,1C10-1C4Z,- Other bacterial diseases,,False,,,0,,0,1,B96.8,I,Other specified bacterial agents as the cause of diseases classified to other chapters
category,1C10,- - Actinomycosis,,False,D000196,Actinomycosis,47,,0,0,A42,I,Actinomycosis
category,1C10.0,- - - Pulmonary actinomycosis,,True,,,0,,0,0,A42.0,I,Pulmonary actinomycosis
category,1C12,- - Whooping cough,,False,,,0,,0,0,A37,I,Whooping cough
category,1C12.0,- - - Whooping cough due to Bordetella pertussis,,True,D014917,Whooping Cough,42,Bordetella pertussis infection,18,0,A37.0,I,Whooping cough due to Bordetella pertussis
category,1C12.1,- - - Whooping cough due to Bordetella parapertussis,,True,,,0,,0,0,A37.1,I,Whooping cough due to Bordetella parapertussis
category,1C12.Y,- - - Other specified whooping cough,,True,,,0,,0,0,A37.8,I,Whooping cough due to other Bordetella species
category,1C12.Z,"- - - Whooping cough, unspecified",,True,,,0,,0,0,A37,I,Whooping cough
category,1C1B,- - Nocardiosis,,False,,,0,,0,0,A43,I,Nocardiosis
category,1C1B.0,- - - Pulmonary nocardiosis,,True,D009617,Nocardia Infections,41,,0,0,A43.0,I,Pulmonary nocardiosis
block,1D60-1D6Z,- Certain zoonotic viral diseases,,False,,,0,,0,0,,,
category,1D65,- - Severe acute respiratory syndrome,,True,D045169,Severe Acute Respiratory Syndrome,23,,0,0,U04,XXII,Severe acute respiratory syndrome [SARS]
block,1E30-1E32,- Influenza,1E+030,False,D007251,"Influenza, Human",0,Influenza virus infection,46,1,J09-J18,X,Influenza and pneumonia
category,1E+030,- - Influenza due to identified seasonal influenza virus,,True,D007251,"Influenza, Human",109,Influenza A virus infection,6,0,J10,X,Influenza due to identified seasonal influenza virus
