Cluster_label	Cluster	Pairwise_similarities
0	1	0.071;0.156;0.073;0.093;0.044;0.087;0.073;0.087;0.067;0.078;0.073;0.077;0.087;0.087;0.067;0.087;0.073;0.067;0.093;0.048;0.078;0.078;0.087;0.073;0.073;0.078;0.073;0.073;0.067;0.067;0.087;0.078;0.073;0.073;0.073;0.065;0.073;0.073;0.078;0.073;0.073;0.067;0.073;0.087;0.067;0.071;0.067;0.071;0.077;0.075;0.044;0.077;0.071;0.073;0.073;0.092;0.073;0.081;0.071;0.071;0.073;0.071;0.073;0.077;0.075;0.048;0.092;0.071;0.071;0.071;0.092;0.071;0.092;0.077;0.077;0.075;0.071;0.092;0.077;0.135;0.077;0.065;0.073;0.071;0.073;0.071;0.071;0.073;0.071;0.071;0.073;0.118;0.077;0.073;0.12;0.044;0.161;0.073;0.11;0.067;0.078;0.073;0.077;0.285;0.087;0.067;0.11;0.073;0.067;0.164;0.048;0.078;0.078;0.11;0.073;0.073;0.078;0.073;0.073;0.067;0.067;0.087;0.078;0.073;0.073;0.073;0.065;0.073;0.073;0.078;0.073;0.073;0.067;0.073;0.087;0.067;0.071;0.067;0.125;0.044;0.114;0.115;0.115;0.073;0.094;0.073;0.107;0.115;0.073;0.073;0.115;0.1;0.094;0.077;0.048;0.077;0.115;0.115;0.115;0.077;0.073;0.077;0.185;0.114;0.075;0.073;0.077;0.185;0.077;0.185;0.065;0.073;0.073;0.073;0.115;0.115;0.073;0.115;0.073;0.073;0.071;0.077;0.045;0.104;0.125;0.125;0.07;0.19;0.077;0.116;0.125;0.093;0.07;0.144;0.107;0.07;0.16;0.049;0.083;0.15;0.173;0.125;0.077;0.104;0.077;0.125;0.07;0.07;0.093;0.104;0.125;0.077;0.125;0.068;0.077;0.077;0.104;0.125;0.125;0.07;0.125;0.093;0.07;0.075;0.07;0.044;0.044;0.044;0.044;0.044;0.044;0.045;0.044;0.044;0.044;0.044;0.044;0.044;0.045;0.049;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.073;0.087;0.073;0.097;0.13;0.101;0.204;0.151;0.073;0.087;0.073;0.094;0.093;0.048;0.126;0.097;0.087;0.073;0.077;0.097;0.185;0.114;0.114;0.075;0.087;0.097;0.114;0.077;0.114;0.065;0.073;0.097;0.097;0.073;0.073;0.073;0.073;0.087;0.073;0.071;0.077;0.115;0.065;0.073;0.073;0.107;0.115;0.073;0.065;0.115;0.1;0.065;0.077;0.048;0.073;0.115;0.115;0.156;0.073;0.073;0.073;0.115;0.065;0.065;0.073;0.073;0.115;0.073;0.115;0.065;0.073;0.073;0.073;0.156;0.156;0.065;0.115;0.073;0.065;0.071;0.065;0.114;0.078;0.089;0.107;0.115;0.087;0.114;0.115;0.1;0.089;0.12;0.048;0.078;0.115;0.115;0.115;0.073;0.078;0.073;0.115;0.089;0.114;0.087;0.078;0.115;0.089;0.115;0.065;0.094;0.073;0.114;0.115;0.115;0.114;0.115;0.087;0.094;0.071;0.073;0.073;0.089;0.076;0.067;0.067;0.114;0.067;0.089;0.089;0.07;0.048;0.073;0.067;0.067;0.067;0.073;0.067;0.073;0.114;0.089;0.114;0.067;0.073;0.073;0.089;0.073;0.065;0.094;0.067;0.126;0.067;0.065;0.114;0.065;0.067;0.094;0.065;0.073;0.107;0.101;0.097;0.078;0.129;0.078;0.129;0.094;0.083;0.048;0.107;0.13;0.078;0.096;0.092;0.13;0.158;0.094;0.094;0.075;0.078;0.204;0.094;0.107;0.094;0.065;0.107;0.097;0.141;0.111;0.073;0.073;0.073;0.111;0.111;0.071;0.077;0.077;0.073;0.073;0.089;0.073;0.089;0.089;0.077;0.048;0.107;0.073;0.073;0.073;0.073;0.073;0.13;0.089;0.089;0.089;0.073;0.073;0.073;0.107;0.073;0.065;0.107;0.097;0.089;0.073;0.073;0.089;0.073;0.073;0.089;0.071;0.073;0.143;0.077;0.076;0.107;0.143;0.132;0.082;0.049;0.081;0.107;0.107;0.107;0.081;0.077;0.081;0.107;0.101;0.08;0.196;0.081;0.143;0.081;0.107;0.068;0.077;0.077;0.077;0.107;0.107;0.076;0.107;0.196;0.076;0.075;0.081;0.087;0.067;0.115;0.13;0.067;0.164;0.048;0.078;0.115;0.115;0.115;0.073;0.097;0.073;0.115;0.067;0.067;0.087;0.097;0.13;0.073;0.115;0.065;0.073;0.073;0.097;0.115;0.115;0.067;0.115;0.087;0.067;0.071;0.067;0.067;0.087;0.073;0.067;0.093;0.048;0.126;0.078;0.087;0.073;0.073;0.078;0.073;0.073;0.067;0.067;0.087;0.078;0.073;0.073;0.073;0.065;0.073;0.073;0.078;0.073;0.073;0.067;0.073;0.087;0.067;0.071;0.067;0.067;0.237;0.089;0.07;0.048;0.073;0.067;0.067;0.067;0.073;0.067;0.073;0.114;0.089;0.114;0.067;0.073;0.073;0.089;0.073;0.065;0.094;0.067;0.129;0.067;0.065;0.114;0.065;0.067;0.14;0.065;0.073;0.1;0.067;0.144;0.048;0.078;0.115;0.131;0.115;0.073;0.078;0.073;0.115;0.067;0.067;0.087;0.078;0.115;0.073;0.115;0.065;0.073;0.073;0.078;0.115;0.115;0.067;0.115;0.087;0.067;0.071;0.067;0.089;0.077;0.048;0.073;0.1;0.1;0.1;0.073;0.073;0.073;0.1;0.129;0.089;0.073;0.111;0.13;0.199;0.1;0.065;0.089;0.073;0.129;0.111;0.1;0.089;0.1;0.111;0.165;0.071;0.073;0.07;0.048;0.077;0.067;0.067;0.067;0.077;0.067;0.077;0.094;0.094;0.089;0.067;0.077;0.094;0.089;0.094;0.065;0.089;0.067;0.089;0.067;0.065;0.089;0.065;0.067;0.089;0.065;0.077;0.049;0.083;0.083;0.144;0.077;0.077;0.083;0.077;0.077;0.07;0.07;0.093;0.083;0.077;0.077;0.077;0.068;0.077;0.077;0.083;0.077;0.077;0.07;0.077;0.093;0.07;0.075;0.07;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.078;0.078;0.073;0.114;0.078;0.092;0.077;0.077;0.075;0.078;0.114;0.077;0.107;0.077;0.065;0.107;0.073;0.078;0.073;0.073;0.073;0.073;0.078;0.073;0.071;0.077;0.136;0.115;0.073;0.143;0.073;0.115;0.067;0.067;0.078;0.143;0.115;0.073;0.115;0.065;0.073;0.073;0.143;0.115;0.115;0.067;0.115;0.078;0.067;0.071;0.067;0.115;0.073;0.078;0.073;0.115;0.067;0.067;0.087;0.078;0.115;0.073;0.115;0.065;0.073;0.073;0.078;0.115;0.115;0.067;0.115;0.087;0.067;0.071;0.067;0.073;0.073;0.073;0.115;0.067;0.067;0.073;0.073;0.115;0.073;0.115;0.065;0.073;0.073;0.073;0.156;0.156;0.067;0.115;0.073;0.067;0.071;0.067;0.073;0.092;0.077;0.077;0.075;0.073;0.175;0.077;0.092;0.077;0.065;0.073;0.073;0.073;0.073;0.073;0.073;0.073;0.073;0.073;0.071;0.077;0.073;0.073;0.067;0.067;0.078;0.143;0.073;0.073;0.073;0.065;0.073;0.073;0.143;0.073;0.073;0.067;0.073;0.078;0.067;0.071;0.067;0.077;0.077;0.075;0.073;0.092;0.077;0.092;0.143;0.065;0.073;0.097;0.073;0.073;0.073;0.073;0.073;0.073;0.073;0.071;0.077;0.114;0.114;0.073;0.077;0.185;0.089;0.185;0.065;0.094;0.073;0.114;0.115;0.115;0.114;0.115;0.073;0.094;0.071;0.077;0.089;0.067;0.077;0.114;0.089;0.114;0.065;0.089;0.067;0.089;0.067;0.065;0.089;0.065;0.067;0.089;0.065;0.077;0.067;0.075;0.075;0.089;0.075;0.065;0.112;0.067;0.114;0.067;0.065;0.116;0.065;0.067;0.094;0.065;0.075;0.078;0.073;0.073;0.073;0.065;0.073;0.073;0.078;0.073;0.073;0.067;0.073;0.189;0.067;0.071;0.067;0.077;0.092;0.077;0.095;0.073;0.073;0.313;0.111;0.073;0.073;0.073;0.111;0.111;0.071;0.077;0.077;0.185;0.065;0.073;0.073;0.073;0.115;0.115;0.073;0.115;0.073;0.073;0.071;0.077;0.077;0.065;0.107;0.073;0.089;0.073;0.073;0.089;0.073;0.073;0.089;0.15;0.077;0.065;0.073;0.073;0.073;0.115;0.115;0.073;0.115;0.073;0.073;0.071;0.077;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.073;0.094;0.073;0.073;0.112;0.073;0.073;0.094;0.071;0.073;0.073;0.073;0.073;0.067;0.073;0.073;0.067;0.071;0.067;0.073;0.073;0.114;0.073;0.078;0.094;0.071;0.073;0.156;0.067;0.115;0.111;0.111;0.071;0.067;0.065;0.115;0.073;0.065;0.071;0.065;0.065;0.067;0.094;0.065;0.073;0.073;0.065;0.071;0.065;0.111;0.071;0.067;0.065;0.073;0.065
14	2	0.078;0.067;0.087;0.044;0.087;0.073;0.087;0.087;0.087;0.073;0.067;0.067;0.078;0.073;0.073;0.073;0.147;0.087;0.147;0.073;0.087;0.073;0.093;0.067;0.044;0.073;0.073;0.078;0.073;0.078;0.044;0.078;0.067;0.078;0.097;0.097;0.237;0.073;0.092;0.078;0.077;0.077;0.065;0.078;0.097;0.078;0.237;0.097;0.067;0.104;0.077;0.044;0.067;0.067;0.097;0.073;0.044;0.089;0.067;0.067;0.067;0.073;0.073;0.126;0.073;0.149;0.073;0.073;0.065;0.067;0.067;0.067;0.073;0.067;0.067;0.07;0.073;0.044;0.067;0.067;0.067;0.044;0.087;0.073;0.087;0.087;0.087;0.077;0.073;0.077;0.078;0.077;0.094;0.073;0.087;0.087;0.087;0.249;0.087;0.073;0.093;0.163;0.044;0.073;0.073;0.078;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.045;0.044;0.045;0.044;0.044;0.044;0.073;0.087;0.087;0.087;0.073;0.089;0.073;0.089;0.073;0.073;0.073;0.087;0.087;0.087;0.073;0.087;0.073;0.093;0.073;0.044;0.073;0.073;0.078;0.073;0.073;0.073;0.073;0.067;0.067;0.073;0.073;0.1;0.149;0.1;0.073;0.1;0.073;0.073;0.073;0.077;0.067;0.044;0.073;0.073;0.149;0.114;0.087;0.114;0.067;0.067;0.078;0.073;0.073;0.073;0.087;0.126;0.087;0.114;0.087;0.114;0.138;0.067;0.044;0.126;0.073;0.078;0.097;0.114;0.067;0.067;0.111;0.096;0.073;0.073;0.087;0.114;0.087;0.114;0.097;0.114;0.123;0.067;0.044;0.114;0.073;0.097;0.092;0.073;0.092;0.126;0.077;0.077;0.073;0.087;0.158;0.087;0.092;0.097;0.073;0.104;0.077;0.044;0.073;0.073;0.097;0.073;0.092;0.073;0.077;0.077;0.073;0.073;0.114;0.073;0.237;0.073;0.17;0.193;0.077;0.044;0.114;0.073;0.073;0.073;0.089;0.073;0.073;0.065;0.067;0.067;0.067;0.073;0.067;0.067;0.07;0.073;0.044;0.067;0.067;0.067;0.073;0.077;0.077;0.065;0.067;0.067;0.067;0.092;0.067;0.067;0.07;0.077;0.044;0.067;0.067;0.067;0.073;0.073;0.073;0.078;0.111;0.078;0.121;0.095;0.095;0.083;0.073;0.044;0.111;0.095;0.078;0.077;0.073;0.073;0.073;0.073;0.077;0.073;0.073;0.077;0.077;0.044;0.073;0.073;0.073;0.073;0.1;0.073;0.1;0.094;0.073;0.073;0.077;0.094;0.044;0.073;0.073;0.073;0.073;0.073;0.073;0.073;0.073;0.073;0.077;0.065;0.044;0.073;0.073;0.178;0.087;0.194;0.073;0.087;0.073;0.093;0.067;0.044;0.073;0.073;0.078;0.087;0.114;0.097;0.114;0.138;0.067;0.044;0.194;0.073;0.097;0.073;0.087;0.073;0.093;0.067;0.044;0.073;0.073;0.078;0.095;0.17;0.193;0.163;0.044;0.114;0.106;0.073;0.125;0.238;0.067;0.044;0.125;0.125;0.097;0.193;0.067;0.044;0.125;0.125;0.073;0.07;0.045;0.138;0.077;0.104;0.044;0.067;0.067;0.067;0.044;0.044;0.044;0.125;0.073;0.073
8	3	0.071;0.067;0.067;0.067;0.073;0.073;0.073;0.097;0.089;0.095;0.089;0.071;0.071;0.121;0.073;0.094;0.094;0.065;0.065;0.065;0.073;0.094;0.065;0.065;0.095;0.073;0.065;0.065;0.065;0.073;0.073;0.073;0.073;0.073;0.073;0.194
13	4	0.114;0.075;0.089;0.065;0.112;0.044;0.129;0.075;0.075;0.121;0.067;0.075;0.045;0.075;0.067;0.075;0.18;0.067;0.067;0.112;0.067;0.129;0.112;0.112;0.075;0.065;0.073;0.089;0.065;0.094;0.044;0.114;0.073;0.073;0.101;0.067;0.067;0.045;0.073;0.067;0.073;0.12;0.067;0.067;0.094;0.067;0.109;0.094;0.094;0.073;0.065;0.107;0.107;0.107;0.044;0.073;0.211;0.077;0.076;0.107;0.075;0.045;0.107;0.107;0.107;0.079;0.107;0.107;0.107;0.107;0.107;0.073;0.107;0.077;0.107;0.107;0.107;0.044;0.089;0.107;0.073;0.095;0.107;0.067;0.045;0.107;0.107;0.107;0.093;0.285;0.107;0.159;0.107;0.107;0.089;0.107;0.073;0.107;0.107;0.044;0.065;0.107;0.071;0.068;0.107;0.065;0.045;0.107;0.107;0.107;0.067;0.107;0.107;0.107;0.107;0.107;0.073;0.107;0.065;0.107;0.044;0.094;0.107;0.094;0.121;0.107;0.075;0.045;0.107;0.107;0.107;0.098;0.107;0.107;0.112;0.107;0.107;0.112;0.121;0.199;0.107;0.044;0.044;0.044;0.045;0.044;0.044;0.047;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.044;0.073;0.073;0.101;0.067;0.067;0.045;0.073;0.067;0.073;0.136;0.067;0.067;0.094;0.067;0.129;0.094;0.094;0.073;0.065;0.077;0.076;0.107;0.075;0.045;0.107;0.107;0.107;0.079;0.107;0.107;0.107;0.107;0.107;0.073;0.107;0.077;0.107;0.076;0.071;0.075;0.045;0.077;0.071;0.077;0.127;0.071;0.071;0.073;0.071;0.073;0.073;0.073;0.077;0.071;0.07;0.07;0.047;0.076;0.07;0.076;0.105;0.07;0.07;0.121;0.07;0.101;0.121;0.121;0.076;0.068;0.067;0.045;0.107;0.107;0.107;0.069;0.107;0.107;0.107;0.107;0.107;0.073;0.107;0.067;0.107;0.045;0.075;0.067;0.075;0.078;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.075;0.065;0.045;0.045;0.045;0.046;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.045;0.107;0.107;0.079;0.107;0.107;0.107;0.107;0.107;0.073;0.107;0.077;0.107;0.107;0.069;0.111;0.211;0.107;0.211;0.107;0.073;0.107;0.067;0.107;0.079;0.107;0.107;0.107;0.107;0.107;0.073;0.107;0.077;0.107;0.069;0.069;0.098;0.069;0.158;0.098;0.098;0.079;0.067;0.111;0.159;0.111;0.107;0.073;0.107;0.067;0.107;0.107;0.211;0.107;0.073;0.107;0.067;0.107;0.107;0.107;0.112;0.112;0.073;0.107;0.107;0.073;0.107;0.067;0.107;0.094;0.107;0.073;0.107;0.112;0.073;0.073;0.073;0.107;0.065
20	5	0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.204;0.067;0.067;0.067;0.204;0.067;0.132;0.114;0.112;0.094;0.13;0.107;0.13;0.112;0.107;0.107;0.107;0.107;0.107;0.077;0.112;0.134;0.112;0.071;0.107;0.114;0.094;0.112;0.094;0.165;0.107;0.107;0.112;0.107;0.313;0.107;0.121;0.107;0.077;0.112;0.097;0.119;0.096;0.107;0.165;0.094;0.094;0.073;0.073;0.073;0.112;0.089;0.089;0.067;0.067;0.094;0.073;0.112;0.073;0.067;0.067;0.067;0.067;0.094;0.073;0.073;0.073;0.094;0.106;0.122;0.073;0.073;0.107;0.073;0.126;0.073;0.073;0.071;0.073;0.073;0.126;0.175;0.175;0.107;0.107;0.107;0.107;0.107;0.107;0.073;0.073;0.13;0.097;0.071;0.107;0.165;0.073;0.175;0.107;0.107;0.107;0.107;0.107;0.107;0.073;0.073;0.073;0.073;0.071;0.107;0.107;0.143;0.107;0.107;0.107;0.107;0.107;0.107;0.073;0.073;0.13;0.112;0.071;0.107;0.107;0.073;0.107;0.107;0.107;0.107;0.107;0.073;0.112;0.073;0.073;0.071;0.107;0.107;0.094;0.107;0.107;0.107;0.161;0.073;0.089;0.073;0.073;0.071;0.107;0.107;0.089;0.107;0.107;0.107;0.077;0.089;0.075;0.073;0.096;0.107;0.107;0.089;0.107;0.107;0.067;0.067;0.073;0.073;0.071;0.107;0.107;0.073;0.107;0.075;0.095;0.075;0.073;0.071;0.107;0.107;0.073;0.15;0.107;0.154;0.073;0.071;0.107;0.107;0.107;0.075;0.075;0.067;0.067;0.067;0.067;0.073;0.075;0.067;0.067;0.204;0.067;0.126;0.106;0.071;0.073;0.073;0.073;0.071;0.073;0.073;0.073;0.071;0.071;0.071;0.107;0.111;0.073
6	6	0.075;0.073;0.077;0.073;0.073;0.077;0.065;0.077;0.073;0.065;0.075;0.067;0.089;0.094;0.065;0.075;0.067;0.1;0.1;0.065;0.136;0.065;0.1;0.073;0.115;0.073;0.1;0.065;0.1;0.073;0.067;0.1;0.065;0.1;0.143;0.089;0.065;0.073;0.067;0.065;0.182;0.073;0.065;0.065;0.097
17	7	0.071;0.075;0.14;0.071;0.089;0.071;0.089;0.313;0.126;0.094;0.14;0.094;0.094;0.124;0.094;0.14;0.065;0.161;0.065;0.073;0.073;0.106;0.065;0.161;0.065;0.073;0.065;0.073;0.106;0.077;0.073;0.106;0.065;0.073;0.073;0.073;0.106;0.227;0.227;0.073;0.073;0.073;0.073;0.163;0.077;0.075;0.106;0.095;0.065;0.089;0.065;0.089;0.073;0.109;0.094;0.168;0.094;0.094;0.124;0.094;0.168;0.065;0.073;0.073;0.065;0.073;0.065;0.073;0.065;0.073;0.073;0.077;0.073;0.073;0.065;0.073;0.129;0.107;0.089;0.107;0.129;0.089;0.107;0.095;0.089;0.129;0.065;0.218;0.106;0.065;0.073;0.065;0.073;0.106;0.077;0.073;0.218;0.163;0.227;0.089;0.089;0.129;0.089;0.095;0.095;0.089;0.218;0.163;0.073;0.107;0.073;0.125;0.163;0.077;0.097;0.106;0.095;0.094;0.126;0.094;0.094;0.118;0.094;0.126;0.065;0.094;0.112;0.112;0.101;0.112;0.112;0.065;0.094;0.094;0.124;0.094;0.168;0.065;0.114;0.101;0.112;0.112;0.065;0.101;0.112;0.249;0.095;0.101;0.124;0.068;0.112;0.065;0.163
34	8	0.147;0.073;0.077;0.065;0.164;0.043;0.138;0.125;0.147;0.147;0.073;0.073;0.143;0.142;0.077;0.065;0.164;0.043;0.138;0.125;0.147;0.147;0.111;0.073;0.138;0.077;0.065;0.077;0.043;0.165;0.146;0.073;0.107;0.175;0.073;0.073;0.068;0.082;0.044;0.077;0.077;0.077;0.077;0.077;0.077;0.077;0.068;0.043;0.065;0.065;0.065;0.065;0.095;0.065;0.065;0.044;0.153;0.137;0.164;0.19;0.077;0.077;0.159;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.189;0.143;0.138;0.111;0.106;0.138;0.125;0.125;0.106;0.106;0.125;0.147;0.073;0.073;0.143;0.097;0.097;0.138;0.106;0.073;0.073
12	9	0.073;0.076;0.122;0.161;0.122;0.043;0.073;0.067;0.106;0.073;0.135;0.073;0.073;0.073;0.043;0.073;0.067;0.073;0.067;0.076;0.076;0.076;0.044;0.076;0.067;0.076;0.067;0.112;0.122;0.043;0.089;0.067;0.106;0.14;0.112;0.043;0.089;0.067;0.106;0.112;0.043;0.107;0.067;0.106;0.112;0.043;0.043;0.043;0.043;0.067;0.073;0.089;0.067;0.067;0.067
52	10	0.077;0.073;0.102;0.068;0.067;0.092;0.097;0.078;0.078;0.073;0.075;0.075;0.097;0.097;0.073;0.071;0.071;0.073;0.068;0.067;0.089;0.089;0.067;0.067;0.075;0.071;0.075;0.078;0.078;0.078;0.077;0.068;0.077;0.077;0.077;0.097;0.073;0.073;0.073;0.089;0.067;0.067;0.078;0.078;0.204
