Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	5	4371	0.042	0.2	0.04885701212537177	0.047
2	14	903	0.042	0.145	0.04983388704318937	0.046
3	4	190	0.042	0.107	0.049236842105263155	0.048
4	6	496	0.043	0.313	0.05145967741935484	0.049
5	1	465	0.043	0.141	0.05034408602150538	0.047
6	26	91	0.043	0.071	0.04858241758241758	0.046
7	9	171	0.042	0.095	0.049444444444444444	0.047
8	37	210	0.042	0.086	0.04995714285714286	0.049
9	5	153	0.042	0.074	0.0483202614379085	0.047
10	1	91	0.044	0.078	0.05063736263736264	0.049
11	2	91	0.043	0.09	0.05134065934065934	0.049
12	20	21	0.044	0.069	0.0489047619047619	0.044
13	36	36	0.043	0.089	0.04741666666666666	0.046
14	56	66	0.044	0.088	0.05231818181818182	0.05
15	9	55	0.043	0.069	0.04870909090909091	0.047
16	11	66	0.042	0.118	0.059	0.046
17	25	66	0.043	0.079	0.050833333333333335	0.046
18	12	45	0.043	0.092	0.05017777777777778	0.047
19	4	45	0.044	0.158	0.06862222222222222	0.052
20	35	28	0.042	0.067	0.04903571428571429	0.046
21	2	28	0.043	0.07	0.04957142857142857	0.048
22	5	15	0.046	0.078	0.05173333333333333	0.049
23	6	21	0.045	0.066	0.05195238095238095	0.05
24	5	21	0.042	0.084	0.04766666666666667	0.046
25	3	28	0.043	0.076	0.05121428571428571	0.049
26	9	21	0.044	0.057	0.0479047619047619	0.046
27	14	28	0.044	0.076	0.04932142857142857	0.048
28	12	15	0.044	0.11	0.0592	0.05
29	2	6	0.05	0.114	0.062	0.052000000000000005
30	8	10	0.043	0.13	0.0673	0.05
31	1	10	0.043	0.082	0.0518	0.0495
32	2	10	0.043	0.052	0.0467	0.046
33	3	10	0.042	0.185	0.0683	0.047
34	24	3	0.044	0.046	0.045	0.045
35	1	6	0.043	0.054	0.04683333333333333	0.046
36	1	1	0.046	0.046	0.046	0.046
37	1	6	0.043	0.051	0.04533333333333333	0.0445
38	3	10	0.045	0.077	0.0546	0.048
39	9	10	0.043	0.066	0.049	0.0475
40	1	10	0.044	0.058	0.048	0.046
41	1	10	0.044	0.09	0.052	0.047
42	1	10	0.043	0.054	0.046099999999999995	0.045
43	15	10	0.047	0.059	0.0493	0.047
44	3	3	0.044	0.045	0.04433333333333333	0.044
45	1	6	0.044	0.047	0.04583333333333333	0.046
46	1	3	0.046	0.055	0.049	0.046
47	1	6	0.05	0.055	0.051500000000000004	0.051000000000000004
48	1	3	0.046	0.181	0.09266666666666666	0.051
49	2	1	1.0	1.0	1.0	1.0
50	4	6	0.046	0.058	0.052000000000000005	0.052000000000000005
51	6	6	0.043	0.068	0.04816666666666666	0.044
52	19	6	0.042	0.05	0.04516666666666667	0.0435
53	1	6	0.043	0.048	0.045	0.0445
54	2	6	0.046	0.056	0.050333333333333334	0.0495
55	1	3	0.049	0.092	0.07166666666666667	0.074
56	14	3	0.043	0.05	0.04633333333333333	0.046
57	9	6	0.044	0.054	0.04733333333333333	0.046
58	1	6	0.046	0.054	0.051	0.0515
59	1	1	1.0	1.0	1.0	1.0
60	1	3	0.042	0.043	0.042333333333333334	0.042
61	4	1	1.0	1.0	1.0	1.0
62	1	1	0.045	0.045	0.045	0.045
63	1	1	0.043	0.043	0.043	0.043
64	1	1	0.046	0.046	0.046	0.046
65	1	1	0.046	0.046	0.046	0.046
66	1	3	0.046	0.049	0.047	0.046
67	6	3	0.046	0.049	0.048	0.049
68	1	3	0.046	0.055	0.051	0.052
69	2	3	0.056	0.09	0.06733333333333333	0.056
70	3	3	0.046	0.111	0.06766666666666667	0.046
71	2	1	0.044	0.044	0.044	0.044
72	1	1	0.051	0.051	0.051	0.051
73	11	3	0.05	0.057	0.054	0.055
74	1	3	0.043	0.1	0.062	0.043
75	4	3	0.044	0.168	0.08533333333333333	0.044
76	1	3	0.049	0.182	0.09333333333333334	0.049
77	4	3	0.047	0.051	0.04833333333333333	0.047
78	16	3	0.044	0.05	0.04666666666666667	0.046
79	1	1	1.0	1.0	1.0	1.0
80	1	3	0.042	0.045	0.043000000000000003	0.042
81	5	1	0.054	0.054	0.054	0.054
82	1	1	0.077	0.077	0.077	0.077
83	5	1	1.0	1.0	1.0	1.0
84	1	1	0.052	0.052	0.052	0.052
85	4	1	0.0	0.0	0.0	0.0
86	5	1	0.063	0.063	0.063	0.063
87	1	1	0.054	0.054	0.054	0.054
88	2	1	0.049	0.049	0.049	0.049
89	1	1	0.057	0.057	0.057	0.057
90	1	1	0.047	0.047	0.047	0.047
91	14	1	0.048	0.048	0.048	0.048
92	1	1	0.046	0.046	0.046	0.046
93	1	1	0.054	0.054	0.054	0.054
94	2	1	0.154	0.154	0.154	0.154
95	5	1	0.05	0.05	0.05	0.05
96	2	1	0.05	0.05	0.05	0.05
97	1	1	0.046	0.046	0.046	0.046
98	1	1	1.0	1.0	1.0	1.0
99	3	1	0.047	0.047	0.047	0.047
100	1	1	0.049	0.049	0.049	0.049
101	1	1	0.047	0.047	0.047	0.047
102	4	1	0.14	0.14	0.14	0.14
103	1	1	0.054	0.054	0.054	0.054
104	1	1	0.064	0.064	0.064	0.064
105	1	1	0.049	0.049	0.049	0.049
106	1	1	1.0	1.0	1.0	1.0
107	1	1	0.066	0.066	0.066	0.066
108	2	1	0.045	0.045	0.045	0.045
109	1	1	0.042	0.042	0.042	0.042
110	1	1	0.066	0.066	0.066	0.066
111	5	1	0.052	0.052	0.052	0.052
112	1	1	1.0	1.0	1.0	1.0
113	1	1	0.057	0.057	0.057	0.057
114	3	1	0.042	0.042	0.042	0.042
115	1	1	0.046	0.046	0.046	0.046
116	1	1	0.042	0.042	0.042	0.042
117	1	1	0.112	0.112	0.112	0.112
118	1	1	0.063	0.063	0.063	0.063
119	1	1	1.0	1.0	1.0	1.0
120	4	1	0.072	0.072	0.072	0.072
121	2	1	1.0	1.0	1.0	1.0
122	1	1	0.124	0.124	0.124	0.124
123	1	1	0.073	0.073	0.073	0.073
124	2	1	0.046	0.046	0.046	0.046
125	1	1	0.044	0.044	0.044	0.044
126	1	1	0.046	0.046	0.046	0.046
127	2	1	0.047	0.047	0.047	0.047
128	2	1	1.0	1.0	1.0	1.0
129	2	1	0.05	0.05	0.05	0.05
130	3	1	0.0	0.0	0.0	0.0
131	2	1	0.051	0.051	0.051	0.051
132	4	1	0.046	0.046	0.046	0.046
133	1	1	0.058	0.058	0.058	0.058
134	1	1	1.0	1.0	1.0	1.0
135	1	1	0.056	0.056	0.056	0.056
136	2	1	1.0	1.0	1.0	1.0
137	2	1	0.044	0.044	0.044	0.044
138	1	1	0.056	0.056	0.056	0.056
