Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	5	4371	-0.0	0.817	0.12176389842141386	0.099
2	14	903	-0.0	0.74	0.13104097452934663	0.089
3	4	190	-0.0	0.632	0.13245263157894738	0.1275
4	6	496	0.024	0.903	0.14894556451612903	0.142
5	1	465	0.006	0.731	0.14596559139784945	0.113
6	26	91	0.006	0.419	0.11947252747252747	0.089
7	9	171	0.002	0.566	0.13615204678362572	0.099
8	37	210	0.002	0.517	0.13475714285714285	0.142
9	5	153	0.002	0.448	0.11498039215686275	0.099
10	1	91	0.032	0.48	0.1524285714285714	0.142
11	2	91	0.024	0.551	0.16538461538461538	0.145
12	20	21	0.032	0.406	0.11538095238095238	0.032
13	36	36	0.006	0.545	0.09627777777777778	0.077
14	56	66	0.032	0.54	0.17842424242424243	0.149
15	9	55	-0.0	0.401	0.11790909090909091	0.099
16	11	66	0.004	0.668	0.19654545454545455	0.089
17	25	66	-0.0	0.486	0.14413636363636365	0.085
18	12	45	0.006	0.565	0.13428888888888887	0.099
19	4	45	0.006	0.764	0.3022	0.19
20	35	28	0.004	0.389	0.12235714285714286	0.0575
21	2	28	0.006	0.413	0.13557142857142856	0.1205
22	5	15	0.079	0.479	0.1736	0.145
23	6	21	0.057	0.374	0.17876190476190476	0.158
24	5	21	-0.0	0.518	0.09790476190476191	0.089
25	3	28	0.006	0.461	0.16035714285714286	0.142
26	9	21	0.032	0.272	0.11752380952380953	0.089
27	14	28	0.032	0.462	0.13775	0.1275
28	12	15	0.032	0.641	0.23786666666666667	0.165
29	2	6	0.159	0.657	0.264	0.192
30	8	10	0.024	0.704	0.2777	0.159
31	1	10	-0.0	0.505	0.1524	0.1515
32	2	10	0.024	0.19	0.0972	0.089
33	3	10	0.003	0.806	0.2414	0.10600000000000001
34	24	3	0.042	0.059	0.048	0.043
35	1	6	0.006	0.223	0.08883333333333333	0.078
36	1	1	0.089	0.089	0.089	0.089
37	1	6	0.024	0.175	0.06933333333333333	0.052000000000000005
38	3	10	0.057	0.468	0.194	0.115
39	9	10	0.006	0.374	0.1197	0.1075
40	1	10	0.032	0.254	0.1009	0.079
41	1	10	0.047	0.551	0.1598	0.113
42	1	10	0.006	0.206	0.0643	0.0425
43	15	10	0.099	0.294	0.1407	0.099
44	3	3	0.032	0.057	0.042333333333333334	0.038
45	1	6	0.032	0.113	0.07983333333333334	0.089
46	1	3	0.089	0.238	0.13866666666666666	0.089
47	1	6	0.159	0.246	0.18383333333333335	0.1745
48	1	3	0.089	0.794	0.3436666666666667	0.148
49	2	1	1.0	1.0	1.0	1.0
50	4	6	0.079	0.286	0.18716666666666668	0.1895
51	6	6	0.006	0.379	0.08966666666666667	0.024
52	19	6	-0.0	0.165	0.06216666666666667	0.0285
53	1	6	0.006	0.092	0.04666666666666667	0.038
54	2	6	0.089	0.238	0.14616666666666667	0.1275
55	1	3	0.145	0.552	0.3766666666666667	0.433
56	14	3	0.006	0.158	0.081	0.079
57	9	6	0.032	0.223	0.10033333333333333	0.078
58	1	6	0.089	0.206	0.16549999999999998	0.1735
59	1	1	1.0	1.0	1.0	1.0
60	1	3	-0.0	0.006	0.002	-0.0
61	4	1	1.0	1.0	1.0	1.0
62	1	1	0.057	0.057	0.057	0.057
63	1	1	0.006	0.006	0.006	0.006
64	1	1	0.089	0.089	0.089	0.089
65	1	1	0.077	0.077	0.077	0.077
66	1	3	0.089	0.145	0.10766666666666666	0.089
67	6	3	0.079	0.145	0.122	0.142
68	1	3	0.089	0.234	0.171	0.19
69	2	3	0.259	0.551	0.35633333333333334	0.259
70	3	3	0.089	0.646	0.27466666666666667	0.089
71	2	1	0.042	0.042	0.042	0.042
72	1	1	0.149	0.149	0.149	0.149
73	11	3	0.168	0.272	0.22433333333333336	0.233
74	1	3	0.024	0.603	0.217	0.024
75	4	3	0.047	0.78	0.29133333333333333	0.047
76	1	3	0.142	0.801	0.3616666666666667	0.142
77	4	3	0.099	0.175	0.12433333333333334	0.099
78	16	3	0.047	0.159	0.09833333333333333	0.089
79	1	1	1.0	1.0	1.0	1.0
80	1	3	0.002	0.066	0.023333333333333334	0.002
81	5	1	0.225	0.225	0.225	0.225
82	1	1	0.468	0.468	0.468	0.468
83	5	1	1.0	1.0	1.0	1.0
84	1	1	0.2	0.2	0.2	0.2
85	4	1	0.0	0.0	0.0	0.0
86	5	1	0.326	0.326	0.326	0.326
87	1	1	0.223	0.223	0.223	0.223
88	2	1	0.145	0.145	0.145	0.145
89	1	1	0.272	0.272	0.272	0.272
90	1	1	0.113	0.113	0.113	0.113
91	14	1	0.092	0.092	0.092	0.092
92	1	1	0.089	0.089	0.089	0.089
93	1	1	0.223	0.223	0.223	0.223
94	2	1	0.758	0.758	0.758	0.758
95	5	1	0.165	0.165	0.165	0.165
96	2	1	0.165	0.165	0.165	0.165
97	1	1	0.089	0.089	0.089	0.089
98	1	1	1.0	1.0	1.0	1.0
99	3	1	0.099	0.099	0.099	0.099
100	1	1	0.145	0.145	0.145	0.145
101	1	1	0.113	0.113	0.113	0.113
102	4	1	0.729	0.729	0.729	0.729
103	1	1	0.206	0.206	0.206	0.206
104	1	1	0.355	0.355	0.355	0.355
105	1	1	0.142	0.142	0.142	0.142
106	1	1	1.0	1.0	1.0	1.0
107	1	1	0.375	0.375	0.375	0.375
108	2	1	0.057	0.057	0.057	0.057
109	1	1	-0.0	-0.0	0.0	-0.0
110	1	1	0.374	0.374	0.374	0.374
111	5	1	0.2	0.2	0.2	0.2
112	1	1	1.0	1.0	1.0	1.0
113	1	1	0.262	0.262	0.262	0.262
114	3	1	-0.0	-0.0	0.0	-0.0
115	1	1	0.089	0.089	0.089	0.089
116	1	1	-0.0	-0.0	0.0	-0.0
117	1	1	0.649	0.649	0.649	0.649
