Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	5	1128	0.044	0.313	0.08379432624113475	0.073
2	14	406	0.044	0.249	0.08192118226600985	0.073
3	4	36	0.065	0.194	0.07977777777777778	0.073
4	6	351	0.044	0.285	0.0871054131054131	0.077
5	1	231	0.067	0.313	0.09567099567099567	0.094
6	26	45	0.065	0.182	0.08313333333333334	0.073
7	9	153	0.065	0.313	0.10256209150326798	0.094
8	37	91	0.043	0.19	0.09804395604395605	0.077
9	5	55	0.043	0.161	0.07992727272727272	0.073
10	1	45	0.067	0.204	0.08031111111111111	0.075
11	2	66	0.065	0.199	0.09360606060606061	0.073
12	20	1	0.071	0.071	0.071	0.071
13	36	6	0.067	0.087	0.077	0.077
14	56	45	0.065	0.211	0.09622222222222222	0.078
15	9	36	0.067	0.141	0.08813888888888889	0.0755
16	11	21	0.07	0.249	0.14366666666666666	0.121
17	25	10	0.067	0.112	0.0771	0.07
18	12	15	0.065	0.121	0.07853333333333333	0.073
19	4	28	0.044	0.204	0.10317857142857143	0.07999999999999999
20	35	15	0.073	0.218	0.09346666666666667	0.079
21	2	6	0.073	0.073	0.073	0.073
22	5	10	0.071	0.163	0.09559999999999999	0.074
23	6	15	0.065	0.185	0.0916	0.075
24	5	15	0.067	0.131	0.09686666666666667	0.087
25	3	6	0.073	0.204	0.1055	0.0865
26	9	10	0.067	0.211	0.11359999999999999	0.073
27	14	10	0.073	0.115	0.0946	0.095
28	12	10	0.067	0.249	0.1206	0.126
29	2	1	1.0	1.0	1.0	1.0
30	8	6	0.097	0.13	0.11766666666666667	0.121
31	1	10	0.069	0.098	0.0767	0.073
32	2	1	0.073	0.073	0.073	0.073
33	3	3	0.126	0.126	0.126	0.126
34	24	3	0.097	0.179	0.12666666666666665	0.104
35	1	6	0.067	0.285	0.12383333333333332	0.096
36	1	1	0.136	0.136	0.136	0.136
37	1	6	0.065	0.182	0.09116666666666666	0.073
38	3	6	0.044	0.178	0.07533333333333334	0.057499999999999996
39	9	6	0.077	0.178	0.12	0.10999999999999999
40	1	6	0.17	0.193	0.1815	0.1815
41	1	10	0.067	0.126	0.0814	0.073
42	1	3	0.078	0.262	0.14033333333333334	0.081
43	15	1	0.073	0.073	0.073	0.073
44	3	1	1.0	1.0	1.0	1.0
45	1	6	0.071	0.073	0.072	0.072
46	1	3	0.071	0.073	0.07166666666666666	0.071
47	1	6	0.065	0.419	0.20533333333333334	0.227
48	1	1	1.0	1.0	1.0	1.0
49	2	1	1.0	1.0	1.0	1.0
50	4	3	0.138	0.147	0.14266666666666666	0.143
51	6	6	0.071	0.121	0.10166666666666667	0.112
52	19	1	1.0	1.0	1.0	1.0
53	1	3	0.077	0.121	0.09266666666666666	0.08
54	2	6	0.043	0.231	0.13383333333333333	0.1275
55	1	3	0.073	0.115	0.08833333333333333	0.077
56	14	1	1.0	1.0	1.0	1.0
57	9	3	0.073	0.087	0.07766666666666666	0.073
58	1	1	0.07	0.07	0.07	0.07
59	1	1	1.0	1.0	1.0	1.0
60	1	3	0.073	0.112	0.086	0.073
61	4	1	1.0	1.0	1.0	1.0
62	1	1	0.078	0.078	0.078	0.078
63	1	1	0.0	0.0	0.0	0.0
64	1	1	0.073	0.073	0.073	0.073
65	1	1	1.0	1.0	1.0	1.0
66	1	1	0.073	0.073	0.073	0.073
67	6	1	1.0	1.0	1.0	1.0
68	1	3	0.073	0.126	0.09066666666666666	0.073
69	2	1	0.097	0.097	0.097	0.097
70	3	1	0.098	0.098	0.098	0.098
71	2	1	1.0	1.0	1.0	1.0
72	1	1	0.076	0.076	0.076	0.076
73	11	1	0.087	0.087	0.087	0.087
74	1	3	0.065	0.065	0.065	0.065
75	4	3	0.126	0.126	0.126	0.126
76	1	3	0.112	0.419	0.21433333333333332	0.112
77	4	3	0.065	0.073	0.06833333333333333	0.067
78	16	1	0.073	0.073	0.073	0.073
79	1	1	1.0	1.0	1.0	1.0
80	1	3	0.067	0.111	0.08366666666666667	0.073
81	5	1	0.419	0.419	0.419	0.419
82	1	1	0.112	0.112	0.112	0.112
83	5	1	0.0	0.0	0.0	0.0
84	1	1	0.136	0.136	0.136	0.136
85	4	1	0.0	0.0	0.0	0.0
86	5	1	0.224	0.224	0.224	0.224
87	1	1	0.073	0.073	0.073	0.073
88	2	1	0.126	0.126	0.126	0.126
