Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	4	1128	0.0	0.903	0.46182890070921984	0.441
2	12	406	0.0	0.867	0.4353768472906404	0.441
3	4	36	0.366	0.816	0.46325	0.4375
4	7	351	0.0	0.889	0.4632763532763533	0.467
5	1	190	0.383	0.903	0.5490052631578948	0.576
6	26	45	0.366	0.801	0.4812	0.441
7	9	153	0.366	0.903	0.5606078431372549	0.576
8	37	91	0.0	0.811	0.4959230769230769	0.455
9	4	55	0.0	0.77	0.41563636363636364	0.441
10	1	45	0.378	0.828	0.4712	0.455
11	2	66	0.366	0.822	0.513090909090909	0.441
12	20	1	0.425	0.425	0.425	0.425
13	36	45	0.366	0.834	0.5358222222222222	0.479
14	1	21	0.395	0.867	0.6376666666666667	0.668
15	56	28	0.383	0.731	0.5305357142857142	0.576
16	9	3	0.383	0.538	0.4346666666666667	0.383
17	11	10	0.383	0.648	0.4475	0.395
18	25	15	0.366	0.678	0.4614666666666667	0.434
19	12	28	0.0	0.828	0.4689642857142857	0.48950000000000005
20	3	15	0.441	0.841	0.5136000000000001	0.459
21	33	6	0.441	0.441	0.441	0.441
22	2	10	0.425	0.773	0.5419	0.449
23	2	15	0.383	0.707	0.5576666666666666	0.538
24	5	6	0.441	0.828	0.5658333333333333	0.5205
25	5	10	0.383	0.834	0.5451	0.434
26	3	10	0.441	0.66	0.5599	0.5805
27	6	10	0.395	0.705	0.5561	0.609
28	14	10	0.383	0.867	0.6168	0.692
29	12	6	0.383	0.744	0.5441666666666667	0.581
30	1	1	0.441	0.441	0.441	0.441
31	8	10	0.441	0.692	0.4834	0.441
32	1	1	1.0	1.0	1.0	1.0
33	1	6	0.441	0.538	0.4698333333333333	0.45999999999999996
34	3	6	0.366	0.801	0.4916666666666667	0.434
35	24	6	0.0	0.796	0.2743333333333333	0.2125
36	1	6	0.467	0.796	0.6186666666666667	0.601
37	1	6	0.784	0.809	0.7965	0.7965
38	1	3	0.479	0.873	0.6133333333333333	0.488
39	1	1	0.692	0.692	0.692	0.692
40	9	1	0.441	0.441	0.441	0.441
41	1	1	1.0	1.0	1.0	1.0
42	1	1	0.609	0.609	0.609	0.609
43	1	6	0.425	0.441	0.433	0.433
44	1	3	0.383	0.678	0.5133333333333333	0.479
45	15	1	1.0	1.0	1.0	1.0
46	3	1	1.0	1.0	1.0	1.0
47	1	3	0.724	0.744	0.7343333333333333	0.735
48	1	6	0.425	0.678	0.5820000000000001	0.6445000000000001
49	1	6	0.383	0.692	0.4623333333333333	0.4375
50	1	1	1.0	1.0	1.0	1.0
51	1	3	0.441	0.648	0.5146666666666667	0.455
52	3	1	1.0	1.0	1.0	1.0
53	6	1	0.425	0.425	0.425	0.425
54	19	3	0.434	0.648	0.5076666666666667	0.441
55	1	1	1.0	1.0	1.0	1.0
56	1	1	0.0	0.0	0.0	0.0
57	1	3	0.366	0.939	0.718	0.849
58	13	1	1.0	1.0	1.0	1.0
59	9	3	0.0	0.85	0.2833333333333333	0.0
60	1	1	0.59	0.59	0.59	0.59
61	1	1	1.0	1.0	1.0	1.0
62	1	3	0.366	0.366	0.366	0.366
63	4	3	0.649	0.939	0.7456666666666667	0.649
64	1	1	0.538	0.538	0.538	0.538
65	1	1	1.0	1.0	1.0	1.0
66	1	3	0.383	0.646	0.49	0.441
67	1	1	0.939	0.939	0.939	0.939
68	1	1	0.648	0.648	0.648	0.648
69	1	1	0.0	0.0	0.0	0.0
70	1	1	0.796	0.796	0.796	0.796
71	1	1	0.809	0.809	0.809	0.809
72	1	1	1.0	1.0	1.0	1.0
73	1	1	1.0	1.0	1.0	1.0
74	1	1	1.0	1.0	1.0	1.0
75	11	1	1.0	1.0	1.0	1.0
76	1	1	1.0	1.0	1.0	1.0
77	4	1	0.903	0.903	0.903	0.903
78	1	1	0.425	0.425	0.425	0.425
79	4	1	1.0	1.0	1.0	1.0
80	16	1	0.692	0.692	0.692	0.692
81	1	1	1.0	1.0	1.0	1.0
82	1	1	1.0	1.0	1.0	1.0
83	1	1	1.0	1.0	1.0	1.0
84	5	1	1.0	1.0	1.0	1.0
85	1	1	1.0	1.0	1.0	1.0
86	5	1	1.0	1.0	1.0	1.0
87	1	1	0.724	0.724	0.724	0.724
88	4	1	0.0	0.0	0.0	0.0
89	5	1	1.0	1.0	1.0	1.0
90	1	1	0.441	0.441	0.441	0.441
91	2	1	1.0	1.0	1.0	1.0
92	1	1	0.0	0.0	0.0	0.0
93	1	1	0.0	0.0	0.0	0.0
