Cluster	No_of_drugs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	5	1128	0.0	0.903	0.46182890070921984	0.441
2	14	406	0.0	0.867	0.4353768472906404	0.441
3	4	36	0.366	0.816	0.46325	0.4375
4	7	351	0.0	0.889	0.4632763532763533	0.467
5	1	190	0.383	0.903	0.5490052631578948	0.576
6	26	45	0.366	0.801	0.4812	0.441
7	9	153	0.366	0.903	0.5606078431372549	0.576
8	37	91	0.0	0.811	0.4959230769230769	0.455
9	5	55	0.0	0.77	0.41563636363636364	0.441
10	1	45	0.378	0.828	0.4712	0.455
11	2	66	0.366	0.822	0.513090909090909	0.441
12	20	1	0.425	0.425	0.425	0.425
13	36	6	0.383	0.538	0.4605	0.4605
14	56	45	0.366	0.834	0.5358222222222222	0.479
15	9	21	0.395	0.867	0.6376666666666667	0.668
16	11	28	0.383	0.731	0.5305357142857142	0.576
17	25	10	0.383	0.648	0.4475	0.395
18	12	15	0.366	0.678	0.4614666666666667	0.434
19	4	21	0.441	0.841	0.5318095238095238	0.459
20	33	28	0.0	0.828	0.4689642857142857	0.48950000000000005
21	2	6	0.441	0.441	0.441	0.441
22	3	10	0.425	0.773	0.5419	0.449
23	6	15	0.383	0.707	0.5576666666666666	0.538
24	5	6	0.441	0.828	0.5658333333333333	0.5205
25	3	10	0.383	0.834	0.5451	0.434
26	7	10	0.441	0.66	0.5599	0.5805
27	14	10	0.395	0.705	0.5561	0.609
28	12	10	0.366	0.586	0.42969999999999997	0.4375
29	1	10	0.383	0.867	0.6168	0.692
30	8	1	1.0	1.0	1.0	1.0
31	1	10	0.39	0.586	0.4575	0.441
32	1	1	0.441	0.441	0.441	0.441
33	3	3	0.59	0.791	0.6633333333333333	0.609
34	24	6	0.383	0.889	0.594	0.5675
35	1	6	0.366	0.801	0.4916666666666667	0.434
36	1	6	0.0	0.796	0.2743333333333333	0.2125
37	1	6	0.467	0.796	0.6186666666666667	0.601
38	3	6	0.784	0.809	0.7965	0.7965
39	9	10	0.383	0.692	0.4775	0.4375
40	1	3	0.479	0.873	0.6133333333333333	0.488
41	1	1	0.692	0.692	0.692	0.692
42	1	1	0.441	0.441	0.441	0.441
43	15	1	1.0	1.0	1.0	1.0
44	3	6	0.425	0.441	0.433	0.433
45	1	3	0.425	0.441	0.43033333333333335	0.425
46	12	6	0.366	0.939	0.7058333333333333	0.849
47	1	1	1.0	1.0	1.0	1.0
48	1	3	0.629	0.806	0.6946666666666667	0.649
49	2	1	1.0	1.0	1.0	1.0
50	4	3	0.724	0.744	0.7343333333333333	0.735
51	6	6	0.425	0.678	0.5820000000000001	0.6445000000000001
52	19	1	1.0	1.0	1.0	1.0
53	1	6	0.0	0.85	0.42233333333333334	0.417
54	1	3	0.692	0.692	0.692	0.692
55	1	3	0.441	0.648	0.5146666666666667	0.455
56	13	1	1.0	1.0	1.0	1.0
57	9	6	0.59	0.939	0.7398333333333333	0.7275
58	1	1	1.0	1.0	1.0	1.0
59	1	1	1.0	1.0	1.0	1.0
60	2	3	0.434	0.648	0.5076666666666667	0.441
61	4	1	1.0	1.0	1.0	1.0
62	1	1	0.479	0.479	0.479	0.479
63	1	1	0.0	0.0	0.0	0.0
64	1	1	0.434	0.434	0.434	0.434
65	1	1	0.434	0.434	0.434	0.434
66	1	1	1.0	1.0	1.0	1.0
67	4	1	1.0	1.0	1.0	1.0
68	1	1	1.0	1.0	1.0	1.0
69	3	3	0.441	0.692	0.5246666666666666	0.441
70	3	1	0.59	0.59	0.59	0.59
71	2	1	0.383	0.383	0.383	0.383
72	1	1	1.0	1.0	1.0	1.0
73	2	1	0.448	0.448	0.448	0.448
74	4	1	0.538	0.538	0.538	0.538
75	1	3	0.441	0.631	0.5096666666666667	0.457
76	4	3	0.366	0.366	0.366	0.366
77	16	3	0.692	0.692	0.692	0.692
78	2	1	0.538	0.538	0.538	0.538
79	3	3	0.366	0.441	0.39666666666666667	0.383
80	1	1	0.441	0.441	0.441	0.441
81	5	1	1.0	1.0	1.0	1.0
82	1	3	0.0	0.366	0.122	0.0
83	5	3	0.441	0.479	0.45366666666666666	0.441
84	1	1	1.0	1.0	1.0	1.0
85	4	3	0.383	0.646	0.49	0.441
86	5	1	0.939	0.939	0.939	0.939
87	1	1	0.648	0.648	0.648	0.648
88	2	1	0.0	0.0	0.0	0.0
89	1	1	0.76	0.76	0.76	0.76
90	1	1	0.692	0.692	0.692	0.692
91	14	1	1.0	1.0	1.0	1.0
92	1	1	0.434	0.434	0.434	0.434
93	1	1	0.796	0.796	0.796	0.796
94	1	1	0.809	0.809	0.809	0.809
95	5	1	0.66	0.66	0.66	0.66
96	2	1	1.0	1.0	1.0	1.0
97	1	1	1.0	1.0	1.0	1.0
98	2	1	0.0	0.0	0.0	0.0
99	3	1	1.0	1.0	1.0	1.0
