Distance	Density
0.0	0.025
0.0031	0.0251
0.0062	0.0251
0.0093	0.0251
0.0124	0.0252
0.0155	0.0252
0.0186	0.0252
0.0216	0.0252
0.0247	0.0252
0.0278	0.0252
0.0309	0.0253
0.034	0.0253
0.0371	0.0253
0.0402	0.0253
0.0433	0.0253
0.0464	0.0253
0.0495	0.0253
0.0526	0.0253
0.0557	0.0253
0.0588	0.0253
0.0618	0.0253
0.0649	0.0252
0.068	0.0252
0.0711	0.0252
0.0742	0.0252
0.0773	0.0252
0.0804	0.0252
0.0835	0.0251
0.0866	0.0251
0.0897	0.0251
0.0928	0.0251
0.0959	0.025
0.0989	0.025
0.102	0.025
0.1051	0.0249
0.1082	0.0249
0.1113	0.0249
0.1144	0.0248
0.1175	0.0248
0.1206	0.0248
0.1237	0.0247
0.1268	0.0247
0.1299	0.0246
0.133	0.0246
0.1361	0.0245
0.1391	0.0245
0.1422	0.0244
0.1453	0.0244
0.1484	0.0243
0.1515	0.0243
0.1546	0.0242
0.1577	0.0242
0.1608	0.0241
0.1639	0.0241
0.167	0.024
0.1701	0.024
0.1732	0.0239
0.1763	0.0238
0.1793	0.0238
0.1824	0.0237
0.1855	0.0237
0.1886	0.0236
0.1917	0.0236
0.1948	0.0235
0.1979	0.0234
0.201	0.0234
0.2041	0.0233
0.2072	0.0232
0.2103	0.0232
0.2134	0.0231
0.2164	0.0231
0.2195	0.023
0.2226	0.0229
0.2257	0.0229
0.2288	0.0228
0.2319	0.0227
0.235	0.0227
0.2381	0.0226
0.2412	0.0226
0.2443	0.0225
0.2474	0.0224
0.2505	0.0224
0.2536	0.0223
0.2566	0.0223
0.2597	0.0222
0.2628	0.0221
0.2659	0.0221
0.269	0.022
0.2721	0.022
0.2752	0.0219
0.2783	0.0219
0.2814	0.0218
0.2845	0.0217
0.2876	0.0217
0.2907	0.0216
0.2938	0.0216
0.2968	0.0215
0.2999	0.0215
0.303	0.0214
0.3061	0.0214
0.3092	0.0213
0.3123	0.0213
0.3154	0.0213
0.3185	0.0212
0.3216	0.0212
0.3247	0.0211
0.3278	0.0211
0.3309	0.021
0.3339	0.021
0.337	0.021
0.3401	0.0209
0.3432	0.0209
0.3463	0.0209
0.3494	0.0208
0.3525	0.0208
0.3556	0.0208
0.3587	0.0208
0.3618	0.0207
0.3649	0.0207
0.368	0.0207
0.3711	0.0207
0.3741	0.0207
