Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
1	125	538	538	9181	1915	response to xenobiotic stimulus (GO:0009410)	1.61784296443275e-42
2	56	498	498	9181	1838	response to inorganic substance (GO:0010035)	8.22291636642846e-40
3	37	130	130	9181	1086	response to inorganic substance (GO:0010035)	7.83759857687527e-19
4	36	674	674	9181	1761	positive regulation of cell death (GO:0010942)	9.20396630465835e-37
5	35	4660	4660	9181	379	ribonucleoprotein complex biogenesis (GO:0022613)	2.43285117737365e-24
6	26	201	201	9181	1119	cellular response to chemical stress (GO:0062197)	2.65206464063705e-24
7	25	323	323	9181	1712	response to inorganic substance (GO:0010035)	2.13562207755748e-50
8	24	175	175	9181	1295	response to xenobiotic stimulus (GO:0009410)	5.97603190156468e-32
9	20	192	192	9181	1170	cellular response to chemical stress (GO:0062197)	1.80740168599882e-41
10	19	530	530	9181	875	response to xenobiotic stimulus (GO:0009410)	3.95606491835953e-19
11	16	223	223	9181	1222	regulation of hormone levels (GO:0010817)	3.56938774856392e-28
12	15	23	23	9181	23	regulation of presynaptic membrane potential (GO:0099505)	6.40820253853795e-05
13	14	79	79	9181	666	neuron death (GO:0070997)	2.07757580784741e-13
14	14	535	535	9181	1712	apoptotic signaling pathway (GO:0097190)	7.06346562136164e-32
15	14	150	150	9181	992	response to xenobiotic stimulus (GO:0009410)	1.92273631139768e-17
16	14	33	33	9181	227	xenobiotic catabolic process (GO:0042178)	2.77120602373599e-09
17	12	117	117	9181	757	response to xenobiotic stimulus (GO:0009410)	1.8913041237716e-26
18	12	125	125	9181	1312	cellular response to chemical stress (GO:0062197)	2.4714232011082e-29
19	11	41	41	9181	190	response to xenobiotic stimulus (GO:0009410)	2.20366294182923e-13
20	11	132	132	9181	1291	apoptotic signaling pathway (GO:0097190)	1.5622024163288e-27
21	9	61	61	9181	452	cellular response to chemical stress (GO:0062197)	8.54210507149196e-14
22	9	110	110	9181	1085	response to lipopolysaccharide (GO:0032496)	8.33756201228315e-21
23	9	94	94	9181	1130	positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	3.5047049502975e-13
24	9	288	288	9181	251	dopamine transport (GO:0015872)	6.65113033217177e-14
25	9	18	18	9181	96	response to xenobiotic stimulus (GO:0009410)	0.000243400191093062
26	8	39	39	9181	102	response to xenobiotic stimulus (GO:0009410)	3.72051353914481e-11
27	8	218	218	9181	1434	regulation of hormone levels (GO:0010817)	3.3791227933641e-37
28	7	24	24	9181	26	response to xenobiotic stimulus (GO:0009410)	7.56448236040463e-10
29	7	13	13	9181	81	regulation of leukocyte chemotaxis (GO:0002688)	9.06150701283051e-07
30	6	39	39	9181	175	cellular glucuronidation (GO:0052695)	8.67546543011189e-18
31	6	175	175	9181	1176	circulatory system process (GO:0003013)	9.86971414055852e-25
32	6	9	9	9181	18	endoplasmic reticulum unfolded protein response (GO:0030968)	3.50481056319617e-05
33	6	13	13	9181	620	mononuclear cell proliferation (GO:0032943)	1.3158244225951e-09
34	5	82	82	9181	606	response to xenobiotic stimulus (GO:0009410)	7.26670802375005e-12
35	5	113	113	9181	990	response to xenobiotic stimulus (GO:0009410)	1.19994648208597e-20
36	5	8	8	9181	123	import across plasma membrane (GO:0098739)	5.82583178630986e-05
37	5	57	57	9181	831	apoptotic signaling pathway (GO:0097190)	2.00526026032633e-17
38	5	35	35	9181	23	xenobiotic transport (GO:0042908)	0.000103141144506494
39	5	52	52	9181	526	gland development (GO:0048732)	5.16994785749658e-08
40	5	22	22	9181	87	positive regulation of lymphocyte proliferation (GO:0050671)	8.12524291435092e-05
41	5	65	65	9181	532	cellular response to xenobiotic stimulus (GO:0071466)	6.87849270220967e-14
42	5	2823	2823	9181	370	cytoplasmic translation (GO:0002181)	9.54520809363652e-13
43	5	9	9	9181	123	extrinsic apoptotic signaling pathway (GO:0097191)	5.07129907298441e-08
44	5	9	9	9181	11	synaptic transmission, GABAergic (GO:0051932)	0.000557329701260055
45	4	23	23	9181	153	xenobiotic metabolic process (GO:0006805)	2.78607783070942e-09
46	4	16	16	9181	37	G protein-coupled serotonin receptor signaling pathway (GO:0098664)	4.45187024423002e-08
47	4	95	95	9181	833	response to xenobiotic stimulus (GO:0009410)	1.49240249118724e-19
48	4	3	3	9181	0	NA (NA)	NA
49	4	15	15	9181	37	response to peptide (GO:1901652)	2.35981012291741e-05
50	4	20	20	9181	483	cellular glucuronidation (GO:0052695)	6.07231546990395e-10
51	4	1766	1766	9181	224	chromatin organization (GO:0006325)	3.29258895059359e-24
52	4	77	77	9181	687	response to inorganic substance (GO:0010035)	5.29372282165651e-20
53	4	169	169	9181	1090	positive regulation of cell migration (GO:0030335)	2.15776257500073e-22
54	4	42	42	9181	699	response to oxidative stress (GO:0006979)	6.33760863172373e-11
55	4	10	10	9181	8	heterotypic cell-cell adhesion (GO:0034113)	0.0069433631751476
56	4	7	7	9181	15	ER-nucleus signaling pathway (GO:0006984)	0.00126033286948292
57	4	23	23	9181	123	xenobiotic catabolic process (GO:0042178)	4.10059012823904e-06
58	4	23	23	9181	437	positive regulation of neuron apoptotic process (GO:0043525)	2.47339871281199e-06
59	4	6	6	9181	10	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	1.00194989636949e-07
60	3	34	34	9181	402	execution phase of apoptosis (GO:0097194)	2.36295200402393e-10
61	3	0	0	9181	0		0
62	3	55	55	9181	831	response to lipopolysaccharide (GO:0032496)	2.01468379037664e-21
63	3	0	0	9181	0		0
64	3	35	35	9181	357	response to tumor necrosis factor (GO:0034612)	6.17381383844448e-11
65	3	59	59	9181	368	response to xenobiotic stimulus (GO:0009410)	1.58814295543911e-15
66	3	21	21	9181	96	cellular response to xenobiotic stimulus (GO:0071466)	3.45923985394014e-08
67	3	7	7	9181	22	regulation of hormone levels (GO:0010817)	0.00178608866742697
68	3	29	29	9181	277	cellular response to lipid (GO:0071396)	6.0170546209016e-10
69	3	1	1	9181	0	NA (NA)	NA
70	3	5	5	9181	0	NA (NA)	NA
71	3	10	10	9181	76	glycolytic process (GO:0006096)	2.912956591925e-06
72	3	172	172	9181	1135	cellular response to chemical stress (GO:0062197)	5.41807940194866e-19
73	3	11	11	9181	75	adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	1.80437845985359e-11
74	3	11	11	9181	401	prostanoid metabolic process (GO:0006692)	6.07523732994096e-07
75	3	6	6	9181	182	acute inflammatory response (GO:0002526)	0.000121560923167118
76	3	79	79	9181	655	cellular response to xenobiotic stimulus (GO:0071466)	3.27912868611877e-12
77	3	11	11	9181	32	regulation of postsynaptic membrane potential (GO:0060078)	1.64178421974265e-07
78	3	110	110	9181	829	apoptotic signaling pathway (GO:0097190)	1.48540312973772e-28
79	3	8	8	9181	0	NA (NA)	NA
80	3	1253	1253	9181	973	cytoplasmic translation (GO:0002181)	3.45591424363388e-63
81	2	323	323	9181	1881	apoptotic signaling pathway (GO:0097190)	3.47219068504533e-42
82	2	88	88	9181	716	response to xenobiotic stimulus (GO:0009410)	1.34739820420838e-19
83	2	3	3	9181	0	NA (NA)	NA
84	2	15	15	9181	131	response to nutrient levels (GO:0031667)	3.27289648181156e-05
85	2	1	1	9181	0	NA (NA)	NA
86	2	12	12	9181	147	regulation of MAPK cascade (GO:0043408)	2.37841474634411e-05
87	2	20	20	9181	126	steroid metabolic process (GO:0008202)	1.02123184727978e-06
88	2	10	10	9181	44	xenobiotic transport (GO:0042908)	9.42239095127949e-08
89	2	18	18	9181	88	xenobiotic catabolic process (GO:0042178)	2.1020243064176e-14
90	2	11	11	9181	0	NA (NA)	NA
91	2	3	3	9181	12	neurotransmitter metabolic process (GO:0042133)	0.00210180958668462
92	2	5	5	9181	19	xenobiotic transport (GO:0042908)	8.58152402960479e-05
93	2	85	85	9181	690	response to xenobiotic stimulus (GO:0009410)	2.29245496620977e-20
94	2	61	61	9181	880	apoptotic signaling pathway (GO:0097190)	2.36487070055576e-14
95	2	63	63	9181	57	astrocyte differentiation (GO:0048708)	0.00051828639632291
96	2	2	2	9181	3	neurotransmitter metabolic process (GO:0042133)	0.000427566735222571
97	2	16	16	9181	227	regulation of systemic arterial blood pressure (GO:0003073)	4.36123278311284e-13
98	2	74	74	9181	1427	positive regulation of cell death (GO:0010942)	8.49145391631424e-17
99	2	705	705	9181	1260	apoptotic signaling pathway (GO:0097190)	4.13894342464517e-38
100	2	4	4	9181	47	circulatory system process (GO:0003013)	0.000607966802630235
101	2	20	20	9181	187	response to xenobiotic stimulus (GO:0009410)	7.54888408175369e-10
102	2	7	7	9181	73	fatty acid metabolic process (GO:0006631)	1.65671012842993e-08
103	2	34	34	9181	217	steroid metabolic process (GO:0008202)	5.42128121497509e-09
104	2	220	220	9181	1386	response to decreased oxygen levels (GO:0036293)	8.04257136796771e-28
105	2	33	33	9181	490	apoptotic signaling pathway (GO:0097190)	7.81605180813932e-16
106	2	11	11	9181	85	response to inorganic substance (GO:0010035)	5.25646189872015e-06
107	2	100	100	9181	529	cellular response to xenobiotic stimulus (GO:0071466)	2.40403382512403e-35
108	2	30	30	9181	379	cellular response to chemical stress (GO:0062197)	4.05068944842048e-12
109	2	2	2	9181	5	regulation of lipid catabolic process (GO:0050994)	0.00248096915126651
110	2	11	11	9181	44	xenobiotic transport (GO:0042908)	1.20373831231243e-07
111	2	1	1	9181	0	NA (NA)	NA
112	2	49	49	9181	647	response to xenobiotic stimulus (GO:0009410)	3.93247079850686e-10
113	2	758	758	9181	1364	apoptotic signaling pathway (GO:0097190)	6.09994219820433e-33
