Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	140715	0.007	1	0.402263504246171	0.4
2	56	498	121278	0.008	1	0.408551715892412	0.41
3	37	130	8256	0.009	1	0.380205789728682	0.375
4	36	674	219453	0	1	0.425372763188473	0.421
5	35	833	329266	0.006	1	0.409887422327237	0.407
6	26	201	19503	0.009	1	0.438870789109368	0.441
7	25	323	51360	0.008	1	0.439295950155763	0.443
8	24	175	14878	0.007	1	0.423065801855088	0.424
9	20	192	17955	0.009	1	0.447766694514063	0.455
10	19	530	126253	0	1	0.415811354977703	0.406
11	16	223	23005	0.01	1	0.398728146055205	0.39
12	15	23	253	0.013	1	0.366454545454545	0.353
13	14	79	3003	0.013	1	0.388942057942058	0.393
14	14	535	136503	0.008	1	0.422666366306968	0.42
15	14	150	10878	0.009	1	0.41243482257768	0.407
16	14	33	528	0.013	1	0.36550946969697	0.36
17	12	117	6555	0.01	1	0.484163081617086	0.486
18	12	125	7626	0.013	1	0.433557566220823	0.444
19	11	41	820	0.013	1	0.3867	0.373
20	11	132	8646	0.009	1	0.447845246356697	0.439
21	9	61	1770	0.014	1	0.457161016949153	0.467
22	9	110	5995	0.011	1	0.412899249374479	0.418
23	9	94	4278	0.009	1	0.390958391771856	0.391
24	9	288	38503	0.007	1	0.405337298392333	0.403
25	9	18	153	0.013	1	0.487790849673203	0.427
26	8	39	741	0.012	1	0.37919028340081	0.335
27	8	218	23653	0.008	1	0.384142349807635	0.375
28	7	24	276	0.011	1	0.405097826086957	0.4
29	7	13	78	0.014	1	0.287012820512821	0.257
30	6	39	703	0.013	1	0.477036984352774	0.449
31	6	175	14706	0.006	1	0.370413980688155	0.366
32	6	9	36	0.111	0.737	0.44	0.4245
33	6	13	78	0.014	1	0.469538461538462	0.436
34	5	82	3240	0.01	1	0.462084259259259	0.46
35	5	113	5995	0.013	1	0.459790658882402	0.469
36	5	8	28	0.083	0.693	0.411	0.4395
37	5	57	1596	0.01	1	0.428108395989975	0.437
38	5	35	595	0.013	1	0.356724369747899	0.318
39	5	52	1275	0.012	1	0.452214901960784	0.447
40	5	22	231	0.014	1	0.413329004329004	0.413
41	5	65	2080	0.01	1	0.402629807692308	0.397
42	5	8	28	0.013	1	0.39925	0.444
43	5	9	36	0.137	0.758	0.516111111111111	0.5435
44	5	9	36	0.012	0.978	0.369194444444444	0.377
45	4	23	253	0.013	1	0.415387351778656	0.372
46	4	16	120	0.016	1	0.401716666666667	0.399
47	4	95	4465	0.009	1	0.408425979843225	0.418
48	4	3	3	0.02	1	0.464666666666667	0.374
49	4	15	105	0.011	1	0.407419047619048	0.478
50	4	20	190	0.014	1	0.465347368421053	0.4205
51	4	14	78	0.071	1	0.473602564102564	0.4955
52	4	77	2850	0.013	1	0.450637543859649	0.468
53	4	169	14028	0.01	1	0.427741017964072	0.436
54	4	42	820	0.013	1	0.437979268292683	0.4365
55	4	10	45	0.013	0.816	0.474133333333333	0.484
56	4	7	21	0.014	0.769	0.282952380952381	0.209
57	4	23	253	0.014	1	0.377782608695652	0.363
58	4	23	253	0.015	1	0.356778656126482	0.348
59	4	6	15	0.097	0.785	0.441133333333333	0.551
60	3	34	528	0.014	0.885	0.417017045454545	0.434
61	3	0	1	0	0	0	0
62	3	55	1485	0.009	1	0.404725252525253	0.404
63	3	0	1	0	0	0	0
64	3	35	595	0.014	1	0.394354621848739	0.391
65	3	59	1711	0.012	1	0.483843950905903	0.499
66	3	21	210	0.015	1	0.366442857142857	0.3845
67	3	7	21	0.323	1	0.55047619047619	0.532
68	3	29	351	0.016	1	0.447150997150997	0.418
69	3	1	1	1	1	1	1
70	3	5	10	0.014	0.531	0.233	0.2775
71	3	10	45	0.305	0.797	0.509755555555556	0.505
72	3	172	14535	0.011	1	0.409065497076023	0.424
73	3	11	55	0.388	1	0.674054545454545	0.63
74	3	11	55	0.017	1	0.495127272727273	0.47
75	3	6	15	0.083	0.646	0.368	0.332
76	3	79	3081	0.011	1	0.407592989289192	0.403
77	3	11	55	0.013	0.976	0.365490909090909	0.358
78	3	110	5995	0.01	1	0.476553628023353	0.497
79	3	8	28	0.025	0.836	0.407071428571429	0.4155
80	3	96	4465	0.011	1	0.420522732362822	0.42
81	2	323	51040	0.009	1	0.420919768808777	0.423
82	2	88	3741	0.013	1	0.434390804597701	0.433
83	2	3	3	0.282	0.473	0.407666666666667	0.468
84	2	15	105	0.014	0.911	0.360104761904762	0.366
85	2	1	1	1	1	1	1
86	2	12	66	0.069	0.911	0.487636363636364	0.516
87	2	20	171	0.013	1	0.41780701754386	0.388
88	2	10	45	0.164	1	0.490622222222222	0.478
89	2	18	153	0.016	1	0.600901960784314	0.586
90	2	11	55	0.013	1	0.369854545454545	0.358
91	2	3	3	0.257	0.634	0.471333333333333	0.523
92	2	5	10	0.174	0.887	0.5955	0.6205
93	2	85	3403	0.013	1	0.451518366147517	0.451
94	2	61	1830	0.012	1	0.41544262295082	0.429
95	2	63	1891	0.01	1	0.442175039661555	0.434
96	2	2	1	0.634	0.634	0.634	0.634
97	2	16	120	0.01	1	0.448066666666667	0.435
98	2	74	2701	0.013	1	0.424064050351722	0.43
99	2	705	226128	0	1	0.432127343805278	0.432
100	2	4	6	0.409	0.721	0.545	0.5205
101	2	20	171	0.016	0.895	0.429497076023392	0.427
102	2	7	21	0.023	1	0.556952380952381	0.492
103	2	34	561	0.013	1	0.444648841354724	0.436
104	2	220	23871	0.009	1	0.420996187842989	0.429
105	2	33	528	0.112	1	0.548956439393939	0.559
106	2	11	55	0.014	1	0.3378	0.284
107	2	100	4950	0.01	1	0.418691313131313	0.408
108	2	30	435	0.015	1	0.453986206896552	0.461
109	2	2	1	0.521	0.521	0.521	0.521
110	2	11	55	0.014	1	0.3522	0.275
111	2	1	1	1	1	1	1
112	2	49	1176	0.013	1	0.401886054421769	0.415
113	2	758	272691	0	1	0.435263635396841	0.433
114	2	0	1	0	0	0	0
115	2	18	153	0.012	1	0.494111111111111	0.474
116	2	85	3570	0.012	1	0.444453221288515	0.4605
117	2	107	5671	0.012	1	0.411590372068418	0.391
118	2	25	300	0.013	1	0.438806666666667	0.451
119	2	4	6	0.421	1	0.6975	0.696
120	2	56	1485	0.013	1	0.445632323232323	0.449
121	2	15	105	0.017	1	0.479942857142857	0.488
122	2	88	3741	0.012	1	0.428807270783213	0.422
123	2	24	276	0.015	1	0.443264492753623	0.4455
124	2	6	15	0.083	0.895	0.3656	0.304
125	2	3	3	0.429	0.672	0.563666666666667	0.59
126	2	49	1176	0.01	1	0.443692176870748	0.422
127	2	4	6	0.476	0.763	0.5655	0.512
128	2	34	561	0.013	1	0.437720142602496	0.467
129	2	9	36	0.013	1	0.427222222222222	0.419
130	2	44	946	0.012	1	0.417637420718816	0.3985
131	2	13	78	0.014	0.972	0.412038461538462	0.374
132	2	9	36	0.069	0.911	0.431555555555556	0.445
133	2	205	20503	0.011	1	0.444415353850656	0.435
134	2	24	276	0	1	0.453659420289855	0.4665
135	2	74	2701	0.012	1	0.426734172528693	0.412
136	2	21	210	0.014	1	0.469285714285714	0.405
137	2	42	861	0.013	1	0.389005807200929	0.407
138	2	11	55	0.024	1	0.495781818181818	0.524
