Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	139128	0	1	0.506842346616066	0.532
2	56	498	121278	0	1	0.49296385164663	0.519
3	37	130	8128	0	1	0.441812376968504	0.466
4	36	674	221445	0	1	0.55549878299352	0.56
5	35	833	326028	0	1	0.555579082164722	0.567
6	26	201	19306	0	1	0.544201698953693	0.554
7	25	323	51040	0	1	0.526717613636364	0.543
8	24	175	14706	0	1	0.519206174350605	0.534
9	20	192	17955	0	1	0.536546811473127	0.564
10	19	530	130305	0	1	0.568799002340662	0.571
11	16	223	22366	0	1	0.431235088974336	0.473
12	15	23	253	0	0.97	0.436557312252964	0.451
13	14	79	3003	0	1	0.503845154845155	0.529
14	14	535	138601	0	1	0.556132784034747	0.562
15	14	150	11026	0	1	0.532055686559042	0.55
16	14	33	528	0.002	1	0.415840909090909	0.431
17	12	117	6670	0	1	0.518412293853073	0.555
18	12	125	7626	0	1	0.490648832939942	0.522
19	11	41	820	0	1	0.395834146341463	0.396
20	11	132	8515	0	1	0.587059424544921	0.584
21	9	61	1770	0.129	1	0.580554237288136	0.577
22	9	110	5995	0	1	0.528662051709758	0.554
23	9	94	4278	0	1	0.508864188873305	0.529
24	9	288	39060	0	1	0.541002688172043	0.549
25	9	18	153	0.005	1	0.449901960784314	0.471
26	8	39	741	0	1	0.393353576248313	0.435
27	8	218	23220	0	1	0.478020887166236	0.513
28	7	24	276	0.032	1	0.412807971014493	0.4225
29	7	13	78	0.092	1	0.489128205128205	0.5155
30	6	39	741	0.101	1	0.492816464237517	0.482
31	6	175	14706	0	1	0.481186794505644	0.527
32	6	9	36	0.162	0.928	0.51775	0.5715
33	6	13	78	0.318	0.804	0.557564102564103	0.538
34	5	82	3240	0	1	0.495365432098765	0.532
35	5	113	5995	0	1	0.50018198498749	0.547
36	5	8	28	0.105	0.778	0.3975	0.384
37	5	57	1596	0.025	1	0.524383458646617	0.55
38	5	35	595	0	1	0.412257142857143	0.358
39	5	52	1326	0	1	0.453752639517345	0.496
40	5	22	231	0.017	1	0.520541125541126	0.499
41	5	65	2080	0	1	0.466418269230769	0.48
42	5	8	28	0.355	1	0.562928571428571	0.502
43	5	9	36	0.479	0.873	0.599611111111111	0.5765
44	5	9	36	0.181	1	0.602583333333333	0.537
45	4	23	253	0	0.981	0.3710395256917	0.38
46	4	16	120	0	1	0.3277	0.284
47	4	95	4465	0	1	0.484765285554311	0.538
48	4	3	3	0.539	0.571	0.555	0.555
49	4	15	105	0.457	0.994	0.652171428571429	0.629
50	4	20	190	0.284	1	0.576815789473684	0.574
51	4	14	78	0.067	0.97	0.471487179487179	0.485
52	4	77	2926	0	1	0.505884825700615	0.529
53	4	169	13861	0.025	1	0.591768775701609	0.582
54	4	42	820	0	1	0.525665853658537	0.5555
55	4	10	45	0.197	0.77	0.495733333333333	0.498
56	4	7	21	0.361	0.929	0.600285714285714	0.62
57	4	23	253	0.012	0.899	0.464632411067194	0.478
58	4	23	253	0.031	0.957	0.516901185770751	0.529
59	4	6	15	0.255	0.735	0.568266666666667	0.609
60	3	34	528	0.016	0.971	0.510340909090909	0.5315
61	3	0	1	0	0	0	0
62	3	55	1485	0.025	0.97	0.554428956228956	0.568
63	3	0	1	0	0	0	0
64	3	35	595	0	1	0.491746218487395	0.541
65	3	59	1711	0.106	1	0.518452951490357	0.518
66	3	21	210	0.013	0.904	0.470604761904762	0.497
67	3	7	21	0.071	0.92	0.405761904761905	0.392
68	3	29	378	0	1	0.360719576719577	0.3845
69	3	1	1	1	1	1	1
70	3	5	10	0.138	0.611	0.374	0.3435
71	3	10	45	0.005	0.768	0.469955555555556	0.508
72	3	172	14365	0	1	0.558744448311869	0.57
73	3	11	55	0.037	1	0.482672727272727	0.483
74	3	11	55	0.056	0.948	0.427072727272727	0.344
75	3	6	15	0.404	0.778	0.535333333333333	0.484
76	3	79	3081	0	1	0.519931515741642	0.54
77	3	11	55	0	0.891	0.394490909090909	0.401
78	3	110	5995	0	1	0.608622185154295	0.61
79	3	8	28	0.046	0.755	0.397535714285714	0.451
80	3	96	4278	0	1	0.540376110331931	0.55
81	2	323	50403	0	1	0.557687597960439	0.571
82	2	88	3828	0	1	0.515088035527691	0.535
83	2	3	3	0.43	0.52	0.477666666666667	0.483
84	2	15	105	0.323	0.97	0.546104761904762	0.555
85	2	1	1	1	1	1	1
86	2	12	66	0.148	0.97	0.516651515151515	0.5495
