Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	140715	0	1	0.659724158760615	0.658
2	56	498	121278	0.114	1	0.660428692755487	0.66
3	37	130	8256	0.147	1	0.655098958333333	0.656
4	36	674	219453	0	1	0.681273876410894	0.683
5	35	833	329266	0	1	0.658882757405866	0.663
6	26	201	19503	0.175	1	0.670425780649131	0.672
7	25	323	51360	0.124	1	0.681148403426791	0.684
8	24	175	14878	0.161	1	0.669913160371018	0.671
9	20	192	17955	0.247	1	0.681072124756335	0.687
10	19	530	126253	0	1	0.663917324736838	0.666
11	16	223	23005	0.241	1	0.676453466637687	0.671
12	15	23	253	0.308	1	0.61098814229249	0.613
13	14	79	3003	0.346	1	0.656344322344322	0.657
14	14	535	136503	0	1	0.672897137791843	0.676
15	14	150	10878	0.146	1	0.645686431329288	0.653
16	14	33	528	0.356	1	0.655136363636364	0.643
17	12	117	6555	0.281	1	0.708856598016781	0.713
18	12	125	7626	0.334	1	0.679304222397063	0.681
19	11	41	820	0.342	1	0.664731707317073	0.651
20	11	132	8646	0.234	1	0.665211427249595	0.662
21	9	61	1770	0.324	1	0.671982485875706	0.677
22	9	110	5995	0.285	1	0.660941451209341	0.663
23	9	94	4278	0.235	1	0.656811827956989	0.647
24	9	288	38503	0	1	0.650165129989871	0.659
25	9	18	153	0.392	1	0.712313725490196	0.692
26	8	39	741	0.372	1	0.664767881241565	0.66
27	8	218	23653	0.017	1	0.652245973026677	0.655
28	7	24	276	0.236	1	0.680547101449275	0.6705
29	7	13	78	0.401	1	0.606961538461538	0.574
30	6	39	703	0.42	1	0.702815078236131	0.694
31	6	175	14706	0	1	0.635944988440093	0.637
32	6	9	36	0.391	0.905	0.664555555555556	0.6635
33	6	13	78	0.45	1	0.713115384615385	0.675
34	5	82	3240	0.26	1	0.704062962962963	0.707
35	5	113	5995	0.393	1	0.693218849040867	0.697
36	5	8	28	0.381	0.825	0.599785714285714	0.6025
37	5	57	1596	0.274	1	0.655911027568922	0.6605
38	5	35	595	0.425	1	0.687919327731092	0.675
39	5	52	1275	0.3	1	0.683603137254902	0.678
40	5	22	231	0.334	1	0.664844155844156	0.661
41	5	65	2080	0.184	1	0.684973557692308	0.684
42	5	8	28	0.375	1	0.629357142857143	0.639
43	5	9	36	0.519	0.897	0.700361111111111	0.708
44	5	9	36	0.297	0.964	0.605277777777778	0.606
45	4	23	253	0.414	1	0.698063241106719	0.676
46	4	16	120	0.472	1	0.712466666666667	0.6835
47	4	95	4465	0.247	1	0.67874804031355	0.677
48	4	3	3	0.542	1	0.713666666666667	0.599
49	4	15	105	0.358	1	0.63727619047619	0.658
50	4	20	190	0.433	1	0.667642105263158	0.644
51	4	14	78	0.39	1	0.692615384615385	0.704
52	4	77	2850	0.341	1	0.681514035087719	0.6915
53	4	169	14028	0.235	1	0.658159751924722	0.662
54	4	42	820	0.356	1	0.693043902439024	0.688
55	4	10	45	0.365	0.833	0.634711111111111	0.631
56	4	7	21	0.377	0.878	0.535857142857143	0.487
57	4	23	253	0.356	1	0.687098814229249	0.671
58	4	23	253	0.426	1	0.647509881422925	0.64
59	4	6	15	0.404	0.861	0.639333333333333	0.675
60	3	34	528	0.385	0.941	0.6674375	0.682
61	3	0	1	0	0	0	0
62	3	55	1485	0.247	1	0.637955555555556	0.633
63	3	0	1	0	0	0	0
64	3	35	595	0.387	1	0.685601680672269	0.681
65	3	59	1711	0.372	1	0.737464640561075	0.738
66	3	21	210	0.408	1	0.661390476190476	0.661
67	3	7	21	0.404	1	0.745190476190476	0.751
68	3	29	351	0.334	1	0.715586894586895	0.714
69	3	1	1	1	1	1	1
70	3	5	10	0.406	0.673	0.5405	0.5395
71	3	10	45	0.604	0.893	0.733777777777778	0.738
72	3	172	14535	0.189	1	0.66423997248022	0.668
73	3	11	55	0.604	1	0.835963636363636	0.828
74	3	11	55	0.485	1	0.752109090909091	0.725
75	3	6	15	0.381	0.763	0.6168	0.645
76	3	79	3081	0.266	1	0.668605322947095	0.672
77	3	11	55	0.315	0.979	0.622581818181818	0.626
78	3	110	5995	0.225	1	0.701771809841535	0.71
79	3	8	28	0.445	0.951	0.673785714285714	0.673
80	3	96	4465	0.186	1	0.647945128779395	0.648
81	2	323	51040	0.175	1	0.667792143416928	0.671
82	2	88	3741	0.357	1	0.691028334669874	0.689
83	2	3	3	0.51	0.654	0.601333333333333	0.64
84	2	15	105	0.377	0.947	0.6084	0.628
85	2	1	1	1	1	1	1
86	2	12	66	0.497	0.947	0.70569696969697	0.6985
87	2	20	171	0.397	1	0.704298245614035	0.677
88	2	10	45	0.421	1	0.703466666666667	0.755
89	2	18	153	0.445	1	0.809967320261438	0.79
90	2	11	55	0.356	1	0.658581818181818	0.659
91	2	3	3	0.576	0.799	0.7	0.725
92	2	5	10	0.495	0.946	0.7543	0.8125
93	2	85	3403	0.328	1	0.691046429620923	0.695
94	2	61	1830	0.325	1	0.664067213114754	0.666
95	2	63	1891	0.178	1	0.663892649391856	0.677
