Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	139128	0	1	0.351911707204876	0.333
2	56	498	121278	0	1	0.335895619980541	0.325
3	37	130	8128	0	1	0.300968626968504	0.293
4	36	674	221445	0	1	0.403594454604981	0.36
5	35	833	326028	0	1	0.402437520703743	0.37
6	26	201	19306	0	1	0.375512638557961	0.361
7	25	323	51040	0	1	0.365031014890282	0.351
8	24	175	14706	0	1	0.364886236910105	0.345
9	20	192	17955	0	1	0.373234196602618	0.369
10	19	530	130305	0	1	0.412596677026975	0.359
11	16	223	22366	0	1	0.299089823839757	0.297
12	15	23	253	0	0.942	0.303885375494071	0.32
13	14	79	3003	0	1	0.341905427905428	0.334
14	14	535	138601	0	1	0.397405083657405	0.361
15	14	150	11026	0	1	0.368307908579721	0.346
16	14	33	528	0	1	0.266625	0.256
17	12	117	6670	0	1	0.361984857571214	0.353
18	12	125	7626	0	1	0.340294518751639	0.3425
19	11	41	820	0	1	0.265882926829268	0.2405
20	11	132	8515	0	1	0.409819142689372	0.376
21	9	61	1770	0	1	0.408052542372881	0.385
22	9	110	5995	0	1	0.356513094245204	0.341
23	9	94	4278	0	1	0.359766713417485	0.353
24	9	288	39060	0	1	0.392963543266769	0.36
25	9	18	153	0	1	0.337150326797386	0.346
26	8	39	741	0	1	0.265661268556005	0.272
27	8	218	23220	0	1	0.335226830318691	0.31
28	7	24	276	0	1	0.300144927536232	0.274
29	7	13	78	0	1	0.341217948717949	0.35
30	6	39	741	0	1	0.359476383265857	0.334
31	6	175	14706	0	1	0.338230790153679	0.33
32	6	9	36	0	0.881	0.326055555555556	0.358
33	6	13	78	0.164	0.771	0.391346153846154	0.3375
34	5	82	3240	0	1	0.325762037037037	0.329
35	5	113	5995	0	1	0.341207839866555	0.341
36	5	8	28	0	0.766	0.298178571428571	0.2645
37	5	57	1596	0	1	0.346548245614035	0.3405
38	5	35	595	0	1	0.286366386554622	0.219
39	5	52	1326	0	1	0.292147812971342	0.3
40	5	22	231	0	1	0.383164502164502	0.321
41	5	65	2080	0	1	0.313125961538462	0.303
42	5	8	28	0.233	1	0.472535714285714	0.368
