Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
1	125	538	538	9388	77	receptor complex (GO:0043235)	2.17795554152123e-28
2	56	498	498	9388	71	receptor complex (GO:0043235)	8.75016156447004e-19
3	37	130	130	9388	29	GABA receptor complex (GO:1902710)	1.09324509688944e-07
4	36	674	674	9388	38	transcription regulator complex (GO:0005667)	1.5230912392965e-11
5	33	4616	4616	9388	180	focal adhesion (GO:0005925)	1.30291690078328e-25
6	26	201	201	9388	45	membrane microdomain (GO:0098857)	1.64929799841168e-10
7	25	323	323	9388	40	membrane raft (GO:0045121)	2.16012911439478e-10
8	24	175	175	9388	15	vesicle lumen (GO:0031983)	9.76680264218719e-05
9	20	192	192	9388	16	Bcl-2 family protein complex (GO:0097136)	1.29053702392859e-06
10	19	530	530	9388	20	transcription regulator complex (GO:0005667)	1.08905766071143e-09
11	16	223	223	9388	12	cell body (GO:0044297)	1.70771588103249e-05
12	15	23	23	9388	8	GABA receptor complex (GO:1902710)	0.000670890104704666
13	14	535	535	9388	38	transcription regulator complex (GO:0005667)	1.55580682775753e-15
14	14	33	33	9388	3	GABA-A receptor complex (GO:1902711)	0.000962310212605019
15	13	127	127	9388	14	endoplasmic reticulum lumen (GO:0005788)	1.41422722201111e-05
16	12	78	78	9388	16	membrane raft (GO:0045121)	1.54057487775996e-06
17	12	117	117	9388	10	membrane raft (GO:0045121)	1.87827745123847e-07
18	12	125	125	9388	18	protein kinase complex (GO:1902911)	4.21438331570108e-05
19	11	41	41	9388	4	basal plasma membrane (GO:0009925)	0.00109106343484586
20	11	132	132	9388	38	platelet alpha granule (GO:0031091)	1.2605050726829e-08
21	9	61	61	9388	12	nuclear envelope (GO:0005635)	0.000273205455599325
22	9	110	110	9388	12	transcription regulator complex (GO:0005667)	7.09558176376498e-07
23	9	288	288	9388	29	acetylcholine-gated channel complex (GO:0005892)	4.83591114556496e-13
24	9	18	18	9388	0	NA (NA)	NA
25	8	39	39	9388	3	transcription regulator complex (GO:0005667)	0.00445522887946818
