Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	140185	0	1	0.311764011841495	0.305
2	56	498	115440	0	1	0.303687127512128	0.294
3	37	130	8128	0	1	0.333455585629921	0.321
4	36	674	206403	0	1	0.310983619424136	0.303
5	33	768	261726	0	1	0.280313912259386	0.266
6	26	201	19110	0	1	0.321103244374673	0.316
7	25	323	50721	0	1	0.350348139823742	0.352
8	24	175	14878	0	1	0.334852533942734	0.319
9	20	192	17391	0.016	1	0.354625495946179	0.348
10	19	530	114960	0	1	0.282237708768267	0.266
11	16	223	22366	0	1	0.322532102298131	0.303
12	15	23	210	0.037	0.915	0.323357142857143	0.3025
13	14	535	132355	0	1	0.321871074005515	0.313
14	14	33	528	0.022	1	0.3559375	0.335
15	13	127	7750	0	1	0.327842064516129	0.306
16	12	78	2850	0	1	0.373848771929825	0.362
17	12	117	6555	0	1	0.364049122807018	0.353
18	12	125	7381	0.016	0.928	0.352284514293456	0.346
19	11	41	820	0	0.906	0.3259	0.326
20	11	132	8128	0	0.997	0.398710506889764	0.4
21	9	61	1770	0.044	0.915	0.379922598870056	0.378
22	9	110	5995	0	0.987	0.380227356130108	0.377
23	9	288	37401	0	1	0.2625631934975	0.249
24	9	18	153	0	1	0.275137254901961	0.261
25	8	39	741	0	1	0.33476383265857	0.326
26	8	218	22791	0	1	0.3375053749287	0.331
27	7	86	3570	0	1	0.32303081232493	0.299
28	7	24	276	0	1	0.290528985507246	0.2505
29	6	37	630	0	1	0.311468253968254	0.292
30	6	9	28	0.057	0.681	0.328321428571429	0.3125
31	6	39	703	0	1	0.338455192034139	0.326
32	6	13	78	0.043	0.799	0.363435897435897	0.322
33	5	142	9730	0	1	0.332721891058582	0.327
34	5	57	1540	0.032	1	0.398254545454545	0.4225
35	5	35	406	0	0.904	0.259650246305419	0.2175
36	5	52	1326	0	1	0.346460030165913	0.333
37	5	22	231	0.035	0.8	0.303991341991342	0.3
38	5	8	28	0.192	0.864	0.433142857142857	0.359
39	5	11	55	0.202	0.815	0.519927272727273	0.546
40	5	9	36	0.211	0.828	0.493722222222222	0.4905
41	5	9	15	0	0.876	0.319	0.28
42	4	22	210	0.112	1	0.433628571428571	0.3905
43	4	23	253	0	1	0.354640316205534	0.306
44	4	85	3240	0	1	0.370653703703704	0.379
45	4	3	3	0.154	0.275	0.206	0.189
46	4	15	91	0.248	0.852	0.471703296703297	0.451
47	4	20	190	0.06	0.955	0.423942105263158	0.3665
48	4	14	78	0.043	0.915	0.373487179487179	0.3545
49	4	64	1953	0	1	0.350007680491551	0.327
50	4	77	2850	0	1	0.364742456140351	0.367
51	4	10	45	0.078	0.713	0.365666666666667	0.353
52	4	6	15	0.169	0.718	0.4362	0.425
53	3	1	1	1	1	1	1
54	3	34	528	0	1	0.34617803030303	0.3195
55	3	0	1	0	0	0	0
56	3	0	1	0	0	0	0
57	3	57	1596	0	0.961	0.361701127819549	0.345
58	3	59	1711	0.022	1	0.386091174751607	0.37
59	3	11	55	0.128	0.759	0.377563636363636	0.332
60	3	1	1	1	1	1	1
61	3	7	21	0.151	0.701	0.349761904761905	0.317
62	3	11	55	0.192	0.757	0.463981818181818	0.452
63	3	79	3081	0	1	0.330301200908796	0.307
64	3	22	231	0.009	0.915	0.353060606060606	0.33
65	3	8	28	0.047	0.87	0.313928571428571	0.3045
66	3	96	4186	0	1	0.328543717152413	0.32
67	2	323	50721	0	1	0.369069675282427	0.374
68	2	88	3741	0	1	0.363431970061481	0.343
69	2	3	3	0.259	0.822	0.485	0.374
70	2	18	153	0.087	1	0.494601307189542	0.427
71	2	3	3	0.263	0.306	0.283666666666667	0.282
72	2	1	1	1	1	1	1
73	2	20	190	0	0.783	0.309205263157895	0.286
74	2	4	6	0.102	0.532	0.291166666666667	0.276
75	2	10	45	0.147	0.787	0.369577777777778	0.355
76	2	137	8911	0	0.991	0.339378184266637	0.337
77	2	7	21	0.24	0.757	0.457523809523809	0.446
78	2	220	23005	0	1	0.342714496848511	0.346
79	2	33	528	0.041	0.915	0.457202651515151	0.4845
80	2	4	6	0.367	0.757	0.553833333333333	0.5425
81	2	2	1	0.335	0.335	0.335	0.335
82	2	33	528	0	0.937	0.449856060606061	0.462
83	2	4	6	0.118	0.636	0.235666666666667	0.1705
84	2	4	6	0.339	0.942	0.627166666666667	0.619
85	2	19	171	0.024	0.837	0.356543859649123	0.362
86	2	15	105	0.057	0.978	0.36187619047619	0.265
87	2	49	1176	0	1	0.34387925170068	0.3375
88	2	4	6	0.084	0.915	0.384666666666667	0.3395
89	2	34	561	0.042	0.852	0.451099821746881	0.485
90	2	13	78	0	0.751	0.39825641025641	0.403
91	2	205	19306	0	1	0.280854449393971	0.265
92	2	24	276	0.043	0.915	0.408655797101449	0.411
93	2	11	55	0.029	1	0.256454545454545	0.166
