Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	140715	0.007	1	0.402263504246171	0.4
2	56	498	121278	0.008	1	0.408551715892412	0.41
3	37	130	8256	0.009	1	0.380205789728682	0.375
4	36	674	219453	0	1	0.425372763188473	0.421
5	33	768	278631	0.006	1	0.408944912805826	0.407
6	26	201	19503	0.009	1	0.438870789109368	0.441
7	25	323	51360	0.008	1	0.439295950155763	0.443
8	24	175	14878	0.007	1	0.423065801855088	0.424
9	20	192	17955	0.009	1	0.447766694514063	0.455
10	19	530	126253	0	1	0.415811354977703	0.406
11	16	223	23005	0.01	1	0.398728146055205	0.39
12	15	23	253	0.013	1	0.366454545454545	0.353
13	14	535	136503	0.008	1	0.422666366306968	0.42
14	14	33	528	0.013	1	0.36550946969697	0.36
15	13	127	7750	0.009	1	0.416189548387097	0.409
16	12	78	2926	0.013	1	0.38715037593985	0.388
17	12	117	6555	0.01	1	0.484163081617086	0.486
18	12	125	7626	0.013	1	0.433557566220823	0.444
19	11	41	820	0.013	1	0.3867	0.373
20	11	132	8646	0.009	1	0.447845246356697	0.439
21	9	61	1770	0.014	1	0.457161016949153	0.467
22	9	110	5995	0.011	1	0.412899249374479	0.418
23	9	288	38503	0.007	1	0.405337298392333	0.403
24	9	18	153	0.013	1	0.487790849673203	0.427
25	8	39	741	0.012	1	0.37919028340081	0.335
26	8	218	23653	0.008	1	0.384142349807635	0.375
27	7	86	3570	0.012	1	0.424782633053221	0.41
28	7	24	276	0.011	1	0.405097826086957	0.4
29	6	37	630	0.009	1	0.441396825396825	0.441
30	6	9	36	0.111	0.737	0.44	0.4245
31	6	39	666	0.016	1	0.502870870870871	0.4795
32	6	13	78	0.014	1	0.287012820512821	0.257
33	5	142	9591	0.01	1	0.366642268793661	0.359
34	5	57	1596	0.01	1	0.428108395989975	0.437
35	5	35	595	0.013	1	0.356724369747899	0.318
36	5	52	1275	0.012	1	0.452214901960784	0.447
37	5	22	231	0.014	1	0.413329004329004	0.413
38	5	8	28	0.013	1	0.39925	0.444
39	5	11	55	0.014	1	0.491745454545455	0.442
40	5	9	36	0.137	0.758	0.516111111111111	0.5435
41	5	9	36	0.012	0.978	0.369194444444444	0.377
42	4	22	210	0.019	1	0.524961904761905	0.517
43	4	23	253	0.013	1	0.415387351778656	0.372
44	4	85	3321	0.013	1	0.456022583559169	0.483
45	4	3	3	0.02	1	0.464666666666667	0.374
46	4	15	105	0.011	1	0.407419047619048	0.478
47	4	20	190	0.014	1	0.465347368421053	0.4205
48	4	14	78	0.071	1	0.473602564102564	0.4955
49	4	64	2016	0.01	1	0.406095238095238	0.401
50	4	77	2850	0.013	1	0.450637543859649	0.468
51	4	10	45	0.013	0.816	0.474133333333333	0.484
52	4	6	15	0.097	0.785	0.441133333333333	0.551
53	3	1	1	1	1	1	1
54	3	34	528	0.014	0.885	0.417017045454545	0.434
55	3	0	1	0	0	0	0
56	3	0	1	0	0	0	0
57	3	57	1596	0.009	1	0.406739348370927	0.402
58	3	59	1711	0.012	1	0.483843950905903	0.499
59	3	11	55	0.111	0.891	0.447963636363636	0.44
60	3	1	1	1	1	1	1
61	3	7	21	0.014	0.769	0.282952380952381	0.209
62	3	11	55	0.017	1	0.495127272727273	0.47
63	3	79	3081	0.011	1	0.407592989289192	0.403
64	3	22	231	0.014	1	0.374155844155844	0.361
65	3	8	28	0.025	0.836	0.407071428571429	0.4155
66	3	96	4465	0.011	1	0.420522732362822	0.42
67	2	323	51040	0.009	1	0.420919768808777	0.423
68	2	88	3741	0.013	1	0.434390804597701	0.433
69	2	3	3	0.286	0.562	0.411	0.385
70	2	18	153	0.016	1	0.600901960784314	0.586
71	2	3	3	0.257	0.634	0.471333333333333	0.523
72	2	1	1	1	1	1	1
73	2	20	190	0.014	0.874	0.454331578947368	0.4765
74	2	4	6	0.014	0.347	0.1475	0.0935
75	2	10	45	0.305	0.797	0.509755555555556	0.505
76	2	137	9180	0.011	1	0.412811220043573	0.433
77	2	7	21	0.023	1	0.556952380952381	0.492
78	2	220	23871	0.009	1	0.420996187842989	0.429
79	2	33	528	0.112	1	0.548956439393939	0.559
80	2	4	6	0.083	0.646	0.426166666666667	0.516
81	2	2	1	0.521	0.521	0.521	0.521
82	2	33	528	0.015	1	0.514689393939394	0.5365
83	2	4	6	0.203	0.728	0.412166666666667	0.338
84	2	4	6	0.421	1	0.6975	0.696
85	2	19	171	0.015	1	0.348374269005848	0.341
86	2	15	105	0.017	1	0.479942857142857	0.488
87	2	49	1176	0.01	1	0.443692176870748	0.422
88	2	4	6	0.476	0.763	0.5655	0.512
89	2	34	561	0.013	1	0.437720142602496	0.467
90	2	13	78	0.014	0.972	0.412038461538462	0.374
91	2	205	20503	0.011	1	0.444415353850656	0.435
92	2	24	276	0	1	0.453659420289855	0.4665
93	2	11	55	0.024	1	0.495781818181818	0.524
