Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	139128	0	1	0.351911707204876	0.333
2	56	498	121278	0	1	0.335895619980541	0.325
3	37	130	8128	0	1	0.300968626968504	0.293
4	36	674	221445	0	1	0.403594454604981	0.36
5	33	768	275653	0	1	0.405760695512111	0.373
6	26	201	19306	0	1	0.375512638557961	0.361
7	25	323	51040	0	1	0.365031014890282	0.351
8	24	175	14706	0	1	0.364886236910105	0.345
9	20	192	17955	0	1	0.373234196602618	0.369
10	19	530	130305	0	1	0.412596677026975	0.359
11	16	223	22366	0	1	0.299089823839757	0.297
12	15	23	253	0	0.942	0.303885375494071	0.32
13	14	535	138601	0	1	0.397405083657405	0.361
14	14	33	528	0	1	0.266625	0.256
15	13	127	7875	0	1	0.345456126984127	0.334
16	12	78	2926	0	1	0.342618250170882	0.335
17	12	117	6670	0	1	0.361984857571214	0.353
18	12	125	7626	0	1	0.340294518751639	0.3425
19	11	41	820	0	1	0.265882926829268	0.2405
20	11	132	8515	0	1	0.409819142689372	0.376
21	9	61	1770	0	1	0.408052542372881	0.385
22	9	110	5995	0	1	0.356513094245204	0.341
23	9	288	39060	0	1	0.392963543266769	0.36
24	9	18	153	0	1	0.337150326797386	0.346
25	8	39	741	0	1	0.265661268556005	0.272
26	8	218	23220	0	1	0.335226830318691	0.31
27	7	86	3655	0	1	0.359574555403557	0.339
28	7	24	276	0	1	0.300144927536232	0.274
29	6	37	630	0	1	0.317455555555556	0.319
30	6	9	36	0	0.881	0.326055555555556	0.358
31	6	39	703	0	1	0.249679943100996	0.251
32	6	13	78	0	1	0.341217948717949	0.35
33	5	142	9730	0	1	0.372413463514902	0.349
34	5	57	1596	0	1	0.346548245614035	0.3405
35	5	35	595	0	1	0.286366386554622	0.219
36	5	52	1326	0	1	0.292147812971342	0.3
37	5	22	231	0	1	0.383164502164502	0.321
38	5	8	28	0.233	1	0.472535714285714	0.368
39	5	11	55	0.182	0.771	0.408581818181818	0.347
40	5	9	36	0.223	0.835	0.447027777777778	0.418
41	5	9	36	0	1	0.475361111111111	0.372
42	4	22	210	0	1	0.364366666666667	0.367
43	4	23	253	0	0.972	0.259162055335968	0.253
44	4	85	3321	0	1	0.339089430894309	0.34
45	4	3	3	0.37	0.461	0.430333333333333	0.46
46	4	15	105	0.196	0.992	0.426838095238095	0.383
47	4	20	190	0	1	0.425836842105263	0.409
48	4	14	78	0.013	0.942	0.314717948717949	0.2935
49	4	64	2016	0	1	0.31324751984127	0.302
50	4	77	2926	0	1	0.354824675324675	0.345
51	4	10	45	0	0.76	0.3604	0.369
52	4	6	15	0.141	0.693	0.378733333333333	0.398
53	3	1	1	1	1	1	1
54	3	34	528	0	0.925	0.339943181818182	0.344
55	3	0	1	0	0	0	0
56	3	0	1	0	0	0	0
57	3	57	1596	0	1	0.298678571428571	0.296
58	3	59	1711	0	1	0.377884278199883	0.342
59	3	11	55	0	0.898	0.300054545454545	0.263
60	3	1	1	1	1	1	1
61	3	7	21	0.243	0.898	0.399761904761905	0.379
62	3	11	55	0	0.94	0.354090909090909	0.209
63	3	79	3081	0	1	0.371529698149951	0.361
64	3	22	231	0	0.919	0.314402597402597	0.255
65	3	8	28	0	0.741	0.253607142857143	0.264
66	3	96	4278	0	1	0.388356708742403	0.354
67	2	323	50403	0	1	0.38940749558558	0.366
68	2	88	3828	0	1	0.368323667711599	0.355
69	2	3	3	0.216	0.639	0.365666666666667	0.242
70	2	18	153	0.037	0.942	0.430196078431373	0.388
71	2	3	3	0.407	0.706	0.540666666666667	0.509
72	2	1	1	1	1	1	1
73	2	20	171	0.111	0.864	0.389754385964912	0.365
74	2	4	6	0.045	0.325	0.179666666666667	0.167
75	2	10	45	0	0.67	0.420622222222222	0.44
76	2	137	9180	0	1	0.386031699346405	0.356
77	2	7	21	0.009	0.94	0.323952380952381	0.22
78	2	220	23436	0	1	0.41696044546851	0.369
79	2	33	528	0	0.942	0.414420454545455	0.3995
80	2	4	6	0.303	0.766	0.536666666666667	0.5745
81	2	2	1	0.182	0.182	0.182	0.182
82	2	33	528	0.14	0.957	0.439329545454545	0.4325
83	2	4	6	0.384	0.622	0.457833333333333	0.414
84	2	4	6	0.323	0.882	0.587833333333333	0.574
85	2	19	171	0.041	0.956	0.365625730994152	0.338
86	2	15	105	0	0.977	0.396152380952381	0.365
87	2	49	1176	0	1	0.287073129251701	0.2845
88	2	4	6	0.141	0.859	0.377833333333333	0.204
89	2	34	561	0.145	0.872	0.39650623885918	0.366
90	2	13	78	0.121	0.777	0.374628205128205	0.3355
91	2	205	19900	0	1	0.347550351758794	0.314
92	2	24	276	0.215	1	0.476188405797101	0.417
93	2	11	55	0.072	1	0.328054545454545	0.266
