Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
1	125	538	538	9181	1915	response to xenobiotic stimulus (GO:0009410)	1.61784296443275e-42
2	56	498	498	9181	1838	response to inorganic substance (GO:0010035)	8.22291636642846e-40
3	37	130	130	9181	1086	response to inorganic substance (GO:0010035)	7.83759857687527e-19
4	36	674	674	9181	1761	positive regulation of cell death (GO:0010942)	9.20396630465835e-37
5	33	4616	4616	9181	375	ribonucleoprotein complex biogenesis (GO:0022613)	3.24552276294164e-25
6	26	201	201	9181	1119	cellular response to chemical stress (GO:0062197)	2.65206464063705e-24
7	25	323	323	9181	1712	response to inorganic substance (GO:0010035)	2.13562207755748e-50
8	24	175	175	9181	1295	response to xenobiotic stimulus (GO:0009410)	5.97603190156468e-32
9	20	192	192	9181	1170	cellular response to chemical stress (GO:0062197)	1.80740168599882e-41
10	19	530	530	9181	875	response to xenobiotic stimulus (GO:0009410)	3.95606491835953e-19
11	16	223	223	9181	1222	regulation of hormone levels (GO:0010817)	3.56938774856392e-28
12	15	23	23	9181	23	regulation of presynaptic membrane potential (GO:0099505)	6.40820253853795e-05
13	14	79	79	9181	666	neuron death (GO:0070997)	2.07757580784741e-13
14	14	535	535	9181	1712	apoptotic signaling pathway (GO:0097190)	7.06346562136164e-32
15	14	33	33	9181	227	xenobiotic catabolic process (GO:0042178)	2.77120602373599e-09
16	13	127	127	9181	804	steroid metabolic process (GO:0008202)	1.50446844646603e-15
17	12	117	117	9181	757	response to xenobiotic stimulus (GO:0009410)	1.8913041237716e-26
18	12	125	125	9181	1312	cellular response to chemical stress (GO:0062197)	2.4714232011082e-29
19	12	134	134	9181	1292	apoptotic signaling pathway (GO:0097190)	3.75642843236323e-27
20	11	41	41	9181	190	response to xenobiotic stimulus (GO:0009410)	2.20366294182923e-13
21	9	61	61	9181	452	cellular response to chemical stress (GO:0062197)	8.54210507149196e-14
22	9	110	110	9181	1085	response to lipopolysaccharide (GO:0032496)	8.33756201228315e-21
23	9	288	288	9181	251	dopamine transport (GO:0015872)	6.65113033217177e-14
24	9	18	18	9181	96	response to xenobiotic stimulus (GO:0009410)	0.000243400191093062
25	8	39	39	9181	102	response to xenobiotic stimulus (GO:0009410)	3.72051353914481e-11
26	8	218	218	9181	1434	regulation of hormone levels (GO:0010817)	3.3791227933641e-37
27	7	86	86	9181	597	response to oxidative stress (GO:0006979)	1.23231259046829e-15
28	7	45	45	9181	485	response to inorganic substance (GO:0010035)	2.24739212377501e-08
29	7	24	24	9181	26	response to xenobiotic stimulus (GO:0009410)	7.56448236040463e-10
30	7	13	13	9181	81	regulation of leukocyte chemotaxis (GO:0002688)	9.06150701283051e-07
31	6	175	175	9181	1176	circulatory system process (GO:0003013)	9.86971414055852e-25
32	6	9	9	9181	18	endoplasmic reticulum unfolded protein response (GO:0030968)	3.50481056319617e-05
33	5	82	82	9181	606	response to xenobiotic stimulus (GO:0009410)	7.26670802375005e-12
34	5	113	113	9181	990	response to xenobiotic stimulus (GO:0009410)	1.19994648208597e-20
35	5	57	57	9181	831	apoptotic signaling pathway (GO:0097190)	2.00526026032633e-17
36	5	35	35	9181	23	xenobiotic transport (GO:0042908)	0.000103141144506494
37	5	52	52	9181	526	gland development (GO:0048732)	5.16994785749658e-08
38	5	22	22	9181	87	positive regulation of lymphocyte proliferation (GO:0050671)	8.12524291435092e-05
39	5	65	65	9181	532	cellular response to xenobiotic stimulus (GO:0071466)	6.87849270220967e-14
40	5	2823	2823	9181	370	cytoplasmic translation (GO:0002181)	9.54520809363652e-13
41	5	11	11	9181	641	mononuclear cell proliferation (GO:0032943)	1.02940045267335e-10
42	5	9	9	9181	123	extrinsic apoptotic signaling pathway (GO:0097191)	5.07129907298441e-08
43	5	9	9	9181	11	synaptic transmission, GABAergic (GO:0051932)	0.000557329701260055
44	4	23	23	9181	153	xenobiotic metabolic process (GO:0006805)	2.78607783070942e-09
45	4	16	16	9181	37	G protein-coupled serotonin receptor signaling pathway (GO:0098664)	4.45187024423002e-08
46	4	95	95	9181	833	response to xenobiotic stimulus (GO:0009410)	1.49240249118724e-19
47	4	3	3	9181	0	NA (NA)	NA
48	4	47	47	9181	612	peptidyl-arginine methylation (GO:0018216)	8.47255362028603e-13
49	4	15	15	9181	37	response to peptide (GO:1901652)	2.35981012291741e-05
50	4	20	20	9181	483	cellular glucuronidation (GO:0052695)	6.07231546990395e-10
51	4	1766	1766	9181	224	chromatin organization (GO:0006325)	3.29258895059359e-24
52	4	77	77	9181	687	response to inorganic substance (GO:0010035)	5.29372282165651e-20
53	4	42	42	9181	699	response to oxidative stress (GO:0006979)	6.33760863172373e-11
54	4	10	10	9181	380	response to xenobiotic stimulus (GO:0009410)	3.36900335605439e-07
55	4	10	10	9181	8	heterotypic cell-cell adhesion (GO:0034113)	0.0069433631751476
56	4	7	7	9181	15	ER-nucleus signaling pathway (GO:0006984)	0.00126033286948292
57	4	84	84	9181	680	cellular response to xenobiotic stimulus (GO:0071466)	5.93300697085597e-13
58	4	6	6	9181	10	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	1.00194989636949e-07
59	3	4	4	9181	26	regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307)	0.00100408866740146
60	3	34	34	9181	402	execution phase of apoptosis (GO:0097194)	2.36295200402393e-10
61	3	0	0	9181	0		0
62	3	55	55	9181	831	response to lipopolysaccharide (GO:0032496)	2.01468379037664e-21
63	3	0	0	9181	0		0
64	3	98	98	9181	597	response to xenobiotic stimulus (GO:0009410)	2.01785373723925e-25
65	3	35	35	9181	357	response to tumor necrosis factor (GO:0034612)	6.17381383844448e-11
66	3	8	8	9181	168	striated muscle contraction (GO:0006941)	2.04041121860668e-05
67	3	59	59	9181	368	response to xenobiotic stimulus (GO:0009410)	1.58814295543911e-15
68	3	7	7	9181	22	regulation of hormone levels (GO:0010817)	0.00178608866742697
69	3	29	29	9181	277	cellular response to lipid (GO:0071396)	6.0170546209016e-10
70	3	1	1	9181	0	NA (NA)	NA
71	3	20	20	9181	187	response to xenobiotic stimulus (GO:0009410)	7.54888408175369e-10
72	3	10	10	9181	76	glycolytic process (GO:0006096)	2.912956591925e-06
73	3	172	172	9181	1135	cellular response to chemical stress (GO:0062197)	5.41807940194866e-19
74	3	11	11	9181	75	adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	1.80437845985359e-11
75	3	157	157	9181	1668	gland development (GO:0048732)	7.46372058736437e-25
76	3	11	11	9181	401	prostanoid metabolic process (GO:0006692)	6.07523732994096e-07
77	3	6	6	9181	182	acute inflammatory response (GO:0002526)	0.000121560923167118
78	3	22	22	9181	123	xenobiotic catabolic process (GO:0042178)	3.18268166870245e-06
79	3	11	11	9181	32	regulation of postsynaptic membrane potential (GO:0060078)	1.64178421974265e-07
80	3	110	110	9181	829	apoptotic signaling pathway (GO:0097190)	1.48540312973772e-28
81	3	12	12	9181	35	oxidative demethylation (GO:0070989)	0.00116692319237064
82	3	27	27	9181	40	cellular response to xenobiotic stimulus (GO:0071466)	5.65109122881482e-07
83	3	45	45	9181	652	response to xenobiotic stimulus (GO:0009410)	9.20089285322264e-14
84	3	8	8	9181	0	NA (NA)	NA
85	3	1253	1253	9181	973	cytoplasmic translation (GO:0002181)	3.45591424363388e-63
86	2	323	323	9181	1881	apoptotic signaling pathway (GO:0097190)	3.47219068504533e-42
87	2	88	88	9181	716	response to xenobiotic stimulus (GO:0009410)	1.34739820420838e-19
88	2	1	1	9181	0	NA (NA)	NA
89	2	44	44	9181	386	response to lipopolysaccharide (GO:0032496)	5.56852021854759e-10
90	2	10	10	9181	44	xenobiotic transport (GO:0042908)	9.42239095127949e-08
91	2	59	59	9181	1221	response to lipopolysaccharide (GO:0032496)	1.14038564629429e-20
92	2	127	127	9181	1323	response to xenobiotic stimulus (GO:0009410)	9.38931840014155e-24
93	2	18	18	9181	88	xenobiotic catabolic process (GO:0042178)	2.1020243064176e-14
94	2	3	3	9181	12	neurotransmitter metabolic process (GO:0042133)	0.00210180958668462
95	2	25	25	9181	530	response to lipopolysaccharide (GO:0032496)	2.71890199921111e-08
96	2	5	5	9181	19	xenobiotic transport (GO:0042908)	8.58152402960479e-05
97	2	18	18	9181	72	toxin metabolic process (GO:0009404)	1.52116665882918e-05
98	2	113	113	9181	404	cellular response to xenobiotic stimulus (GO:0071466)	3.71243961300344e-19
99	2	20	20	9181	156	negative regulation of cytokine production involved in immune response (GO:0002719)	0.000305931976475928
100	2	85	85	9181	690	response to xenobiotic stimulus (GO:0009410)	2.29245496620977e-20
101	2	61	61	9181	880	apoptotic signaling pathway (GO:0097190)	2.36487070055576e-14
102	2	63	63	9181	57	astrocyte differentiation (GO:0048708)	0.00051828639632291
103	2	2	2	9181	3	neurotransmitter metabolic process (GO:0042133)	0.000427566735222571
104	2	74	74	9181	1427	positive regulation of cell death (GO:0010942)	8.49145391631424e-17
105	2	4	4	9181	47	circulatory system process (GO:0003013)	0.000607966802630235
106	2	7	7	9181	73	fatty acid metabolic process (GO:0006631)	1.65671012842993e-08
107	2	34	34	9181	217	steroid metabolic process (GO:0008202)	5.42128121497509e-09
108	2	220	220	9181	1386	response to decreased oxygen levels (GO:0036293)	8.04257136796771e-28
109	2	33	33	9181	490	apoptotic signaling pathway (GO:0097190)	7.81605180813932e-16
110	2	11	11	9181	85	response to inorganic substance (GO:0010035)	5.25646189872015e-06
111	2	155	155	9181	1013	regulation of apoptotic signaling pathway (GO:2001233)	6.06191698477765e-22
