Cluster	No_of_drugs	No_of_genes	No_of_enrichment_genes	No_of_bg_genes	No_of_enriched_GO_terms	Top_GO_term	Top_pvalue
1	125	538	538	9333	155	neurotransmitter receptor activity (GO:0030594)	1.34066913142304e-17
2	56	498	498	9333	201	inorganic anion transmembrane transporter activity (GO:0015103)	4.72350532169697e-12
3	37	130	130	9333	86	cytokine activity (GO:0005125)	1.01037384523142e-07
4	36	674	674	9333	105	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	4.78420708156521e-19
5	33	4616	4616	9333	80	cadherin binding (GO:0045296)	2.46061836558438e-32
6	26	201	201	9333	43	ubiquitin protein ligase binding (GO:0031625)	8.93844810190372e-07
7	25	323	323	9333	98	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	2.67470203580931e-12
8	24	175	175	9333	84	glucuronosyltransferase activity (GO:0015020)	1.57668605330323e-10
9	20	192	192	9333	68	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	5.83261402795783e-09
10	19	530	530	9333	58	RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	1.95082572966846e-13
11	16	223	223	9333	91	signaling receptor regulator activity (GO:0030545)	4.74598275857045e-21
12	15	23	23	9333	45	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	0.000128274131515091
13	14	79	79	9333	50	MAP kinase activity (GO:0004707)	9.99809706738261e-06
14	14	535	535	9333	101	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	1.52472985457849e-20
15	14	33	33	9333	49	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	2.06482837737569e-09
16	13	127	127	9333	46	glucuronosyltransferase activity (GO:0015020)	4.35556611802148e-10
17	12	117	117	9333	65	glucuronosyltransferase activity (GO:0015020)	1.58823975363862e-10
18	12	125	125	9333	49	protein kinase activity (GO:0004672)	6.27210740667832e-09
19	12	134	134	9333	63	transcription factor binding (GO:0008134)	2.03283735298405e-11
20	11	41	41	9333	72	monooxygenase activity (GO:0004497)	1.44982408753822e-12
21	9	61	61	9333	17	phosphatase binding (GO:0019902)	4.36192785209992e-05
22	9	110	110	9333	45	transcription coregulator binding (GO:0001221)	1.02228854378311e-09
23	9	288	288	9333	33	postsynaptic neurotransmitter receptor activity (GO:0098960)	2.49768742998735e-22
24	9	18	18	9333	9	tetrapyrrole binding (GO:0046906)	4.99900524137404e-06
25	8	39	39	9333	14	bile acid transmembrane transporter activity (GO:0015125)	4.1438002754468e-09
26	8	218	218	9333	83	signaling receptor regulator activity (GO:0030545)	1.20200303002927e-27
27	7	86	86	9333	32	glucuronosyltransferase activity (GO:0015020)	8.54239353347359e-14
28	7	45	45	9333	8	prostaglandin transmembrane transporter activity (GO:0015132)	4.24465044417311e-05
29	7	24	24	9333	24	active transmembrane transporter activity (GO:0022804)	3.05875512978836e-09
30	7	13	13	9333	12	chemokine activity (GO:0008009)	3.89979952270879e-06
31	6	175	175	9333	79	sodium ion transmembrane transporter activity (GO:0015081)	2.63730750122242e-20
32	6	9	9	9333	2	carboxylic ester hydrolase activity (GO:0052689)	0.00219868354769815
33	5	82	82	9333	45	steroid binding (GO:0005496)	5.2074816674994e-05
34	5	113	113	9333	68	protein serine/threonine kinase activity (GO:0004674)	6.92150422902273e-08
35	5	57	57	9333	46	ubiquitin-like protein ligase binding (GO:0044389)	8.22059842387992e-06
36	5	35	35	9333	39	carbonate dehydratase activity (GO:0004089)	7.45688912032183e-25
37	5	52	52	9333	19	glucuronosyltransferase activity (GO:0015020)	1.58540608051171e-05
