Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	140715	0.007	1	0.402263504246171	0.4
2	56	498	121278	0.008	1	0.408551715892412	0.41
3	37	130	8256	0.009	1	0.380205789728682	0.375
4	36	674	219453	0	1	0.425372763188473	0.421
5	33	768	278631	0.006	1	0.408944912805826	0.407
6	26	201	19503	0.009	1	0.438870789109368	0.441
7	25	323	51360	0.008	1	0.439295950155763	0.443
8	24	175	14878	0.007	1	0.423065801855088	0.424
9	20	192	17955	0.009	1	0.447766694514063	0.455
10	19	530	126253	0	1	0.415811354977703	0.406
11	16	223	23005	0.01	1	0.398728146055205	0.39
12	15	23	253	0.013	1	0.366454545454545	0.353
13	14	79	3003	0.013	1	0.388942057942058	0.393
14	14	535	136503	0.008	1	0.422666366306968	0.42
15	14	33	528	0.013	1	0.36550946969697	0.36
16	13	127	7750	0.009	1	0.416189548387097	0.409
17	12	117	6555	0.01	1	0.484163081617086	0.486
18	12	125	7626	0.013	1	0.433557566220823	0.444
19	12	134	8911	0.009	1	0.449429918078779	0.442
20	11	41	820	0.013	1	0.3867	0.373
21	9	61	1770	0.014	1	0.457161016949153	0.467
22	9	110	5995	0.011	1	0.412899249374479	0.418
23	9	288	38503	0.007	1	0.405337298392333	0.403
24	9	18	153	0.013	1	0.487790849673203	0.427
25	8	39	741	0.012	1	0.37919028340081	0.335
26	8	218	23653	0.008	1	0.384142349807635	0.375
27	7	86	3570	0.012	1	0.424782633053221	0.41
28	7	45	946	0.009	1	0.425472515856237	0.423
29	7	24	276	0.011	1	0.405097826086957	0.4
30	7	13	78	0.014	1	0.287012820512821	0.257
31	6	175	14706	0.006	1	0.370413980688155	0.366
32	6	9	36	0.111	0.737	0.44	0.4245
33	5	82	3240	0.01	1	0.462084259259259	0.46
34	5	113	5995	0.013	1	0.459790658882402	0.469
35	5	57	1596	0.01	1	0.428108395989975	0.437
36	5	35	595	0.013	1	0.356724369747899	0.318
37	5	52	1275	0.012	1	0.452214901960784	0.447
38	5	22	231	0.014	1	0.413329004329004	0.413
39	5	65	2080	0.01	1	0.402629807692308	0.397
40	5	8	28	0.013	1	0.39925	0.444
41	5	11	55	0.014	1	0.491745454545455	0.442
42	5	9	36	0.137	0.758	0.516111111111111	0.5435
43	5	9	36	0.012	0.978	0.369194444444444	0.377
44	4	23	253	0.013	1	0.415387351778656	0.372
45	4	16	120	0.016	1	0.401716666666667	0.399
46	4	95	4465	0.009	1	0.408425979843225	0.418
47	4	3	3	0.02	1	0.464666666666667	0.374
48	4	47	1081	0.012	1	0.366126734505088	0.355
49	4	15	105	0.011	1	0.407419047619048	0.478
50	4	20	190	0.014	1	0.465347368421053	0.4205
51	4	14	78	0.071	1	0.473602564102564	0.4955
52	4	77	2850	0.013	1	0.450637543859649	0.468
53	4	42	820	0.013	1	0.437979268292683	0.4365
54	4	10	45	0.013	0.804	0.311933333333333	0.304
55	4	10	45	0.013	0.816	0.474133333333333	0.484
56	4	7	21	0.014	0.769	0.282952380952381	0.209
57	4	84	3486	0.011	1	0.402922547332186	0.395
58	4	6	15	0.097	0.785	0.441133333333333	0.551
59	3	4	6	0.286	0.562	0.4265	0.4315
60	3	34	528	0.014	0.885	0.417017045454545	0.434
61	3	0	1	0	0	0	0
62	3	55	1485	0.009	1	0.404725252525253	0.404
63	3	0	1	0	0	0	0
64	3	98	4656	0.012	1	0.417900343642612	0.417
65	3	35	595	0.014	1	0.394354621848739	0.391
66	3	8	28	0.083	0.818	0.45125	0.47
67	3	59	1711	0.012	1	0.483843950905903	0.499
68	3	7	21	0.323	1	0.55047619047619	0.532
69	3	29	351	0.016	1	0.447150997150997	0.418
70	3	1	1	1	1	1	1
71	3	20	171	0.016	0.895	0.429497076023392	0.427
72	3	10	45	0.305	0.797	0.509755555555556	0.505
73	3	172	14535	0.011	1	0.409065497076023	0.424
74	3	11	55	0.388	1	0.674054545454545	0.63
75	3	157	12246	0.008	1	0.447060019598236	0.4485
76	3	11	55	0.017	1	0.495127272727273	0.47
77	3	6	15	0.083	0.646	0.368	0.332
78	3	22	231	0.014	1	0.374155844155844	0.361
79	3	11	55	0.013	0.976	0.365490909090909	0.358
80	3	110	5995	0.01	1	0.476553628023353	0.497
81	3	12	66	0.015	0.926	0.391439393939394	0.3565
82	3	27	325	0.013	1	0.442510769230769	0.449
83	3	45	990	0.013	1	0.416642424242424	0.4335
84	3	8	28	0.025	0.836	0.407071428571429	0.4155
85	3	96	4465	0.011	1	0.420522732362822	0.42
86	2	323	51040	0.009	1	0.420919768808777	0.423
87	2	88	3741	0.013	1	0.434390804597701	0.433
88	2	1	1	1	1	1	1
89	2	44	903	0.013	1	0.410933554817276	0.409
90	2	10	45	0.164	1	0.490622222222222	0.478
91	2	59	1653	0.013	1	0.460121597096189	0.48
92	2	127	7750	0.009	1	0.437230193548387	0.434
93	2	18	153	0.016	1	0.600901960784314	0.586
94	2	3	3	0.257	0.634	0.471333333333333	0.523
95	2	25	300	0.012	1	0.42563	0.4015
96	2	5	10	0.174	0.887	0.5955	0.6205
97	2	18	153	0.015	1	0.380352941176471	0.384
98	2	113	6328	0.012	1	0.410482300884956	0.39
99	2	20	190	0.014	0.874	0.454331578947368	0.4765
100	2	85	3403	0.013	1	0.451518366147517	0.451
101	2	61	1830	0.012	1	0.41544262295082	0.429
102	2	63	1891	0.01	1	0.442175039661555	0.434
103	2	2	1	0.634	0.634	0.634	0.634
104	2	74	2701	0.013	1	0.424064050351722	0.43
105	2	4	6	0.409	0.721	0.545	0.5205
106	2	7	21	0.023	1	0.556952380952381	0.492
107	2	34	561	0.013	1	0.444648841354724	0.436
108	2	220	23871	0.009	1	0.420996187842989	0.429
109	2	33	528	0.112	1	0.548956439393939	0.559
110	2	11	55	0.014	1	0.3378	0.284
111	2	155	11781	0.01	1	0.432227060521178	0.441
112	2	100	4950	0.01	1	0.418691313131313	0.408
113	2	2	1	0.521	0.521	0.521	0.521
114	2	29	406	0.014	1	0.398647783251232	0.3835
115	2	119	7021	0.01	1	0.394850591083891	0.384
116	2	1	1	1	1	1	1
117	2	49	1176	0.013	1	0.401886054421769	0.415
118	2	758	272691	0	1	0.435263635396841	0.433
119	2	18	153	0.012	1	0.494111111111111	0.474
120	2	85	3570	0.012	1	0.444453221288515	0.4605
121	2	4	6	0.421	1	0.6975	0.696
122	2	19	171	0.015	1	0.348374269005848	0.341
123	2	15	105	0.017	1	0.479942857142857	0.488
124	2	24	276	0.015	1	0.443264492753623	0.4455
125	2	3	3	0.429	0.672	0.563666666666667	0.59
126	2	16	120	0.016	1	0.472141666666667	0.5165
127	2	49	1176	0.01	1	0.443692176870748	0.422
128	2	4	6	0.476	0.763	0.5655	0.512
129	2	34	561	0.013	1	0.437720142602496	0.467
130	2	44	946	0.012	1	0.417637420718816	0.3985
131	2	13	78	0.014	0.972	0.412038461538462	0.374
132	2	9	36	0.069	0.911	0.431555555555556	0.445
133	2	205	20503	0.011	1	0.444415353850656	0.435
134	2	24	276	0	1	0.453659420289855	0.4665
135	2	74	2701	0.012	1	0.426734172528693	0.412
136	2	21	210	0.014	1	0.469285714285714	0.405
137	2	11	55	0.024	1	0.495781818181818	0.524
138	2	226	23871	0.009	1	0.440117590381635	0.452
139	2	4	6	0.3	1	0.693166666666667	0.762
