Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	139128	0	1	0.351911707204876	0.333
2	56	498	121278	0	1	0.335895619980541	0.325
3	37	130	8128	0	1	0.300968626968504	0.293
4	36	674	221445	0	1	0.403594454604981	0.36
5	33	768	275653	0	1	0.405760695512111	0.373
6	26	201	19306	0	1	0.375512638557961	0.361
7	25	323	51040	0	1	0.365031014890282	0.351
8	24	175	14706	0	1	0.364886236910105	0.345
9	20	192	17955	0	1	0.373234196602618	0.369
10	19	530	130305	0	1	0.412596677026975	0.359
11	16	223	22366	0	1	0.299089823839757	0.297
12	15	23	253	0	0.942	0.303885375494071	0.32
13	14	79	3003	0	1	0.341905427905428	0.334
14	14	535	138601	0	1	0.397405083657405	0.361
15	14	33	528	0	1	0.266625	0.256
16	13	127	7875	0	1	0.345456126984127	0.334
17	12	117	6670	0	1	0.361984857571214	0.353
18	12	125	7626	0	1	0.340294518751639	0.3425
19	12	134	8778	0	1	0.409584871269082	0.377
20	11	41	820	0	1	0.265882926829268	0.2405
21	9	61	1770	0	1	0.408052542372881	0.385
22	9	110	5995	0	1	0.356513094245204	0.341
23	9	288	39060	0	1	0.392963543266769	0.36
24	9	18	153	0	1	0.337150326797386	0.346
25	8	39	741	0	1	0.265661268556005	0.272
26	8	218	23220	0	1	0.335226830318691	0.31
27	7	86	3655	0	1	0.359574555403557	0.339
28	7	45	946	0	1	0.322545454545455	0.3245
29	7	24	276	0	1	0.300144927536232	0.274
30	7	13	78	0	1	0.341217948717949	0.35
31	6	175	14706	0	1	0.338230790153679	0.33
32	6	9	36	0	0.881	0.326055555555556	0.358
33	5	82	3240	0	1	0.325762037037037	0.329
34	5	113	5995	0	1	0.341207839866555	0.341
35	5	57	1596	0	1	0.346548245614035	0.3405
36	5	35	595	0	1	0.286366386554622	0.219
37	5	52	1326	0	1	0.292147812971342	0.3
38	5	22	231	0	1	0.383164502164502	0.321
39	5	65	2080	0	1	0.313125961538462	0.303
40	5	8	28	0.233	1	0.472535714285714	0.368
41	5	11	55	0.182	0.771	0.408581818181818	0.347
42	5	9	36	0.223	0.835	0.447027777777778	0.418
43	5	9	36	0	1	0.475361111111111	0.372
