init	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
k-means++	10	0.323	1.322	300.299	28	509	127.1	79.5
k-means++	20	0.38	1.107	265.747	4	371	63.55	37.0
k-means++	30	0.401	1.356	225.364	7	250	42.367	30.0
k-means++	40	0.419	1.305	210.603	7	201	31.775	21.5
k-means++	50	0.424	1.297	197.834	4	126	25.42	17.5
k-means++	60	0.453	1.245	191.767	2	134	21.183	15.0
k-means++	70	0.478	1.217	184.47	2	129	18.157	11.5
k-means++	80	0.501	1.202	177.017	1	125	15.888	9.5
k-means++	90	0.524	1.158	171.968	1	125	14.122	8.5
k-means++	100	0.55	1.149	171.896	1	125	12.71	8.0
k-means++	110	0.552	1.109	166.334	1	125	11.555	7.0
k-means++	120	0.546	1.068	160.185	1	125	10.592	7.0
k-means++	130	0.547	1.02	160.596	1	125	9.777	5.0
k-means++	140	0.552	1.009	158.574	1	125	9.079	5.0
k-means++	150	0.578	0.915	159.284	1	125	8.473	4.0
k-means++	160	0.581	0.889	159.21	1	125	7.944	4.0
k-means++	170	0.585	0.866	159.929	1	125	7.476	4.0
k-means++	180	0.588	0.834	161.545	1	125	7.061	3.0
k-means++	190	0.59	0.824	161.665	1	125	6.689	3.0
k-means++	200	0.596	0.799	165.356	1	125	6.355	3.0
k-means++	210	0.6	0.763	165.783	1	125	6.052	3.0
k-means++	220	0.601	0.737	169.734	1	125	5.777	2.0
k-means++	230	0.603	0.718	172.589	1	125	5.526	2.0
k-means++	240	0.605	0.696	175.863	1	125	5.296	2.0
k-means++	250	0.606	0.667	179.515	1	125	5.084	2.0
k-means++	260	0.609	0.642	186.02	1	125	4.888	2.0
k-means++	270	0.612	0.624	192.708	1	125	4.707	2.0
k-means++	280	0.615	0.611	202.509	1	125	4.539	2.0
k-means++	290	0.616	0.602	210.467	1	125	4.383	2.0
k-means++	300	0.617	0.577	218.228	1	125	4.237	1.0
k-means++	310	0.608	0.56	225.008	1	125	4.1	1.0
k-means++	320	0.606	0.536	233.666	1	125	3.972	1.0
k-means++	330	0.612	0.514	250.103	1	125	3.852	1.0
k-means++	340	0.612	0.492	263.207	1	125	3.738	1.0
k-means++	350	0.61	0.476	274.786	1	125	3.631	1.0
k-means++	360	0.612	0.453	292.981	1	125	3.531	1.0
k-means++	370	0.614	0.435	315.824	1	125	3.435	1.0
k-means++	380	0.616	0.408	341.699	1	125	3.345	1.0
k-means++	390	0.617	0.391	372.578	1	125	3.259	1.0
k-means++	400	0.623	0.389	412.494	1	125	3.178	1.0
k-means++	410	0.626	0.356	476.385	1	125	3.1	1.0
k-means++	420	0.631	0.349	537.498	1	125	3.026	1.0
k-means++	430	0.631	0.334	602.723	1	125	2.956	1.0
k-means++	440	0.632	0.317	691.788	1	125	2.889	1.0
k-means++	450	0.633	0.289	786.129	1	125	2.824	1.0
k-means++	460	0.639	0.276	937.369	1	125	2.763	1.0
k-means++	470	0.641	0.259	1128.359	1	125	2.704	1.0
k-means++	480	0.641	0.245	1345.162	1	125	2.648	1.0
k-means++	490	0.641	0.223	1695.043	1	125	2.594	1.0
k-means++	500	0.64	0.195	2117.727	1	125	2.542	1.0
k-means++	510	0.639	0.184	2698.75	1	125	2.492	1.0
k-means++	520	0.638	0.162	3791.954	1	125	2.444	1.0
k-means++	530	0.635	0.137	5573.779	1	125	2.398	1.0
k-means++	540	0.634	0.116	9196.178	1	125	2.354	1.0
k-means++	550	0.633	0.101	22764.432	1	125	2.311	1.0
k-means++	560	0.63	0.051	165779.964	1	125	2.27	1.0
k-means++	570	0.5	0.012	13507008682149.348	1	62	2.238	1.0
k-means++	580	0.575	0.019	3935639829174.558	1	125	2.238	1.0
k-means++	590	0.622	0.003	3897764735007.745	1	125	2.25	1.0
k-means++	600	0.599	0.006	3951530795299.363	1	125	2.246	1.0
random	10	0.326	1.374	312.742	16	407	127.1	61.5
random	20	0.428	1.153	276.884	16	338	63.55	39.0
random	30	0.389	1.222	238.503	4	211	42.367	33.5
random	40	0.426	1.213	200.883	1	176	31.775	18.5
random	50	0.483	1.092	190.807	1	212	25.42	16.5
random	60	0.441	1.19	173.784	1	141	21.183	13.5
random	70	0.475	1.138	168.785	1	125	18.157	14.0
random	80	0.493	1.163	158.595	1	125	15.888	9.0
random	90	0.499	1.178	154.366	1	125	14.122	10.5
random	100	0.51	1.152	150.349	1	125	12.71	8.0
random	110	0.517	1.02	144.345	1	125	11.555	6.5
random	120	0.418	1.382	140.747	1	83	10.592	7.0
random	130	0.533	0.96	143.011	1	125	9.777	5.0
random	140	0.528	0.935	140.425	1	125	9.079	5.0
random	150	0.553	0.932	143.053	1	125	8.473	5.0
random	160	0.432	1.138	140.668	1	66	7.944	4.5
random	170	0.547	0.906	137.999	1	125	7.476	3.5
random	180	0.476	1.06	138.878	1	63	7.061	4.0
random	190	0.574	0.89	140.483	1	125	6.689	3.0
random	200	0.424	1.037	140.807	1	63	6.355	3.0
random	210	0.553	0.829	141.902	1	125	6.052	2.0
random	220	0.47	0.783	144.74	1	124	5.777	2.0
random	230	0.573	0.807	146.136	1	125	5.526	2.0
random	240	0.478	0.896	148.823	1	63	5.296	2.0
random	250	0.569	0.782	152.85	1	125	5.084	2.0
