bandwidth	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	n_clusters	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
0.05	0.63	0.0	3907320269527.053	564	1	125	2.254	1.0
0.1	0.63	0.023	1901996.836	563	1	125	2.258	1.0
0.15	0.63	0.039	452250.848	562	1	125	2.262	1.0
0.2	0.631	0.064	68916.621	557	1	125	2.282	1.0
0.25	0.631	0.094	15707.157	549	1	125	2.315	1.0
0.3	0.63	0.121	7668.997	541	1	125	2.349	1.0
0.35	0.627	0.142	3576.775	527	1	125	2.412	1.0
0.4	0.628	0.171	1877.063	505	1	125	2.517	1.0
0.45	0.609	0.201	831.303	486	1	125	2.615	1.0
0.5	0.599	0.233	602.836	469	1	125	2.71	1.0
0.55	0.583	0.25	387.552	447	1	125	2.843	1.0
0.6	0.581	0.267	335.182	431	1	125	2.949	1.0
0.65	0.571	0.308	256.615	413	1	129	3.077	1.0
0.7	0.568	0.316	217.454	398	1	137	3.193	1.0
0.75	0.564	0.339	191.853	378	1	137	3.362	1.0
0.8	0.561	0.367	178.441	359	1	137	3.54	1.0
0.85	0.56	0.398	164.065	339	1	138	3.749	1.0
0.9	0.545	0.427	138.26	321	1	162	3.96	1.0
0.95	0.533	0.475	119.288	288	1	180	4.413	1.0
1.0	0.528	0.515	108.894	263	1	183	4.833	1.0
1.05	0.53	0.53	110.774	242	1	183	5.252	1.0
1.1	0.507	0.575	97.323	215	1	207	5.912	1.0
1.15	0.49	0.594	90.003	188	1	217	6.761	1.0
1.2	0.455	0.617	80.804	174	1	249	7.305	1.0
1.25	0.423	0.646	75.967	149	1	286	8.53	1.0
1.3	0.41	0.689	76.704	129	1	312	9.853	1.0
1.35	0.41	0.692	79.236	117	1	321	10.863	1.0
1.4	0.353	0.832	71.765	100	1	336	12.71	2.0
1.45	0.377	0.881	86.155	86	1	346	14.779	1.5
1.5	0.368	0.907	90.983	75	1	365	16.947	3.0
1.55	0.278	0.961	71.244	64	1	515	19.859	2.0
1.6	0.303	0.992	84.092	53	1	515	23.981	4.0
1.65	0.31	1.046	86.455	49	1	532	25.939	5.0
1.7	0.291	1.078	84.88	45	1	576	28.244	6.0
1.75	0.294	1.16	95.11	37	1	581	34.351	8.0
1.8	0.308	1.161	105.672	30	1	615	42.367	7.5
1.85	0.297	1.264	134.284	21	1	669	60.524	15.0
1.9	0.293	1.345	135.651	20	1	669	63.55	17.5
1.95	0.287	1.337	133.319	18	1	716	70.611	13.5
2.0	0.298	1.315	140.068	17	1	717	74.765	16.0
