threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.1	5	20	0.354	1.361	185.131
0.1	5	40	0.413	1.282	150.714
0.1	5	60	0.455	1.153	135.646
0.1	5	80	0.488	1.057	130.855
0.1	5	100	0.506	0.996	127.824
0.1	5	120	0.528	0.919	129.516
0.1	5	140	0.531	0.856	128.901
0.1	5	160	0.548	0.796	136.376
0.1	5	180	0.559	0.733	141.794
0.1	5	200	0.564	0.673	148.413
0.1	5	220	0.572	0.623	159.155
0.1	5	240	0.582	0.576	173.18
0.1	5	260	0.589	0.525	191.415
0.1	5	280	0.599	0.481	220.511
0.1	5	300	0.603	0.432	256.105
0.1	5	320	0.61	0.384	310.913
0.1	5	340	0.613	0.337	390.637
0.1	5	360	0.616	0.3	518.527
0.1	5	380	0.616	0.259	719.17
0.1	5	400	0.622	0.226	1192.075
0.1	5	420	0.625	0.185	2183.433
0.1	5	440	0.624	0.139	5670.818
0.1	5	460	0.621	0.086	55190.923
0.1	5	480	0.618	0.064	134273.758
0.1	5	500	0.618	0.06	136644.837
0.1	5	520	0.618	0.06	136644.837
0.1	5	540	0.618	0.06	136644.837
0.1	5	560	0.618	0.06	136644.837
0.1	5	580	0.618	0.06	136644.837
0.1	5	600	0.618	0.06	136644.837
0.1	6	20	0.354	1.401	187.115
0.1	6	40	0.411	1.272	149.387
0.1	6	60	0.454	1.133	133.555
0.1	6	80	0.484	1.065	129.912
0.1	6	100	0.502	0.999	125.366
0.1	6	120	0.52	0.924	127.598
0.1	6	140	0.526	0.858	127.17
0.1	6	160	0.544	0.8	133.579
0.1	6	180	0.557	0.736	140.724
0.1	6	200	0.563	0.671	147.005
0.1	6	220	0.573	0.617	157.714
0.1	6	240	0.584	0.569	173.711
0.1	6	260	0.593	0.524	193.459
0.1	6	280	0.602	0.48	220.543
0.1	6	300	0.604	0.429	252.873
0.1	6	320	0.608	0.379	304.65
0.1	6	340	0.616	0.334	391.489
0.1	6	360	0.618	0.298	523.393
0.1	6	380	0.62	0.257	754.277
0.1	6	400	0.623	0.226	1174.507
0.1	6	420	0.625	0.184	2190.085
0.1	6	440	0.623	0.134	5412.459
0.1	6	460	0.62	0.086	23064.724
0.1	6	480	0.618	0.056	465188592498.241
0.1	6	500	0.618	0.051	465188594869.32
0.1	6	520	0.618	0.051	465188594869.32
0.1	6	540	0.618	0.051	465188594869.32
0.1	6	560	0.618	0.051	465188594869.32
0.1	6	580	0.618	0.051	465188594869.32
0.1	6	600	0.618	0.051	465188594869.32
0.1	7	20	0.354	1.398	186.541
0.1	7	40	0.411	1.274	148.793
0.1	7	60	0.448	1.152	131.82
0.1	7	80	0.476	1.07	127.545
0.1	7	100	0.489	1.004	123.155
0.1	7	120	0.516	0.929	126.351
0.1	7	140	0.526	0.858	126.428
0.1	7	160	0.549	0.794	135.99
0.1	7	180	0.558	0.732	141.897
0.1	7	200	0.565	0.676	148.488
0.1	7	220	0.572	0.623	158.65
0.1	7	240	0.584	0.571	173.342
0.1	7	260	0.589	0.522	191.238
0.1	7	280	0.601	0.481	220.778
0.1	7	300	0.604	0.431	254.469
0.1	7	320	0.606	0.378	302.952
0.1	7	340	0.61	0.336	380.385
0.1	7	360	0.617	0.298	523.847
0.1	7	380	0.62	0.257	759.16
0.1	7	400	0.623	0.222	1175.766
0.1	7	420	0.625	0.182	2197.666
0.1	7	440	0.624	0.136	5513.481
0.1	7	460	0.62	0.086	38243.239
0.1	7	480	0.618	0.067	103117.691
0.1	7	500	0.618	0.063	112227.229
0.1	7	520	0.618	0.063	112227.229
0.1	7	540	0.618	0.063	112227.229
0.1	7	560	0.618	0.063	112227.229
0.1	7	580	0.618	0.063	112227.229
0.1	7	600	0.618	0.063	112227.229
0.1	8	20	0.351	1.39	185.098
0.1	8	40	0.412	1.279	149.725
0.1	8	60	0.443	1.152	130.626
0.1	8	80	0.477	1.069	126.779
0.1	8	100	0.495	1.012	124.434
0.1	8	120	0.515	0.929	126.839
0.1	8	140	0.524	0.854	126.411
0.1	8	160	0.544	0.797	134.332
0.1	8	180	0.556	0.732	140.688
0.1	8	200	0.562	0.667	146.56
0.1	8	220	0.572	0.618	157.634
0.1	8	240	0.58	0.571	171.301
0.1	8	260	0.586	0.521	189.398
0.1	8	280	0.596	0.479	216.251
0.1	8	300	0.6	0.428	248.828
0.1	8	320	0.605	0.377	299.981
0.1	8	340	0.612	0.334	383.976
0.1	8	360	0.619	0.299	531.867
0.1	8	380	0.618	0.259	742.168
0.1	8	400	0.623	0.225	1186.569
0.1	8	420	0.625	0.185	2182.301
0.1	8	440	0.624	0.136	5543.324
0.1	8	460	0.62	0.087	61843.512
0.1	8	480	0.618	0.056	131917.81
0.1	8	500	0.618	0.054	134504.081
0.1	8	520	0.618	0.054	134504.081
0.1	8	540	0.618	0.054	134504.081
0.1	8	560	0.618	0.054	134504.081
0.1	8	580	0.618	0.054	134504.081
0.1	8	600	0.618	0.054	134504.081
0.1	9	20	0.352	1.405	185.197
0.1	9	40	0.415	1.262	150.003
0.1	9	60	0.453	1.14	133.399
0.1	9	80	0.48	1.054	126.985
0.1	9	100	0.499	0.995	125.41
0.1	9	120	0.524	0.92	128.798
0.1	9	140	0.537	0.856	130.637
0.1	9	160	0.551	0.793	136.714
0.1	9	180	0.559	0.728	142.666
0.1	9	200	0.565	0.671	149.148
0.1	9	220	0.573	0.623	159.152
0.1	9	240	0.578	0.574	171.42
0.1	9	260	0.586	0.523	190.245
0.1	9	280	0.597	0.481	219.168
0.1	9	300	0.599	0.43	250.923
