bisecting_strategy	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
biggest_inertia	20	0.325	1.448	169.955
biggest_inertia	40	0.399	1.385	142.693
biggest_inertia	60	0.435	1.336	126.526
biggest_inertia	80	0.466	1.289	118.614
biggest_inertia	100	0.491	1.234	113.0
biggest_inertia	120	0.512	1.167	110.687
biggest_inertia	140	0.53	1.091	112.806
biggest_inertia	160	0.544	1.016	116.77
biggest_inertia	180	0.556	0.949	120.062
biggest_inertia	200	0.567	0.887	126.221
biggest_inertia	220	0.575	0.823	134.66
biggest_inertia	240	0.585	0.762	147.44
biggest_inertia	260	0.591	0.701	163.317
biggest_inertia	280	0.599	0.64	186.998
biggest_inertia	300	0.602	0.576	218.35
biggest_inertia	320	0.611	0.524	269.644
biggest_inertia	340	0.616	0.466	340.661
biggest_inertia	360	0.621	0.399	468.397
biggest_inertia	380	0.626	0.342	677.983
biggest_inertia	400	0.628	0.283	1080.627
biggest_inertia	420	0.63	0.229	2023.722
biggest_inertia	440	0.629	0.166	5589.711
biggest_inertia	460	0.622	0.092	543780784020.245
biggest_inertia	480	0.618	0.011	4963527867229.143
biggest_inertia	500	0.618	0.0	5449226286042.108
biggest_inertia	520	0.618	0.0	5449226286042.108
biggest_inertia	540	0.618	0.0	5449226286042.108
biggest_inertia	560	0.618	0.0	5449226286042.108
biggest_inertia	580	0.618	0.0	5449226286042.108
biggest_inertia	600	0.618	0.0	5449226286042.108
