init	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
k-means++	10	0.33	1.292	243.251
k-means++	20	0.4	1.253	212.129
k-means++	30	0.415	1.258	185.706
k-means++	40	0.432	1.253	169.271
k-means++	50	0.445	1.238	157.794
k-means++	60	0.475	1.19	153.318
k-means++	70	0.492	1.15	148.254
k-means++	80	0.508	1.132	144.189
k-means++	90	0.52	1.09	140.197
k-means++	100	0.53	1.045	138.258
k-means++	110	0.539	1.005	136.755
k-means++	120	0.547	0.975	135.424
k-means++	130	0.554	0.943	134.866
k-means++	140	0.56	0.897	134.949
k-means++	150	0.564	0.874	136.92
k-means++	160	0.57	0.841	138.506
k-means++	170	0.574	0.805	140.217
k-means++	180	0.58	0.771	144.117
k-means++	190	0.584	0.738	147.82
k-means++	200	0.587	0.705	151.556
k-means++	210	0.591	0.675	157.064
k-means++	220	0.594	0.649	162.725
k-means++	230	0.597	0.622	168.732
k-means++	240	0.599	0.595	176.104
k-means++	250	0.602	0.57	185.307
k-means++	260	0.605	0.549	196.319
k-means++	270	0.608	0.527	208.812
k-means++	280	0.608	0.505	220.694
k-means++	290	0.609	0.478	236.782
k-means++	300	0.611	0.454	256.743
k-means++	310	0.612	0.435	279.907
k-means++	320	0.614	0.413	310.253
k-means++	330	0.616	0.387	349.638
k-means++	340	0.616	0.363	396.918
k-means++	350	0.618	0.34	453.222
k-means++	360	0.619	0.317	525.917
k-means++	370	0.621	0.293	624.575
k-means++	380	0.623	0.275	758.431
k-means++	390	0.623	0.255	921.954
k-means++	400	0.624	0.233	1143.802
k-means++	410	0.626	0.211	1509.635
k-means++	420	0.627	0.19	2146.054
k-means++	430	0.626	0.165	3252.635
k-means++	440	0.624	0.138	5749.971
k-means++	450	0.622	0.117	27667.329
k-means++	460	0.611	0.088	2173681529652.745
k-means++	470	0.617	0.035	2783344922132.662
k-means++	480	0.569	0.025	9979645791150.135
k-means++	490	0.544	0.032	11424486459205.479
k-means++	500	0.576	0.018	8427625180704.533
k-means++	510	0.514	0.027	15451664210184.984
k-means++	520	0.506	0.026	12005966914883.15
k-means++	530	0.523	0.025	12057591782833.982
k-means++	540	0.528	0.033	13281527163189.797
k-means++	550	0.516	0.031	11619147805372.379
k-means++	560	0.525	0.02	10492336191218.834
k-means++	570	0.53	0.016	9310409784162.285
k-means++	580	0.549	0.013	7917259184174.144
k-means++	590	0.57	0.014	7915537445654.842
k-means++	600	0.569	0.025	6414532458850.88
random	10	0.331	1.254	254.25
random	20	0.393	1.278	207.484
random	30	0.415	1.269	182.146
random	40	0.415	1.262	161.598
random	50	0.435	1.212	149.911
random	60	0.449	1.158	141.018
random	70	0.462	1.138	133.543
random	80	0.481	1.107	129.401
random	90	0.5	1.075	125.481
random	100	0.498	1.078	121.947
random	110	0.501	1.06	120.439
random	120	0.513	1.003	117.381
random	130	0.527	0.955	117.65
random	140	0.515	0.946	116.75
random	150	0.539	0.903	117.521
random	160	0.541	0.883	118.944
random	170	0.548	0.857	120.418
random	180	0.548	0.839	123.144
random	190	0.556	0.809	126.11
random	200	0.56	0.774	129.77
random	210	0.557	0.741	133.649
random	220	0.541	0.737	137.98
random	230	0.565	0.722	144.017
random	240	0.565	0.692	149.498
random	250	0.555	0.654	158.227
random	260	0.581	0.639	165.95
random	270	0.578	0.616	174.151
random	280	0.58	0.592	186.095
random	290	0.594	0.56	198.473
random	300	0.565	0.545	212.069
random	310	0.598	0.52	230.596
random	320	0.597	0.496	254.366
random	330	0.57	0.512	272.268
random	340	0.577	0.472	309.906
random	350	0.549	0.464	347.473
random	360	0.563	0.422	399.405
random	370	0.576	0.399	462.71
random	380	0.571	0.387	556.624
random	390	0.557	0.364	664.659
random	400	0.571	0.329	830.41
random	410	0.572	0.302	1095.025
random	420	0.573	0.272	1521.832
random	430	0.596	0.228	2307.482
random	440	0.579	0.2	3792.432
random	450	0.554	0.17	8841.988
random	460	0.561	0.138	2074464593225.716
random	470	0.539	0.085	7751718396497.07
random	480	0.549	0.044	7942926961132.224
random	490	0.536	0.035	10740541368085.053
random	500	0.518	0.042	14119459487132.516
random	510	0.502	0.042	14715955770738.988
random	520	0.49	0.034	16112734266511.697
random	530	0.522	0.025	13733674254383.87
random	540	0.485	0.036	13997620757021.438
random	550	0.493	0.041	13657373362874.451
random	560	0.5	0.021	11285391273264.41
random	570	0.51	0.029	13954625415995.85
random	580	0.511	0.022	9867624416629.014
random	590	0.516	0.027	10588519455977.955
random	600	0.531	0.025	12088242030523.293
