bandwidth	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.05	0.618	0.0	5449226286042.108
0.1	0.618	0.022	629945875867.92
0.15	0.618	0.038	591407.513
0.2	0.619	0.065	64804.513
0.25	0.619	0.094	15320.638
0.3	0.618	0.119	7255.992
0.35	0.616	0.138	3253.422
0.4	0.618	0.164	1850.365
0.45	0.606	0.189	983.514
0.5	0.593	0.219	592.269
0.55	0.578	0.239	386.363
0.6	0.572	0.26	314.537
0.65	0.563	0.294	243.846
0.7	0.563	0.307	209.543
0.75	0.558	0.33	183.134
0.8	0.557	0.36	168.794
0.85	0.556	0.389	157.062
0.9	0.54	0.407	130.25
0.95	0.528	0.452	111.442
1.0	0.529	0.489	104.096
1.05	0.522	0.517	97.933
1.1	0.502	0.564	86.818
1.15	0.485	0.592	80.732
1.2	0.456	0.619	74.104
1.25	0.423	0.649	69.879
1.3	0.409	0.681	68.349
1.35	0.404	0.688	69.294
1.4	0.364	0.761	65.139
1.45	0.389	0.842	76.495
1.5	0.357	0.87	74.181
1.55	0.295	0.914	65.715
1.6	0.308	0.981	70.194
1.65	0.312	1.003	72.702
1.7	0.302	1.037	72.233
1.75	0.299	1.113	78.668
1.8	0.299	1.138	84.746
1.85	0.302	1.187	101.958
1.9	0.296	1.22	106.223
1.95	0.291	1.257	106.606
2.0	0.295	1.249	111.796
