threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
0.1	5	20	0.349	1.419	236.126	5	291	63.55	39.5
0.1	5	40	0.399	1.332	180.179	4	183	31.775	16.5
0.1	5	60	0.461	1.199	169.165	1	180	21.183	10.0
0.1	5	80	0.486	1.1	154.459	1	180	15.888	7.5
0.1	5	100	0.513	1.055	156.653	1	180	12.71	7.0
0.1	5	120	0.531	1.02	153.603	1	168	10.592	5.0
0.1	5	140	0.543	0.941	158.74	1	127	9.079	4.0
0.1	5	160	0.552	0.904	157.898	1	126	7.944	4.0
0.1	5	180	0.561	0.841	159.459	1	126	7.061	3.0
0.1	5	200	0.572	0.797	163.388	1	126	6.355	3.0
0.1	5	220	0.579	0.726	169.947	1	126	5.777	2.0
0.1	5	240	0.582	0.677	176.243	1	125	5.296	2.0
0.1	5	260	0.587	0.635	183.83	1	125	4.888	2.0
0.1	5	280	0.595	0.58	197.146	1	125	4.539	2.0
0.1	5	300	0.6	0.545	212.908	1	125	4.237	1.0
0.1	5	320	0.605	0.51	232.233	1	125	3.972	1.0
0.1	5	340	0.623	0.488	272.537	1	125	3.738	1.0
0.1	5	360	0.624	0.428	310.007	1	125	3.531	1.0
0.1	5	380	0.628	0.403	367.523	1	125	3.345	1.0
0.1	5	400	0.628	0.356	438.895	1	125	3.178	1.0
0.1	5	420	0.63	0.318	547.948	1	125	3.026	1.0
0.1	5	440	0.633	0.287	696.806	1	125	2.889	1.0
0.1	5	460	0.634	0.262	923.25	1	125	2.763	1.0
0.1	5	480	0.639	0.232	1405.78	1	125	2.648	1.0
0.1	5	500	0.637	0.205	2173.587	1	125	2.542	1.0
0.1	5	520	0.639	0.165	3924.538	1	125	2.444	1.0
0.1	5	540	0.633	0.114	9222.572	1	125	2.354	1.0
0.1	5	560	0.63	0.055	66048.887	1	125	2.27	1.0
0.1	5	580	0.631	0.057	192739.099	1	125	2.266	1.0
0.1	5	600	0.631	0.057	192739.099	1	125	2.266	1.0
0.1	6	20	0.348	1.456	239.99	14	243	63.55	45.5
0.1	6	40	0.419	1.243	185.877	4	223	31.775	17.5
0.1	6	60	0.45	1.198	156.763	1	180	21.183	11.0
0.1	6	80	0.471	1.072	148.66	1	180	15.888	7.0
