bisecting_strategy	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
biggest_inertia	20	0.343	1.556	226.067	7	221	63.55	52.0
biggest_inertia	40	0.364	1.512	167.125	1	126	31.775	26.5
biggest_inertia	60	0.442	1.399	155.881	1	126	21.183	15.0
biggest_inertia	80	0.473	1.32	146.194	1	126	15.888	10.0
biggest_inertia	100	0.5	1.194	142.075	1	126	12.71	8.5
biggest_inertia	120	0.521	1.181	131.927	1	126	10.592	7.0
biggest_inertia	140	0.523	1.139	123.96	1	126	9.079	5.0
biggest_inertia	160	0.544	1.108	125.844	1	125	7.944	5.0
biggest_inertia	180	0.546	1.105	126.739	1	125	7.061	4.0
biggest_inertia	200	0.561	1.043	131.094	1	125	6.355	3.0
biggest_inertia	220	0.566	0.994	133.681	1	125	5.777	3.0
biggest_inertia	240	0.574	0.929	141.159	1	125	5.296	2.0
biggest_inertia	260	0.582	0.874	146.74	1	125	4.888	2.0
biggest_inertia	280	0.59	0.815	158.439	1	125	4.539	2.0
biggest_inertia	300	0.6	0.766	173.947	1	125	4.237	2.0
biggest_inertia	320	0.604	0.701	196.342	1	125	3.972	2.0
biggest_inertia	340	0.612	0.649	223.79	1	125	3.738	2.0
biggest_inertia	360	0.613	0.582	254.627	1	125	3.531	1.0
biggest_inertia	380	0.622	0.528	304.599	1	125	3.345	1.0
biggest_inertia	400	0.628	0.476	377.844	1	125	3.178	1.0
biggest_inertia	420	0.631	0.421	468.476	1	125	3.026	1.0
biggest_inertia	440	0.64	0.381	606.759	1	125	2.889	1.0
biggest_inertia	460	0.644	0.328	839.87	1	125	2.763	1.0
biggest_inertia	480	0.647	0.291	1201.559	1	125	2.648	1.0
biggest_inertia	500	0.643	0.23	2011.489	1	125	2.542	1.0
biggest_inertia	520	0.643	0.198	3599.485	1	125	2.444	1.0
biggest_inertia	540	0.638	0.147	8989.696	1	125	2.354	1.0
biggest_inertia	560	0.631	0.053	169643.673	1	125	2.27	1.0
biggest_inertia	580	0.63	0.0	3907320269527.053	1	125	2.254	1.0
biggest_inertia	600	0.63	0.0	3907320269527.053	1	125	2.254	1.0
