threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
0.1	5	20	0.318	1.503	129.277	8	373	63.55	32.5
0.1	5	40	0.381	1.395	103.815	1	231	31.775	16.5
0.1	5	60	0.429	1.262	92.822	1	212	21.183	9.5
0.1	5	80	0.473	1.207	92.86	1	198	15.887	7.0
0.1	5	100	0.505	1.139	90.794	1	156	12.71	5.5
0.1	5	120	0.523	1.061	88.042	1	154	10.592	4.0
0.1	5	140	0.531	0.988	85.289	1	154	9.079	4.0
0.1	5	160	0.548	0.943	86.905	1	152	7.944	3.0
0.1	5	180	0.546	0.868	85.523	1	152	7.061	3.0
0.1	5	200	0.546	0.805	86.13	1	152	6.355	2.0
0.1	5	220	0.551	0.733	87.722	1	152	5.777	2.0
0.1	5	240	0.556	0.705	92.165	1	151	5.296	2.0
0.1	5	260	0.557	0.642	96.402	1	149	4.888	2.0
0.1	5	280	0.555	0.584	101.664	1	149	4.539	1.0
0.1	5	300	0.558	0.546	109.159	1	146	4.237	1.0
0.1	5	320	0.561	0.5	117.178	1	146	3.972	1.0
0.1	5	340	0.568	0.462	130.106	1	146	3.738	1.0
0.1	5	360	0.572	0.413	141.804	1	146	3.531	1.0
0.1	5	380	0.573	0.375	161.75	1	143	3.345	1.0
0.1	5	400	0.574	0.34	181.59	1	143	3.178	1.0
0.1	5	420	0.584	0.319	218.318	1	141	3.026	1.0
0.1	5	440	0.592	0.276	276.315	1	141	2.889	1.0
0.1	5	460	0.603	0.253	383.827	1	132	2.763	1.0
0.1	5	480	0.605	0.213	483.863	1	132	2.648	1.0
0.1	5	500	0.613	0.249	703.099	1	125	2.542	1.0
0.1	5	520	0.613	0.234	919.379	1	125	2.444	1.0
0.1	5	540	0.624	0.264	1626.174	1	125	2.362	1.0
0.1	5	560	0.624	0.264	1626.174	1	125	2.362	1.0
0.1	5	580	0.624	0.264	1626.174	1	125	2.362	1.0
0.1	5	600	0.624	0.264	1626.174	1	125	2.362	1.0
0.1	6	20	0.284	1.622	122.858	8	303	63.55	36.0
0.1	6	40	0.364	1.362	98.54	1	267	31.775	13.5
0.1	6	60	0.424	1.316	90.108	1	191	21.183	9.5
0.1	6	80	0.471	1.207	93.309	1	174	15.887	7.0
0.1	6	100	0.498	1.131	90.472	1	157	12.71	5.0
0.1	6	120	0.505	1.096	86.893	1	155	10.592	4.0
0.1	6	140	0.521	1.006	85.49	1	153	9.079	3.0
0.1	6	160	0.522	0.915	82.678	1	153	7.944	3.0
0.1	6	180	0.532	0.867	83.285	1	153	7.061	2.0
0.1	6	200	0.535	0.79	84.407	1	153	6.355	2.0
0.1	6	220	0.543	0.717	87.038	1	150	5.777	2.0
0.1	6	240	0.55	0.683	92.009	1	150	5.296	2.0
0.1	6	260	0.553	0.632	96.481	1	148	4.888	2.0
0.1	6	280	0.556	0.585	103.011	1	145	4.539	1.0
0.1	6	300	0.562	0.548	111.634	1	145	4.237	1.0
0.1	6	320	0.567	0.499	120.037	1	145	3.972	1.0
0.1	6	340	0.571	0.452	131.042	1	145	3.738	1.0
0.1	6	360	0.568	0.396	143.344	1	142	3.531	1.0
0.1	6	380	0.573	0.368	160.928	1	139	3.345	1.0
0.1	6	400	0.575	0.321	180.017	1	139	3.178	1.0
0.1	6	420	0.573	0.296	203.277	1	139	3.026	1.0
0.1	6	440	0.581	0.274	247.917	1	139	2.889	1.0
