bisecting_strategy	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
biggest_inertia	20	0.297	1.693	130.819	4	264	63.55	47.0
biggest_inertia	40	0.369	1.507	103.193	2	173	31.775	19.0
biggest_inertia	60	0.421	1.491	91.628	1	128	21.183	14.0
biggest_inertia	80	0.451	1.436	85.223	1	128	15.887	9.0
biggest_inertia	100	0.462	1.4	76.355	1	128	12.71	8.0
biggest_inertia	120	0.489	1.33	71.659	1	128	10.592	6.0
biggest_inertia	140	0.503	1.254	70.889	1	128	9.079	5.0
biggest_inertia	160	0.52	1.184	70.888	1	128	7.944	4.0
biggest_inertia	180	0.536	1.126	71.083	1	126	7.061	4.0
biggest_inertia	200	0.544	1.058	71.637	1	126	6.355	3.0
biggest_inertia	220	0.551	0.996	73.444	1	126	5.777	3.0
biggest_inertia	240	0.557	0.928	76.089	1	126	5.296	2.0
biggest_inertia	260	0.565	0.881	79.733	1	126	4.888	2.0
biggest_inertia	280	0.567	0.817	83.892	1	126	4.539	2.0
biggest_inertia	300	0.573	0.77	90.539	1	126	4.237	2.0
biggest_inertia	320	0.58	0.715	99.901	1	126	3.972	2.0
biggest_inertia	340	0.587	0.678	110.867	1	126	3.738	1.0
biggest_inertia	360	0.59	0.639	122.02	1	126	3.531	1.0
biggest_inertia	380	0.596	0.585	142.826	1	126	3.345	1.0
biggest_inertia	400	0.603	0.536	173.468	1	125	3.178	1.0
biggest_inertia	420	0.603	0.474	213.645	1	125	3.026	1.0
biggest_inertia	440	0.615	0.454	269.805	1	125	2.889	1.0
biggest_inertia	460	0.621	0.374	369.617	1	125	2.763	1.0
biggest_inertia	480	0.625	0.315	520.324	1	125	2.648	1.0
biggest_inertia	500	0.626	0.264	810.895	1	125	2.542	1.0
biggest_inertia	520	0.629	0.209	1454.319	1	125	2.444	1.0
biggest_inertia	540	0.63	0.157	3484.981	1	125	2.354	1.0
biggest_inertia	560	0.629	0.054	58051.755	1	125	2.27	1.0
biggest_inertia	580	0.63	0.0	19022852707952.83	1	125	2.254	1.0
biggest_inertia	600	0.63	0.0	19022852707952.83	1	125	2.254	1.0
