init	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
k-means++	10	0.311	1.353	180.013	14	572	127.1	61.5
k-means++	20	0.337	1.545	146.993	13	316	63.55	41.5
k-means++	30	0.379	1.348	128.245	11	325	42.367	21.0
k-means++	40	0.412	1.286	116.173	3	322	31.775	16.5
k-means++	50	0.447	1.245	115.22	3	239	25.42	15.5
k-means++	60	0.444	1.385	107.166	3	191	21.183	13.0
k-means++	70	0.464	1.332	103.721	1	158	18.157	10.0
k-means++	80	0.461	1.286	95.806	1	154	15.887	8.0
k-means++	90	0.488	1.231	93.62	1	133	14.122	8.0
k-means++	100	0.503	1.214	90.947	1	126	12.71	6.5
k-means++	110	0.514	1.169	89.183	1	126	11.555	5.5
k-means++	120	0.513	1.157	87.282	1	126	10.592	5.0
k-means++	130	0.512	1.102	86.682	1	126	9.777	5.0
k-means++	140	0.517	1.059	85.069	1	126	9.079	4.0
k-means++	150	0.527	0.994	86.22	1	126	8.473	4.0
k-means++	160	0.529	0.955	85.972	1	126	7.944	4.0
k-means++	170	0.533	0.915	86.126	1	126	7.476	3.0
k-means++	180	0.536	0.885	85.911	1	126	7.061	3.0
k-means++	190	0.537	0.851	85.745	1	126	6.689	3.0
k-means++	200	0.545	0.822	87.086	1	126	6.355	2.0
k-means++	210	0.547	0.788	88.529	1	126	6.052	2.0
k-means++	220	0.553	0.762	89.947	1	126	5.777	2.0
k-means++	230	0.552	0.723	90.324	1	126	5.526	2.0
k-means++	240	0.552	0.699	91.229	1	126	5.296	2.0
k-means++	250	0.557	0.69	93.517	1	126	5.084	2.0
k-means++	260	0.561	0.655	95.44	1	126	4.888	1.0
k-means++	270	0.563	0.631	98.146	1	126	4.707	1.0
k-means++	280	0.565	0.617	102.281	1	126	4.539	1.0
k-means++	290	0.574	0.614	106.404	1	126	4.383	1.0
k-means++	300	0.577	0.586	110.655	1	126	4.237	1.0
k-means++	310	0.578	0.548	114.269	1	126	4.1	1.0
k-means++	320	0.578	0.523	121.487	1	126	3.972	1.0
k-means++	330	0.583	0.499	128.955	1	126	3.852	1.0
k-means++	340	0.588	0.482	138.249	1	126	3.738	1.0
k-means++	350	0.587	0.47	146.068	1	126	3.631	1.0
k-means++	360	0.589	0.441	155.421	1	126	3.531	1.0
k-means++	370	0.595	0.422	167.067	1	125	3.435	1.0
k-means++	380	0.595	0.404	178.711	1	125	3.345	1.0
k-means++	390	0.6	0.368	195.401	1	125	3.259	1.0
k-means++	400	0.601	0.346	213.37	1	125	3.178	1.0
k-means++	410	0.607	0.348	239.635	1	125	3.1	1.0
k-means++	420	0.609	0.335	262.218	1	125	3.026	1.0
k-means++	430	0.612	0.325	293.743	1	125	2.956	1.0
k-means++	440	0.612	0.311	324.766	1	125	2.889	1.0
k-means++	450	0.612	0.298	359.161	1	125	2.824	1.0
k-means++	460	0.614	0.275	414.94	1	125	2.763	1.0
k-means++	470	0.614	0.254	481.138	1	125	2.704	1.0
k-means++	480	0.615	0.237	565.287	1	125	2.648	1.0
k-means++	490	0.619	0.218	686.755	1	125	2.594	1.0
k-means++	500	0.624	0.202	857.716	1	125	2.542	1.0
k-means++	510	0.627	0.194	1130.465	1	125	2.492	1.0
k-means++	520	0.629	0.177	1527.608	1	125	2.444	1.0
k-means++	530	0.629	0.159	2257.642	1	125	2.398	1.0
k-means++	540	0.629	0.129	3741.854	1	125	2.354	1.0
k-means++	550	0.63	0.1	8843.77	1	125	2.311	1.0
k-means++	560	0.63	0.07	66390.373	1	125	2.27	1.0
k-means++	570	0.507	0.018	57328358019478.32	1	62	2.234	1.0
k-means++	580	0.492	0.03	18798489404660.617	1	124	2.23	1.0
k-means++	590	0.532	0.005	57839408063245.89	1	62	2.246	1.0
k-means++	600	0.492	0.024	18860858117499.992	1	124	2.234	1.0
random	10	0.318	1.392	190.914	29	560	127.1	60.5
random	20	0.308	1.495	134.47	12	371	63.55	35.0
random	30	0.358	1.528	116.845	1	296	42.367	29.5
random	40	0.41	1.445	115.009	1	179	31.775	20.5
random	50	0.412	1.271	108.342	1	191	25.42	16.5
random	60	0.421	1.376	98.08	1	159	21.183	14.0
random	70	0.455	1.279	95.797	1	140	18.157	13.0
random	80	0.453	1.176	89.441	1	132	15.887	9.0
random	90	0.463	1.167	86.187	1	128	14.122	8.0
random	100	0.482	1.154	85.692	1	126	12.71	7.5
random	110	0.49	1.155	81.39	1	126	11.555	7.0
random	120	0.49	1.146	77.495	1	126	10.592	7.0
random	130	0.504	1.034	79.142	1	125	9.777	5.0
random	140	0.497	1.054	75.14	1	125	9.079	5.0
random	150	0.522	1.002	77.125	1	125	8.473	4.0
random	160	0.513	0.993	75.189	1	126	7.944	4.0
random	170	0.514	0.985	75.706	1	126	7.476	4.0
random	180	0.52	0.944	75.559	1	125	7.061	3.0
random	190	0.506	0.903	75.238	1	126	6.689	3.0
random	200	0.543	0.912	74.931	1	126	6.355	3.0
random	210	0.552	0.893	75.76	1	126	6.052	3.0
random	220	0.528	0.88	77.285	1	126	5.777	2.0
random	230	0.553	0.816	79.709	1	125	5.526	2.0
random	240	0.55	0.775	79.969	1	125	5.296	2.0
random	250	0.551	0.772	81.346	1	125	5.084	2.0
random	260	0.458	0.785	82.833	1	124	4.888	1.0
random	270	0.557	0.751	84.841	1	125	4.707	1.0
random	280	0.566	0.75	86.21	1	125	4.539	1.0
random	290	0.561	0.717	89.967	1	125	4.383	1.0
random	300	0.469	0.695	93.175	1	124	4.237	1.0
random	310	0.47	0.677	97.792	1	124	4.1	1.0
random	320	0.569	0.66	102.307	1	125	3.972	1.0
random	330	0.58	0.673	102.677	1	125	3.852	1.0
random	340	0.583	0.615	108.909	1	125	3.738	1.0
random	350	0.484	0.593	111.735	1	124	3.631	1.0
random	360	0.575	0.58	125.767	1	125	3.531	1.0
random	370	0.469	0.556	130.771	1	124	3.435	1.0
random	380	0.499	0.541	142.717	1	124	3.345	1.0
random	390	0.576	0.535	152.282	1	125	3.259	1.0
random	400	0.601	0.496	166.246	1	125	3.178	1.0
random	410	0.61	0.471	186.154	1	125	3.1	1.0
random	420	0.479	0.459	193.086	1	124	3.026	1.0
random	430	0.597	0.455	221.274	1	125	2.956	1.0
random	440	0.599	0.424	251.54	1	125	2.889	1.0
random	450	0.608	0.387	278.384	1	125	2.824	1.0
random	460	0.591	0.376	311.839	1	125	2.763	1.0
random	470	0.613	0.35	387.922	1	125	2.71	1.0
random	480	0.511	0.32	434.733	1	124	2.648	1.0
random	490	0.592	0.329	527.338	1	125	2.594	1.0
random	500	0.518	0.287	712.954	1	124	2.542	1.0
random	510	0.495	0.289	866.498	1	124	2.492	1.0
random	520	0.522	0.257	1238.548	1	124	2.444	1.0
random	530	0.518	0.228	1635.609	1	124	2.398	1.0
random	540	0.589	0.201	2554.852	1	125	2.354	1.0
random	550	0.516	0.183	5063.167	1	124	2.311	1.0
random	560	0.529	0.106	25143.764	1	124	2.27	1.0
random	570	0.588	0.0	19169830098826.152	1	125	2.242	1.0
random	580	0.466	0.027	19573417911573.83	1	124	2.238	1.0
random	590	0.469	0.039	64340563240755.57	1	62	2.238	1.0
random	600	0.471	0.026	19574022206327.12	1	124	2.238	1.0
