bandwidth	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	n_clusters	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
0.05	0.63	0.0	19022852707952.83	564	1	125	2.254	1.0
0.1	0.63	0.071	37591.1	558	1	125	2.278	1.0
0.15	0.622	0.14	2948.332	541	1	125	2.349	1.0
0.2	0.596	0.198	668.007	506	1	125	2.512	1.0
0.25	0.579	0.255	307.941	472	1	125	2.693	1.0
0.3	0.552	0.285	173.967	434	1	139	2.929	1.0
0.35	0.509	0.319	92.763	387	1	171	3.284	1.0
0.4	0.498	0.379	71.297	341	1	214	3.727	1.0
0.45	0.468	0.43	57.201	303	1	256	4.195	1.0
0.5	0.428	0.538	45.151	259	1	307	4.907	1.0
0.55	0.377	0.607	36.708	213	1	383	5.967	1.0
0.6	0.334	0.715	30.564	167	1	491	7.611	1.0
0.65	0.328	0.778	31.028	130	1	535	9.777	1.0
0.7	0.342	0.94	38.753	94	1	532	13.521	2.0
0.75	0.331	1.015	38.297	68	1	622	18.691	3.0
0.8	0.345	1.172	48.767	49	1	621	25.939	4.0
0.85	0.183	1.447	39.011	31	1	851	41.0	8.0
0.9	0.206	1.383	50.216	15	1	995	84.733	17.0
0.95	0.197	1.127	52.888	9	1	1103	141.222	21.0
1.0	0.183	1.009	42.889	7	1	1171	181.571	7.0
1.05	0.224	1.023	8.614	4	1	1257	317.75	6.5
1.1	0.223	0.765	5.375	3	1	1266	423.667	4.0
1.15	0.223	0.765	5.375	3	1	1266	423.667	4.0
1.2	0.351	0.524	3.231	2	1	1270	635.5	635.5
1.25	0.351	0.524	3.231	2	1	1270	635.5	635.5
1.3	0.351	0.524	3.231	2	1	1270	635.5	635.5
1.35	0.351	0.524	3.231	2	1	1270	635.5	635.5
1.4	0	0	0	1	1271	1271	1271.0	1271.0
1.45	0	0	0	1	1271	1271	1271.0	1271.0
1.5	0	0	0	1	1271	1271	1271.0	1271.0
1.55	0	0	0	1	1271	1271	1271.0	1271.0
1.6	0	0	0	1	1271	1271	1271.0	1271.0
1.65	0	0	0	1	1271	1271	1271.0	1271.0
1.7	0	0	0	1	1271	1271	1271.0	1271.0
1.75	0	0	0	1	1271	1271	1271.0	1271.0
1.8	0	0	0	1	1271	1271	1271.0	1271.0
1.85	0	0	0	1	1271	1271	1271.0	1271.0
1.9	0	0	0	1	1271	1271	1271.0	1271.0
1.95	0	0	0	1	1271	1271	1271.0	1271.0
2.0	0	0	0	1	1271	1271	1271.0	1271.0
