bisecting_strategy	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
biggest_inertia	20	0.288	1.476	92.965
biggest_inertia	40	0.376	1.466	82.053
biggest_inertia	60	0.422	1.41	73.189
biggest_inertia	80	0.442	1.36	65.998
biggest_inertia	100	0.464	1.308	63.039
biggest_inertia	120	0.484	1.252	61.678
biggest_inertia	140	0.502	1.181	61.501
biggest_inertia	160	0.513	1.094	62.013
biggest_inertia	180	0.529	1.023	64.042
biggest_inertia	200	0.539	0.944	66.875
biggest_inertia	220	0.551	0.885	71.527
biggest_inertia	240	0.56	0.817	77.213
biggest_inertia	260	0.57	0.745	84.933
biggest_inertia	280	0.578	0.68	96.923
biggest_inertia	300	0.584	0.618	112.761
biggest_inertia	320	0.591	0.561	135.46
biggest_inertia	340	0.597	0.493	171.748
biggest_inertia	360	0.602	0.431	224.819
biggest_inertia	380	0.609	0.373	319.183
biggest_inertia	400	0.613	0.308	498.524
biggest_inertia	420	0.615	0.243	905.424
biggest_inertia	440	0.62	0.183	2444.36
biggest_inertia	460	0.618	0.102	2182575401434.067
biggest_inertia	480	0.618	0.011	18291190940571.957
biggest_inertia	500	0.618	0.0	20149373391368.15
biggest_inertia	520	0.618	0.0	20149373391368.15
biggest_inertia	540	0.618	0.0	20149373391368.15
biggest_inertia	560	0.618	0.0	20149373391368.15
biggest_inertia	580	0.618	0.0	20149373391368.15
biggest_inertia	600	0.618	0.0	20149373391368.15
