init	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
k-means++	10	0.267	1.54	135.62
k-means++	20	0.324	1.433	113.637
k-means++	30	0.38	1.36	103.172
k-means++	40	0.413	1.286	95.944
k-means++	50	0.439	1.248	91.085
k-means++	60	0.457	1.25	88.234
k-means++	70	0.47	1.219	84.069
k-means++	80	0.48	1.199	80.794
k-means++	90	0.487	1.165	78.481
k-means++	100	0.497	1.113	76.926
k-means++	110	0.504	1.06	75.844
k-means++	120	0.51	1.018	75.197
k-means++	130	0.514	0.969	74.829
k-means++	140	0.516	0.922	74.507
k-means++	150	0.523	0.901	75.609
k-means++	160	0.528	0.867	76.376
k-means++	170	0.531	0.832	77.156
k-means++	180	0.538	0.794	78.579
k-means++	190	0.54	0.757	79.87
k-means++	200	0.543	0.721	81.396
k-means++	210	0.545	0.684	83.82
k-means++	220	0.549	0.659	86.408
k-means++	230	0.552	0.632	89.58
k-means++	240	0.556	0.605	93.355
k-means++	250	0.559	0.575	97.6
k-means++	260	0.564	0.549	103.32
k-means++	270	0.568	0.521	109.527
k-means++	280	0.571	0.494	116.795
k-means++	290	0.574	0.466	125.855
k-means++	300	0.578	0.441	137.133
k-means++	310	0.582	0.416	149.508
k-means++	320	0.586	0.394	165.196
k-means++	330	0.589	0.375	183.874
k-means++	340	0.592	0.357	205.73
k-means++	350	0.595	0.336	231.805
k-means++	360	0.597	0.317	263.558
k-means++	370	0.599	0.296	304.82
k-means++	380	0.601	0.277	360.722
k-means++	390	0.603	0.256	440.065
k-means++	400	0.606	0.238	548.603
k-means++	410	0.609	0.221	711.051
k-means++	420	0.613	0.206	968.163
k-means++	430	0.616	0.182	1426.277
k-means++	440	0.617	0.158	2426.376
k-means++	450	0.617	0.13	10243.156
k-means++	460	0.617	0.09	2182575408979.46
k-means++	470	0.596	0.057	14116020887385.688
k-means++	480	0.55	0.042	30506735371904.676
k-means++	490	0.549	0.056	33119327464952.906
k-means++	500	0.55	0.037	28928029062490.97
k-means++	510	0.503	0.073	41162011941398.836
k-means++	520	0.573	0.012	26884512860488.934
k-means++	530	0.575	0.012	24813565901901.625
k-means++	540	0.509	0.042	37099930750049.89
k-means++	550	0.497	0.056	36712328960275.45
k-means++	560	0.468	0.074	46789406708943.55
k-means++	570	0.477	0.053	35546268285128.35
k-means++	580	0.495	0.044	33933052218136.832
k-means++	590	0.507	0.032	31493156080005.355
k-means++	600	0.521	0.036	29212397634956.74
random	10	0.291	1.502	143.606
random	20	0.326	1.39	112.208
random	30	0.363	1.385	97.622
random	40	0.39	1.305	90.105
random	50	0.423	1.246	85.762
random	60	0.437	1.255	80.471
random	70	0.452	1.211	76.677
random	80	0.46	1.222	73.286
random	90	0.472	1.155	71.271
random	100	0.479	1.152	69.533
random	110	0.487	1.11	68.362
random	120	0.489	1.07	67.219
random	130	0.494	1.018	65.961
random	140	0.502	1.022	65.678
random	150	0.508	0.962	65.797
random	160	0.512	0.927	66.423
random	170	0.522	0.894	67.132
random	180	0.528	0.891	68.415
random	190	0.525	0.853	69.105
random	200	0.526	0.846	70.66
random	210	0.539	0.804	72.709
random	220	0.538	0.79	74.237
random	230	0.531	0.754	76.793
random	240	0.543	0.72	79.803
random	250	0.551	0.7	83.515
random	260	0.557	0.681	87.134
random	270	0.554	0.655	90.566
random	280	0.56	0.635	95.996
random	290	0.565	0.61	101.754
random	300	0.554	0.588	109.919
random	310	0.563	0.543	119.978
random	320	0.574	0.522	130.387
random	330	0.581	0.509	141.791
random	340	0.575	0.481	159.842
random	350	0.566	0.475	175.682
random	360	0.565	0.441	203.215
random	370	0.587	0.394	232.057
random	380	0.574	0.374	272.248
random	390	0.579	0.355	332.542
random	400	0.579	0.342	414.55
random	410	0.581	0.312	538.356
random	420	0.589	0.289	726.28
random	430	0.589	0.248	1042.496
random	440	0.575	0.219	1712.954
random	450	0.566	0.195	5355.714
random	460	0.564	0.151	3867281627581.985
random	470	0.581	0.081	12192470695946.49
random	480	0.54	0.041	31168143916040.676
random	490	0.515	0.054	29325481319553.26
random	500	0.485	0.06	37237251048328.32
random	510	0.498	0.036	39683528456662.64
random	520	0.517	0.023	28829928588030.117
random	530	0.515	0.019	33002326728542.24
random	540	0.472	0.056	39427402190898.35
random	550	0.47	0.066	39876526757165.7
random	560	0.482	0.05	41437528315226.76
random	570	0.478	0.056	36238971865735.21
random	580	0.483	0.039	35609907792117.32
random	590	0.466	0.035	40862075683433.33
random	600	0.508	0.024	29028882546459.21
