bandwidth	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.05	0.618	0.0	20149373391368.15
0.1	0.618	0.071	35784.104
0.15	0.612	0.139	2952.421
0.2	0.587	0.193	644.279
0.25	0.573	0.241	306.326
0.3	0.548	0.278	168.817
0.35	0.502	0.327	88.216
0.4	0.495	0.375	68.346
0.45	0.465	0.42	54.179
0.5	0.427	0.513	42.169
0.55	0.377	0.578	34.406
0.6	0.343	0.684	29.5
0.65	0.33	0.758	28.381
0.7	0.343	0.877	34.046
0.75	0.332	0.961	35.204
0.8	0.342	1.126	40.943
0.85	0.181	1.42	30.56
0.9	0.189	1.374	40.941
0.95	0.209	1.172	45.73
1.0	0.19	0.966	32.014
1.05	0.229	0.862	7.202
1.1	0.244	0.786	6.344
1.15	0.272	0.663	5.217
1.2	0.325	0.548	3.83
1.25	0.325	0.548	3.83
1.3	0	0	0
1.35	0	0	0
1.4	0	0	0
1.45	0	0	0
1.5	0	0	0
1.55	0	0	0
1.6	0	0	0
1.65	0	0	0
1.7	0	0	0
1.75	0	0	0
1.8	0	0	0
1.85	0	0	0
1.9	0	0	0
1.95	0	0	0
2.0	0	0	0
