threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
0.1	5	20	0.349	1.519	230.337	15	278	63.55	48.0
0.1	5	40	0.373	1.387	166.757	4	189	31.775	17.5
0.1	5	60	0.435	1.211	155.768	1	181	21.183	12.5
0.1	5	80	0.455	1.134	142.533	1	181	15.888	7.5
0.1	5	100	0.487	1.1	140.613	1	161	12.71	6.0
0.1	5	120	0.497	1.056	138.466	1	144	10.592	5.0
0.1	5	140	0.527	0.972	143.964	1	126	9.079	4.0
0.1	5	160	0.539	0.888	142.63	1	126	7.944	4.0
0.1	5	180	0.55	0.851	146.321	1	125	7.061	3.0
0.1	5	200	0.559	0.816	148.105	1	125	6.355	3.0
0.1	5	220	0.568	0.762	153.586	1	125	5.777	2.0
0.1	5	240	0.586	0.71	163.519	1	125	5.296	2.0
0.1	5	260	0.591	0.656	172.202	1	125	4.888	2.0
0.1	5	280	0.594	0.612	181.267	1	125	4.539	2.0
0.1	5	300	0.596	0.567	191.857	1	125	4.237	1.5
0.1	5	320	0.599	0.515	207.825	1	125	3.972	1.0
0.1	5	340	0.608	0.478	234.437	1	125	3.738	1.0
0.1	5	360	0.613	0.442	266.962	1	125	3.531	1.0
0.1	5	380	0.616	0.408	304.683	1	125	3.345	1.0
0.1	5	400	0.62	0.371	365.435	1	125	3.178	1.0
0.1	5	420	0.624	0.333	452.627	1	125	3.026	1.0
0.1	5	440	0.622	0.288	551.642	1	125	2.889	1.0
0.1	5	460	0.631	0.27	786.426	1	125	2.763	1.0
0.1	5	480	0.636	0.255	1138.556	1	125	2.648	1.0
0.1	5	500	0.638	0.217	1719.07	1	125	2.542	1.0
0.1	5	520	0.639	0.18	3096.328	1	125	2.444	1.0
0.1	5	540	0.635	0.134	7842.59	1	125	2.354	1.0
0.1	5	560	0.63	0.064	126815.063	1	125	2.27	1.0
0.1	5	580	0.63	0.055	605166.204	1	125	2.258	1.0
0.1	5	600	0.63	0.055	605166.204	1	125	2.258	1.0
0.1	6	20	0.318	1.445	209.762	5	269	63.55	45.0
0.1	6	40	0.378	1.418	167.058	4	180	31.775	18.0
0.1	6	60	0.434	1.211	151.348	1	180	21.183	11.0
0.1	6	80	0.459	1.118	140.484	1	176	15.888	7.5
0.1	6	100	0.473	1.068	133.117	1	176	12.71	6.0
0.1	6	120	0.478	1.041	126.987	1	146	10.592	5.0
0.1	6	140	0.512	0.958	135.146	1	127	9.079	4.0
0.1	6	160	0.526	0.891	138.144	1	126	7.944	4.0
0.1	6	180	0.538	0.845	139.104	1	126	7.061	3.0
0.1	6	200	0.545	0.793	140.56	1	125	6.355	3.0
0.1	6	220	0.56	0.763	145.908	1	125	5.777	2.0
0.1	6	240	0.572	0.705	156.992	1	125	5.296	2.0
0.1	6	260	0.583	0.648	168.062	1	125	4.888	2.0
0.1	6	280	0.584	0.61	175.314	1	125	4.539	2.0
0.1	6	300	0.591	0.56	189.506	1	125	4.237	1.0
0.1	6	320	0.599	0.518	206.647	1	125	3.972	1.0
0.1	6	340	0.608	0.486	235.827	1	125	3.738	1.0
0.1	6	360	0.618	0.447	275.952	1	125	3.531	1.0
0.1	6	380	0.62	0.407	311.604	1	125	3.345	1.0
0.1	6	400	0.618	0.368	362.355	1	125	3.178	1.0
0.1	6	420	0.62	0.341	443.26	1	125	3.026	1.0
0.1	6	440	0.621	0.295	553.693	1	125	2.889	1.0
0.1	6	460	0.631	0.275	770.093	1	125	2.763	1.0
0.1	6	480	0.63	0.241	1021.303	1	125	2.648	1.0
0.1	6	500	0.634	0.221	1646.818	1	125	2.542	1.0
0.1	6	520	0.637	0.179	3000.463	1	125	2.444	1.0
0.1	6	540	0.634	0.136	7725.384	1	125	2.354	1.0
0.1	6	560	0.63	0.064	126815.063	1	125	2.27	1.0
0.1	6	580	0.63	0.067	219056.176	1	125	2.262	1.0
0.1	6	600	0.63	0.067	219056.176	1	125	2.262	1.0
0.1	7	20	0.339	1.487	212.023	13	364	63.55	36.0
0.1	7	40	0.379	1.361	165.854	3	202	31.775	16.0
0.1	7	60	0.446	1.265	162.524	1	180	21.183	13.0
0.1	7	80	0.482	1.156	153.12	1	180	15.888	8.5
0.1	7	100	0.498	1.056	143.238	1	180	12.71	6.0
0.1	7	120	0.504	1.053	142.254	1	127	10.592	5.0
0.1	7	140	0.524	0.975	143.666	1	127	9.079	4.0
0.1	7	160	0.533	0.895	142.238	1	126	7.944	4.0
0.1	7	180	0.545	0.846	144.83	1	126	7.061	3.0
0.1	7	200	0.552	0.803	145.402	1	126	6.355	2.5
0.1	7	220	0.563	0.763	151.902	1	126	5.777	2.0
0.1	7	240	0.572	0.7	158.996	1	125	5.296	2.0
0.1	7	260	0.582	0.651	169.737	1	125	4.888	2.0
0.1	7	280	0.595	0.625	182.523	1	125	4.539	2.0
0.1	7	300	0.602	0.576	196.968	1	125	4.237	1.5
0.1	7	320	0.609	0.525	214.853	1	125	3.972	1.0
0.1	7	340	0.615	0.484	241.345	1	125	3.738	1.0
0.1	7	360	0.62	0.453	278.307	1	125	3.531	1.0
0.1	7	380	0.628	0.423	331.514	1	125	3.345	1.0
0.1	7	400	0.625	0.381	382.832	1	125	3.178	1.0
0.1	7	420	0.625	0.339	471.601	1	125	3.026	1.0
0.1	7	440	0.628	0.295	595.248	1	125	2.889	1.0
0.1	7	460	0.632	0.271	775.942	1	125	2.763	1.0
0.1	7	480	0.629	0.239	1016.038	1	125	2.648	1.0
0.1	7	500	0.634	0.217	1613.482	1	125	2.542	1.0
0.1	7	520	0.637	0.177	3081.123	1	125	2.444	1.0
0.1	7	540	0.633	0.134	7353.136	1	125	2.354	1.0
0.1	7	560	0.63	0.061	124119.503	1	125	2.27	1.0
0.1	7	580	0.629	0.057	247316.187	1	125	2.262	1.0
0.1	7	600	0.629	0.057	247316.187	1	125	2.262	1.0
0.1	8	20	0.345	1.497	221.569	13	305	63.55	37.5
0.1	8	40	0.376	1.443	167.318	4	190	31.775	18.0
0.1	8	60	0.441	1.244	158.241	1	190	21.183	12.5
0.1	8	80	0.471	1.16	146.447	1	178	15.888	8.0
0.1	8	100	0.466	1.079	138.45	1	137	12.71	6.0
0.1	8	120	0.5	1.077	138.54	1	132	10.592	5.0
0.1	8	140	0.52	0.964	139.339	1	126	9.079	4.0
0.1	8	160	0.529	0.876	139.185	1	126	7.944	4.0
0.1	8	180	0.538	0.845	140.907	1	125	7.061	3.0
0.1	8	200	0.546	0.786	142.484	1	125	6.355	2.0
0.1	8	220	0.564	0.742	152.172	1	125	5.777	2.0
0.1	8	240	0.569	0.701	157.627	1	125	5.296	2.0
0.1	8	260	0.581	0.65	167.942	1	125	4.888	2.0
0.1	8	280	0.584	0.612	173.781	1	125	4.539	2.0
0.1	8	300	0.584	0.567	186.13	1	125	4.237	1.0
0.1	8	320	0.594	0.517	203.282	1	125	3.972	1.0
0.1	8	340	0.612	0.49	238.162	1	125	3.738	1.0
0.1	8	360	0.612	0.443	264.453	1	125	3.531	1.0
0.1	8	380	0.618	0.411	309.141	1	125	3.345	1.0
0.1	8	400	0.617	0.364	356.5	1	125	3.178	1.0
0.1	8	420	0.62	0.33	438.344	1	125	3.026	1.0
0.1	8	440	0.621	0.295	567.751	1	125	2.889	1.0
0.1	8	460	0.627	0.278	752.591	1	125	2.763	1.0
0.1	8	480	0.631	0.24	1033.769	1	125	2.648	1.0
0.1	8	500	0.634	0.222	1633.979	1	125	2.542	1.0
0.1	8	520	0.636	0.179	2993.856	1	125	2.444	1.0
0.1	8	540	0.633	0.136	7293.073	1	125	2.354	1.0
0.1	8	560	0.63	0.064	126815.063	1	125	2.27	1.0
0.1	8	580	0.631	0.063	341625.134	1	125	2.258	1.0
0.1	8	600	0.631	0.063	341625.134	1	125	2.258	1.0
0.1	9	20	0.323	1.356	215.781	5	338	63.55	39.0
0.1	9	40	0.4	1.305	170.068	4	225	31.775	16.5
0.1	9	60	0.455	1.244	164.171	1	181	21.183	12.0
0.1	9	80	0.484	1.127	152.249	1	181	15.888	8.0
0.1	9	100	0.492	1.037	141.496	1	177	12.71	6.0
0.1	9	120	0.5	1.089	138.817	1	127	10.592	5.0
0.1	9	140	0.517	0.982	138.549	1	127	9.079	4.0
0.1	9	160	0.526	0.872	137.021	1	126	7.944	4.0
0.1	9	180	0.539	0.824	138.471	1	126	7.061	3.0
0.1	9	200	0.549	0.767	140.863	1	126	6.355	2.0
0.1	9	220	0.558	0.719	144.024	1	126	5.777	2.0
0.1	9	240	0.57	0.686	156.967	1	125	5.296	2.0
0.1	9	260	0.58	0.636	165.408	1	125	4.888	2.0
0.1	9	280	0.582	0.598	170.922	1	125	4.539	2.0
0.1	9	300	0.589	0.561	187.25	1	125	4.237	1.0
0.1	9	320	0.609	0.516	214.401	1	125	3.972	1.0
0.1	9	340	0.612	0.478	237.126	1	125	3.738	1.0
0.1	9	360	0.613	0.438	266.44	1	125	3.531	1.0
0.1	9	380	0.616	0.401	304.223	1	125	3.345	1.0
0.1	9	400	0.619	0.371	359.045	1	125	3.178	1.0
0.1	9	420	0.619	0.329	428.948	1	125	3.026	1.0
0.1	9	440	0.628	0.305	611.45	1	125	2.889	1.0
0.1	9	460	0.633	0.275	794.67	1	125	2.763	1.0
0.1	9	480	0.633	0.25	1104.277	1	125	2.648	1.0
0.1	9	500	0.637	0.222	1752.148	1	125	2.542	1.0
0.1	9	520	0.637	0.178	3076.724	1	125	2.444	1.0
0.1	9	540	0.636	0.138	8267.465	1	125	2.354	1.0
0.1	9	560	0.63	0.066	107322.382	1	125	2.27	1.0
0.1	9	580	0.63	0.068	142139.065	1	125	2.266	1.0
0.1	9	600	0.63	0.068	142139.065	1	125	2.266	1.0
0.1	10	20	0.341	1.48	217.574	15	337	63.55	38.5
0.1	10	40	0.383	1.317	164.18	4	189	31.775	16.0
0.1	10	60	0.434	1.257	150.643	1	180	21.183	11.0
0.1	10	80	0.465	1.136	142.859	1	180	15.888	7.5
0.1	10	100	0.488	1.079	146.923	1	131	12.71	6.0
0.1	10	120	0.515	1.038	145.371	1	126	10.592	5.0
0.1	10	140	0.533	0.962	144.978	1	126	9.079	4.0
0.1	10	160	0.538	0.872	143.802	1	126	7.944	4.0
0.1	10	180	0.543	0.84	143.214	1	125	7.061	3.0
0.1	10	200	0.55	0.784	144.001	1	125	6.355	2.0
0.1	10	220	0.558	0.752	150.357	1	125	5.777	2.0
0.1	10	240	0.566	0.696	155.526	1	125	5.296	2.0
0.1	10	260	0.577	0.637	164.737	1	125	4.888	2.0
0.1	10	280	0.584	0.606	173.692	1	125	4.539	2.0
0.1	10	300	0.591	0.569	189.614	1	125	4.237	1.5
0.1	10	320	0.599	0.524	209.81	1	125	3.972	1.0
0.1	10	340	0.601	0.483	230.931	1	125	3.738	1.0
0.1	10	360	0.613	0.45	270.018	1	125	3.531	1.0
0.1	10	380	0.621	0.418	319.902	1	125	3.345	1.0
0.1	10	400	0.624	0.379	381.579	1	125	3.178	1.0
0.1	10	420	0.623	0.341	458.495	1	125	3.026	1.0
0.1	10	440	0.625	0.297	579.646	1	125	2.889	1.0
0.1	10	460	0.629	0.277	774.538	1	125	2.763	1.0
0.1	10	480	0.63	0.248	1040.184	1	125	2.648	1.0
0.1	10	500	0.635	0.217	1668.039	1	125	2.542	1.0
0.1	10	520	0.638	0.181	3079.983	1	125	2.444	1.0
0.1	10	540	0.634	0.136	7725.384	1	125	2.354	1.0
0.1	10	560	0.63	0.066	107322.382	1	125	2.27	1.0
0.1	10	580	0.63	0.068	142139.065	1	125	2.266	1.0
0.1	10	600	0.63	0.068	142139.065	1	125	2.266	1.0
0.1	11	20	0.324	1.372	210.656	5	330	63.55	37.5
0.1	11	40	0.373	1.392	166.954	4	202	31.775	18.5
0.1	11	60	0.426	1.214	148.578	1	180	21.183	10.5
0.1	11	80	0.476	1.126	149.002	1	180	15.888	7.5
0.1	11	100	0.488	1.049	138.093	1	176	12.71	6.0
0.1	11	120	0.485	1.041	134.393	1	135	10.592	5.0
0.1	11	140	0.514	0.945	135.788	1	126	9.079	4.0
0.1	11	160	0.523	0.869	136.384	1	126	7.944	3.5
0.1	11	180	0.535	0.849	138.38	1	125	7.061	3.0
0.1	11	200	0.542	0.792	139.116	1	125	6.355	2.0
0.1	11	220	0.556	0.739	146.438	1	125	5.777	2.0
0.1	11	240	0.567	0.7	155.626	1	125	5.296	2.0
0.1	11	260	0.581	0.655	167.685	1	125	4.888	2.0
0.1	11	280	0.585	0.623	175.434	1	125	4.539	2.0
0.1	11	300	0.588	0.578	188.746	1	125	4.237	1.5
0.1	11	320	0.598	0.538	208.586	1	125	3.972	1.0
0.1	11	340	0.614	0.495	241.528	1	125	3.738	1.0
0.1	11	360	0.616	0.451	274.83	1	125	3.531	1.0
0.1	11	380	0.618	0.415	310.935	1	125	3.345	1.0
0.1	11	400	0.62	0.37	371.311	1	125	3.178	1.0
0.1	11	420	0.62	0.333	448.349	1	125	3.026	1.0
0.1	11	440	0.623	0.298	571.371	1	125	2.889	1.0
0.1	11	460	0.627	0.264	729.531	1	125	2.763	1.0
0.1	11	480	0.629	0.232	989.321	1	125	2.648	1.0
0.1	11	500	0.634	0.215	1651.098	1	125	2.542	1.0
0.1	11	520	0.638	0.184	3072.187	1	125	2.444	1.0
0.1	11	540	0.636	0.138	8267.465	1	125	2.354	1.0
0.1	11	560	0.63	0.066	107322.382	1	125	2.27	1.0
0.1	11	580	0.63	0.063	282118.406	1	125	2.262	1.0
0.1	11	600	0.63	0.063	282118.406	1	125	2.262	1.0
0.1	12	20	0.337	1.512	222.875	5	301	63.55	47.0
0.1	12	40	0.366	1.411	164.665	4	189	31.775	18.5
0.1	12	60	0.429	1.231	149.885	1	177	21.183	11.0
0.1	12	80	0.463	1.122	141.667	1	177	15.888	7.0
0.1	12	100	0.487	1.044	137.938	1	169	12.71	6.0
0.1	12	120	0.504	1.021	134.134	1	168	10.592	5.0
