bisecting_strategy	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
biggest_inertia	20	0.3	1.584	209.853	16	181	63.55	57.0
biggest_inertia	40	0.37	1.555	162.757	2	130	31.775	27.0
biggest_inertia	60	0.412	1.466	145.188	1	130	21.183	15.0
biggest_inertia	80	0.44	1.377	132.831	1	128	15.888	11.0
biggest_inertia	100	0.468	1.311	126.247	1	128	12.71	8.0
biggest_inertia	120	0.497	1.233	119.889	1	128	10.592	6.0
biggest_inertia	140	0.516	1.199	117.83	1	125	9.079	5.0
biggest_inertia	160	0.531	1.125	118.509	1	125	7.944	4.0
biggest_inertia	180	0.552	1.054	121.778	1	125	7.061	4.0
biggest_inertia	200	0.559	0.998	122.151	1	125	6.355	3.0
biggest_inertia	220	0.566	0.964	123.654	1	125	5.777	3.0
biggest_inertia	240	0.572	0.906	129.351	1	125	5.296	3.0
biggest_inertia	260	0.58	0.858	137.537	1	125	4.888	2.0
biggest_inertia	280	0.587	0.816	147.214	1	125	4.539	2.0
biggest_inertia	300	0.591	0.769	161.782	1	125	4.237	2.0
biggest_inertia	320	0.596	0.726	173.984	1	125	3.972	2.0
biggest_inertia	340	0.602	0.67	193.14	1	125	3.738	2.0
biggest_inertia	360	0.612	0.609	217.578	1	125	3.531	1.0
biggest_inertia	380	0.615	0.562	249.312	1	125	3.345	1.0
biggest_inertia	400	0.622	0.494	303.025	1	125	3.178	1.0
biggest_inertia	420	0.627	0.457	365.963	1	125	3.026	1.0
biggest_inertia	440	0.635	0.409	477.445	1	125	2.889	1.0
biggest_inertia	460	0.638	0.346	669.262	1	125	2.763	1.0
biggest_inertia	480	0.641	0.312	965.526	1	125	2.648	1.0
biggest_inertia	500	0.641	0.247	1604.189	1	125	2.542	1.0
biggest_inertia	520	0.641	0.209	2883.409	1	125	2.444	1.0
biggest_inertia	540	0.636	0.161	7350.032	1	125	2.354	1.0
biggest_inertia	560	0.63	0.071	122357.544	1	125	2.27	1.0
biggest_inertia	580	0.63	0.0	4640278157126.173	1	125	2.254	1.0
biggest_inertia	600	0.63	0.0	4640278157126.173	1	125	2.254	1.0
