init	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
k-means++	10	0.313	1.535	281.734	27	511	127.1	76.5
k-means++	20	0.342	1.41	252.362	16	374	63.55	44.5
k-means++	30	0.393	1.38	216.861	9	181	42.367	32.0
k-means++	40	0.413	1.406	192.422	1	141	31.775	24.0
k-means++	50	0.444	1.272	180.724	1	125	25.42	18.0
k-means++	60	0.463	1.248	184.344	4	125	21.183	15.0
k-means++	70	0.496	1.24	176.047	3	125	18.157	12.0
k-means++	80	0.498	1.223	163.858	1	125	15.888	11.0
k-means++	90	0.521	1.195	160.08	1	125	14.122	9.0
k-means++	100	0.533	1.167	155.207	1	125	12.71	8.5
k-means++	110	0.533	1.158	149.247	1	125	11.555	7.0
k-means++	120	0.549	1.12	147.678	1	125	10.592	7.0
k-means++	130	0.557	1.06	147.752	1	125	9.777	6.0
k-means++	140	0.558	1.023	145.672	1	125	9.079	5.0
k-means++	150	0.563	0.964	147.294	1	125	8.473	5.0
k-means++	160	0.568	0.933	147.502	1	125	7.944	4.5
k-means++	170	0.572	0.887	148.009	1	125	7.476	4.0
k-means++	180	0.576	0.844	148.552	1	125	7.061	4.0
k-means++	190	0.578	0.815	148.357	1	125	6.689	3.0
k-means++	200	0.582	0.791	149.955	1	125	6.355	3.0
k-means++	210	0.585	0.759	151.352	1	125	6.052	3.0
k-means++	220	0.588	0.737	153.624	1	125	5.777	2.0
k-means++	230	0.591	0.723	155.478	1	125	5.526	2.0
k-means++	240	0.597	0.698	161.4	1	125	5.296	2.0
k-means++	250	0.6	0.673	164.063	1	125	5.084	2.0
k-means++	260	0.603	0.656	168.767	1	125	4.888	2.0
k-means++	270	0.606	0.637	174.419	1	125	4.707	2.0
k-means++	280	0.608	0.61	180.111	1	125	4.539	1.0
k-means++	290	0.61	0.593	188.43	1	125	4.383	1.0
k-means++	300	0.612	0.566	198.186	1	125	4.237	1.0
k-means++	310	0.613	0.55	205.729	1	125	4.1	1.0
k-means++	320	0.612	0.53	212.572	1	125	3.972	1.0
k-means++	330	0.615	0.515	223.882	1	125	3.852	1.0
k-means++	340	0.616	0.498	235.923	1	125	3.738	1.0
k-means++	350	0.617	0.479	250.193	1	125	3.631	1.0
k-means++	360	0.618	0.455	267.774	1	125	3.531	1.0
k-means++	370	0.62	0.432	288.575	1	125	3.435	1.0
k-means++	380	0.623	0.417	316.488	1	125	3.345	1.0
k-means++	390	0.627	0.395	350.446	1	125	3.259	1.0
k-means++	400	0.624	0.383	376.563	1	125	3.178	1.0
k-means++	410	0.622	0.369	419.21	1	125	3.1	1.0
k-means++	420	0.625	0.353	462.404	1	125	3.026	1.0
k-means++	430	0.626	0.344	507.704	1	125	2.956	1.0
k-means++	440	0.628	0.326	568.243	1	125	2.889	1.0
k-means++	450	0.628	0.31	649.357	1	125	2.824	1.0
k-means++	460	0.629	0.291	738.308	1	125	2.763	1.0
k-means++	470	0.631	0.28	874.823	1	125	2.704	1.0
k-means++	480	0.633	0.254	1043.909	1	125	2.648	1.0
k-means++	490	0.632	0.235	1278.06	1	125	2.594	1.0
k-means++	500	0.633	0.216	1618.367	1	125	2.542	1.0
k-means++	510	0.638	0.201	2309.085	1	125	2.492	1.0
k-means++	520	0.64	0.184	3153.511	1	125	2.444	1.0
k-means++	530	0.639	0.162	4640.66	1	125	2.398	1.0
k-means++	540	0.637	0.139	8318.712	1	125	2.354	1.0
k-means++	550	0.633	0.111	17851.177	1	125	2.311	1.0
k-means++	560	0.629	0.068	100142.751	1	125	2.27	1.0
k-means++	570	0.5	0.079	12129981762897.373	1	63	2.238	1.0
k-means++	580	0.571	0.021	4665132514280.468	1	125	2.23	1.0
k-means++	590	0.485	0.029	4747089328118.146	1	124	2.238	1.0
k-means++	600	0.504	0.012	4761392148584.892	1	124	2.246	1.0
random	10	0.329	1.265	310.627	16	431	127.1	61.0
random	20	0.345	1.485	243.598	16	200	63.55	44.0
random	30	0.369	1.472	206.658	4	155	42.367	36.0
random	40	0.406	1.271	191.696	1	176	31.775	19.5
random	50	0.423	1.249	179.81	1	183	25.42	17.0
random	60	0.462	1.254	167.083	1	184	21.183	13.0
random	70	0.461	1.215	162.288	1	125	18.157	13.0
random	80	0.467	1.249	147.954	1	125	15.888	12.0
random	90	0.469	1.082	142.038	1	145	14.122	7.0
random	100	0.503	1.086	138.338	1	125	12.71	9.0
random	110	0.505	1.185	134.175	1	125	11.555	7.5
random	120	0.494	1.129	134.47	1	125	10.592	7.5
random	130	0.516	0.999	130.286	1	125	9.777	5.0
random	140	0.518	0.965	129.109	1	125	9.079	5.0
random	150	0.533	0.938	129.724	1	125	8.473	4.0
random	160	0.54	0.903	128.012	1	125	7.944	4.0
random	170	0.545	0.937	125.945	1	125	7.476	3.5
random	180	0.545	0.922	126.612	1	125	7.061	4.0
random	190	0.536	0.893	128.364	1	125	6.689	3.0
random	200	0.566	0.82	131.49	1	125	6.355	3.0
random	210	0.551	0.839	131.203	1	125	6.052	3.0
random	220	0.543	0.842	136.188	1	125	5.777	3.0
random	230	0.562	0.81	137.224	1	125	5.526	2.0
random	240	0.543	0.839	137.329	1	125	5.296	2.0
random	250	0.569	0.779	144.207	1	125	5.084	2.0
random	260	0.569	0.769	145.936	1	125	4.888	2.0
random	270	0.59	0.755	148.123	1	125	4.707	2.0
random	280	0.584	0.699	153.254	1	125	4.539	1.5
random	290	0.571	0.702	155.523	1	125	4.383	1.0
random	300	0.575	0.675	162.698	1	125	4.237	1.0
random	310	0.563	0.656	168.601	1	125	4.1	1.0
random	320	0.564	0.642	176.604	1	125	3.972	1.0
random	330	0.59	0.621	183.852	1	125	3.852	1.0
random	340	0.578	0.577	196.246	1	125	3.738	1.0
random	350	0.481	0.584	205.031	1	124	3.631	1.0
random	360	0.504	0.569	218.513	1	124	3.531	1.0
random	370	0.611	0.532	237.66	1	125	3.435	1.0
random	380	0.615	0.511	259.686	1	125	3.345	1.0
random	390	0.572	0.504	280.979	1	125	3.259	1.0
random	400	0.501	0.5	296.784	1	124	3.178	1.0
random	410	0.619	0.454	344.262	1	125	3.1	1.0
random	420	0.595	0.448	380.069	1	125	3.026	1.0
random	430	0.603	0.428	422.595	1	125	2.956	1.0
random	440	0.598	0.399	463.814	1	125	2.889	1.0
random	450	0.605	0.389	526.113	1	125	2.824	1.0
random	460	0.528	0.364	599.12	1	124	2.763	1.0
random	470	0.632	0.352	689.363	1	125	2.704	1.0
random	480	0.596	0.324	823.302	1	125	2.648	1.0
random	490	0.609	0.299	989.091	1	125	2.594	1.0
random	500	0.605	0.276	1330.286	1	125	2.542	1.0
random	510	0.606	0.253	1663.442	1	125	2.492	1.0
random	520	0.636	0.237	2223.633	1	125	2.444	1.0
random	530	0.589	0.23	3123.438	1	125	2.403	1.0
random	540	0.634	0.177	5808.384	1	125	2.354	1.0
random	550	0.63	0.144	11354.931	1	125	2.311	1.0
random	560	0.528	0.087	57902.847	1	124	2.27	1.0
random	570	0.516	0.15	11832522164162.703	1	62	2.242	1.0
random	580	0.491	0.026	4607263002871.049	1	124	2.23	1.0
random	590	0.485	0.016	4625101103069.14	1	124	2.234	1.0
random	600	0.467	0.099	11438674837459.893	1	63	2.23	1.0
