bandwidth	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score	n_clusters	min(cluster_size)	max(cluster_size)	mean(cluster_size)	median(cluster_size)
0.05	0.63	0.0	4640278157126.173	564	1	125	2.254	1.0
0.1	0.63	0.026	1590443.902	563	1	125	2.258	1.0
0.15	0.63	0.026	1590443.902	563	1	125	2.258	1.0
0.2	0.63	0.069	82523.53	559	1	125	2.274	1.0
0.25	0.631	0.076	50306.187	557	1	125	2.282	1.0
0.3	0.631	0.123	10884.009	548	1	125	2.319	1.0
0.35	0.63	0.131	6756.973	542	1	125	2.345	1.0
0.4	0.628	0.151	3555.232	532	1	125	2.389	1.0
0.45	0.623	0.193	1516.698	509	1	125	2.497	1.0
0.5	0.598	0.23	665.698	488	1	125	2.605	1.0
0.55	0.59	0.25	500.876	473	1	125	2.687	1.0
0.6	0.583	0.274	339.545	449	1	125	2.831	1.0
0.65	0.576	0.28	296.403	436	1	125	2.915	1.0
0.7	0.566	0.317	229.571	416	1	129	3.055	1.0
0.75	0.567	0.332	204.168	402	1	137	3.162	1.0
0.8	0.561	0.364	183.663	385	1	137	3.301	1.0
0.85	0.554	0.397	164.332	366	1	137	3.473	1.0
0.9	0.553	0.421	151.214	346	1	138	3.673	1.0
0.95	0.541	0.452	128.068	317	1	151	4.009	1.0
1.0	0.531	0.464	113.653	303	1	176	4.195	1.0
1.05	0.525	0.523	107.299	270	1	178	4.707	1.0
1.1	0.508	0.556	92.083	245	1	197	5.188	1.0
1.15	0.492	0.585	85.448	220	1	216	5.777	1.0
1.2	0.489	0.606	85.498	200	1	216	6.355	1.0
1.25	0.458	0.622	78.778	180	1	244	7.061	1.0
1.3	0.415	0.677	71.876	152	1	285	8.362	1.0
1.35	0.366	0.709	61.109	137	1	306	9.277	1.0
1.4	0.356	0.72	63.085	121	1	330	10.504	1.0
1.45	0.358	0.8	66.616	107	1	343	11.879	1.0
1.5	0.388	0.798	80.589	94	1	353	13.521	1.5
1.55	0.379	0.786	81.429	84	1	379	15.131	1.0
1.6	0.343	0.968	80.672	73	1	398	17.411	2.0
1.65	0.299	0.981	74.911	55	1	543	23.109	3.0
1.7	0.3	0.975	79.32	51	1	535	24.922	3.0
1.75	0.296	1.144	84.561	45	1	535	28.244	6.0
1.8	0.282	1.197	92.012	36	1	600	35.306	5.0
1.85	0.284	1.137	95.06	32	1	623	39.719	5.0
1.9	0.281	1.27	101.323	28	1	669	45.393	10.5
1.95	0.287	1.292	109.675	24	1	697	52.958	11.0
2.0	0.272	1.289	114.766	21	1	733	60.524	13.0
