threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.1	5	20	0.346	1.44	177.754
0.1	5	40	0.387	1.307	139.626
0.1	5	60	0.432	1.188	123.507
0.1	5	80	0.459	1.122	118.692
0.1	5	100	0.488	1.036	117.134
0.1	5	120	0.511	0.94	117.964
0.1	5	140	0.524	0.867	120.592
0.1	5	160	0.539	0.805	124.778
0.1	5	180	0.547	0.74	129.102
0.1	5	200	0.557	0.687	135.627
0.1	5	220	0.565	0.63	144.046
0.1	5	240	0.571	0.581	153.382
0.1	5	260	0.583	0.537	172.128
0.1	5	280	0.593	0.486	196.126
0.1	5	300	0.597	0.44	224.906
0.1	5	320	0.602	0.396	268.395
0.1	5	340	0.608	0.354	339.407
0.1	5	360	0.609	0.314	435.133
0.1	5	380	0.614	0.273	614.233
0.1	5	400	0.619	0.239	949.645
0.1	5	420	0.622	0.199	1708.716
0.1	5	440	0.622	0.155	4250.185
0.1	5	460	0.62	0.1	68547.883
0.1	5	480	0.618	0.056	261549.942
0.1	5	500	0.618	0.051	283282.057
0.1	5	520	0.618	0.051	283282.057
0.1	5	540	0.618	0.051	283282.057
0.1	5	560	0.618	0.051	283282.057
0.1	5	580	0.618	0.051	283282.057
0.1	5	600	0.618	0.051	283282.057
0.1	6	20	0.341	1.427	175.97
0.1	6	40	0.397	1.276	141.451
0.1	6	60	0.434	1.203	125.88
0.1	6	80	0.462	1.112	119.328
0.1	6	100	0.489	1.04	119.83
0.1	6	120	0.507	0.957	118.998
0.1	6	140	0.525	0.874	121.803
0.1	6	160	0.542	0.805	125.703
0.1	6	180	0.551	0.745	130.412
0.1	6	200	0.56	0.69	136.602
0.1	6	220	0.572	0.633	146.45
0.1	6	240	0.581	0.582	158.023
0.1	6	260	0.586	0.539	174.12
0.1	6	280	0.599	0.494	199.973
0.1	6	300	0.6	0.445	227.649
0.1	6	320	0.607	0.401	274.912
0.1	6	340	0.615	0.359	352.613
0.1	6	360	0.617	0.317	470.372
0.1	6	380	0.618	0.276	648.901
0.1	6	400	0.62	0.241	957.819
0.1	6	420	0.623	0.202	1697.052
0.1	6	440	0.624	0.158	4417.588
0.1	6	460	0.62	0.103	61214.196
0.1	6	480	0.618	0.057	567620021593.263
0.1	6	500	0.618	0.052	567620043409.171
0.1	6	520	0.618	0.052	567620043409.171
0.1	6	540	0.618	0.052	567620043409.171
0.1	6	560	0.618	0.052	567620043409.171
0.1	6	580	0.618	0.052	567620043409.171
0.1	6	600	0.618	0.052	567620043409.171
0.1	7	20	0.344	1.433	176.872
0.1	7	40	0.394	1.282	140.741
0.1	7	60	0.438	1.19	125.249
0.1	7	80	0.46	1.101	117.946
0.1	7	100	0.491	1.024	118.377
0.1	7	120	0.508	0.956	117.71
0.1	7	140	0.524	0.865	121.281
0.1	7	160	0.537	0.798	124.5
0.1	7	180	0.547	0.742	128.632
0.1	7	200	0.556	0.683	134.226
0.1	7	220	0.566	0.63	144.023
0.1	7	240	0.576	0.581	155.752
0.1	7	260	0.583	0.538	172.067
0.1	7	280	0.594	0.489	196.635
0.1	7	300	0.597	0.443	224.684
0.1	7	320	0.602	0.398	267.805
0.1	7	340	0.607	0.354	335.203
0.1	7	360	0.609	0.314	439.362
0.1	7	380	0.612	0.274	612.014
0.1	7	400	0.618	0.243	950.868
0.1	7	420	0.623	0.202	1713.034
0.1	7	440	0.624	0.158	4544.706
0.1	7	460	0.62	0.099	65178.641
0.1	7	480	0.618	0.059	170451.622
0.1	7	500	0.618	0.053	192183.737
0.1	7	520	0.618	0.053	192183.737
0.1	7	540	0.618	0.053	192183.737
0.1	7	560	0.618	0.053	192183.737
0.1	7	580	0.618	0.053	192183.737
0.1	7	600	0.618	0.053	192183.737
0.1	8	20	0.351	1.411	179.156
