Cluster	Cluster size	Drugs
0	125	1-(3-chlorophenyl)biguanide;1-Sarcosine-8-Isoleucine Angiotensin II;3,4-dihydropapaverine;5-(dimethylamino)-N-(3,4-dimethyl-5-isoxazolyl)-1-naphthalenesulfonamide;5-hydroxydecanoic acid;5-methylurapidil;6-Cyano-7-nitroquinoxaline-2,3-dione;8-Hydroxy-2-(di-n-propylamino)tetralin;Adrenomedullin;AH 23848;Amitrole;angiotensin II, Sar(1)-Thr(8)-;Apomorphine;AR-C239;aranidipine;benazeprilat;benzylguanidine;bevantolol;bopindolol;BQ 22-708;brefanolol;Bromazepam;Bupranolol;cadralazine;Canrenone;celivarone;Cetrimonium;CGP 48369;Chloralose;Chlorisondamine;Chlorpromazine;Clopamide;cyclothiazide;Debrisoquin;delapril;Desoxycorticosterone;Dexetimide;Dibenz(b,f)(1,4)oxazepine-10(11H)-carboxylic acid, 8-chloro-, 2-acetylhydrazide;Diethylcarbamazine;Diethylstilbestrol;Dihydroergotoxine;Diosgenin;Dyphylline;efonidipine;elgodipine;embusartan;Enkephalin, Ala(2)-MePhe(4)-Gly(5)-;Enkephalin, Leucine-2-Alanine;Fenoldopam;fimasartan;flesinoxan;Flunitrazepam;flutonidine;FR 139317;furegrelate;gamma-Aminobutyric Acid;Guanabenz;guanadrel;guanoxan;hydrochlorothiazide-triamterene;Hydrogen Sulfide;idrapril;imperatorin;Indolapril;Indoramin;Inulin;Isocarboxazid;Isoxsuprine;lercanidipine;LF 2-0254;Linseed Oil;Lorazepam;manidipine;Mecamylamine;Meclofenamic Acid;mepirodipine;Methyclothiazide;methylatropine;methyllycaconitine;Metipranolol;Metolazone;Metyrapone;Mifepristone;MK 761;moexipril;Mycophenolic Acid;N-isobutyl-1,2-diphenylethanolamine;N-methyl-1,2-diphenylethanolamine;Nicergoline;PD 145065;Penbutolol;perindoprilat;phosphoramidon;piperine;Pirenzepine;Propylthiouracil;quinaprilat;rentiapril;Ro 31-6930;Rotenone;saprisartan potassium;Saralasin;SL 84.0418;spirapril;SQ 29548;Succimer;sulfinalol;tangeretin;Terazosin;Thyroxine;tiamenidine;Ticrynafen;tolamolol;Trichlormethiazide;trigonelline;trimazosin;trimethaphan camsylate;Tubocurarine;Urethane;vasopressin, 1-(1-mercaptocyclohexaneacetic acid)-2-(O- methyl-L-tyrosine)-8-L-arginine-;xanthone;Xipamide;Y 27632;zaprinast;zopolrestat
14	56	2-methoxyidazoxan;5,6-Dihydroxytryptamine;5,7-Dihydroxytryptamine;7,8-dichloro-1,2,3,4-tetrahydroisoquinoline;8-(3-chlorostyryl)caffeine;8-(4-sulfophenyl)theophylline;8-phenyltheophylline;Agmatine;Ambenonium Chloride;Amphetamine;Arecoline;Arginine Vasopressin;Baclofen;Bicuculline;bradykinin, 1-adamantanecarboxylic acid-Arg(0)-Hyp(3)-Thi(5,8)-Phe(7)-;Cimetidine;Clorgyline;Corticosterone;corticotropin releasing hormone (9-41);Cyanamide;deacetylmoxisylyte;Dimethyl Sulfoxide;DSP 4;efaroxan;Ethacrynic Acid;fluparoxan;ginkgolide B;Glucose;icatibant;L 657743;Mephentermine;Metaraminol;Methapyrilene;Methoxamine;Methylene Blue;Metiamide;Metoclopramide;Mivacurium;Moclobemide;Moxisylyte;Obidoxime Chloride;peoniflorin;Picrotoxin;Polygeline;Remoxipride;S 9871;Sulpiride;Tacrine;Tetrabenazine;tetramethylenedisulfotetramine;Thiopental;Tranylcypromine;triclocarban;U 37883A;urovision;Vasopressins
8	37	17-pentylsparteine;2-(2-benzofuranyl)-2-imidazoline;3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer;7-oxoprostaglandin I2;AHR 10718;Benzyl Alcohol;bucumolol;dauricine;diacetolol;Dynorphins;E 4031;EO 122;fusaric acid N,N-diethylaminoethylamide;gluconic acid;GYKI 23107;Histamine;ifenprodil;isoteolin;KT 362;mixidine;MK 142;morphiceptin;nicainoprol;nifenalol;O-demethylencainide;otenzepad;Papaverine;Piperazine;pirmenol;pronethalol;propisomide;Propofol;SC 36602;sematilide;Sparteine;tobanum;Trifluoperazine
13	36	2-furoic acid;2-tert-butyl-4-methylphenol;3',5'-dichloromethotrexate;4-hydroxypyrazole;9-deoxy-delta-9-prostaglandin D2;Afatinib;Alitretinoin;Anethole Trithione;Azacitidine;baicalein;bromebric acid;butenolide;Buthionine Sulfoximine;Butyric Acid;Canertinib;Cantharidin;Chalcone;chlorozotocin;Cladribine;cyclopamine;Deoxyglucose;Epirubicin;Etanidazole;Etoposide;Inositol;Isotretinoin;Lomustine;Mesna;Methoxsalen;Misonidazole;Nimustine;Phytic Acid;Phytol;Silybin;sulindac sulfone;Vindesine
20	34	3-hydroxyflavone;4-hydroxycoumarin;4,4'-diaminodiphenylmethane;betulinic acid;brazilein;brucine;Cannabidiol;cimadronate;Clodronic Acid;Cysteamine;Cytarabine;Dacarbazine;doxifluridine;Fadrozole;Floxuridine;gingerol;glaucocalyxin A;hinokiflavone;isoliquiritigenin;Ivermectin;ixabepilone;Melitten;ML 7;ML 9;naphthalene;naphtho(1,2-b)furan-4,5-dione;Nitrofurazone;pentaacetyl geniposide;salinomycin;Semustine;Thiotepa;triptonide;Uracil;Vinblastine
6	26	14-dehydroxy-3-glucodigitoxigenin;3-(2,2,2-trimethylhydrazine)propionate;3-(3,4-difluorophenyl)-4-(4-(methylsulfonyl)phenyl)-2(5H)-furanone;3-methyladenine;acetylstrophanthidin;bucindolol;Captopril;CGS 26303;denopamine;enrasentan;etomoxir;fidarestat;FK 664;Inosine Diphosphate;LND 623;MCI 154;MS 857;Natriuretic Peptide, Brain;NSP 804;NSP 805;olprinone;Ouabain;pitavastatin;sulmazole;Tolvaptan;vesnarinone
17	25	2,5-dihydroxybenzoic acid;4(G)-alpha-glucopyranosyl-rutin;5,5-dimethyl-1-pyrroline-1-oxide;6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid;Acetylcarnitine;anipamil;boric acid;clentiazem;Daunorubicin;Deferiprone;Deferoxamine;ebselen;erdosteine;fructose-1,6-diphosphate;indole-3-carbinol;Inosine;lupeol;Luteolin;N-benzyladriamycin-14-valerate;phenyl-N-tert-butylnitrone;propionylcarnitine;Propolis;Pyridoxamine;tanshinone II A sodium sulfonate;tetrathiomolybdate
34	24	aceclofenac;alclofenac;Aurothioglucose;benorilate;bucillamine;Chlorambucil;Chlormezanone;diftalone;Edaravone;fenclofenac;Flurbiprofen;Gold;Gold Sodium Thiomalate;Leflunomide;Levamisole;Nabumetone;oxymatrine;Oxyphenbutazone;Ozone;pirprofen;Prospidium;rifamycin SV;tenidap;Tiopronin
12	20	2-chloro-N(6)-(3-iodobenzyl)adenosine-5'-N-methyluronamide;2-Chloroadenosine;4-phenylbutyric acid;6-methyl-1,2,3,5-tetrahydroimidazo(2,1-b)quinazolin-2-one hydrochloride;Alprazolam;bisabolol;duteplase;Ellagic Acid;ginkgolic acid;ginsenoside Rd;myricetin;Pentazocine;prostaglandin A1;S-allylcysteine;Safflower Oil;sesamol;sodium thiosulfate;Squalene;tetrandrine;triflusal
52	19	alpha-naphthoflavone;Aminorex;azoxystrobin;davallialactone;deoxynivalenol;Diethylhexyl Phthalate;Diethylpropion;Fluvoxamine;FR 64822;glabridin;Harmine;Margarine;phendimetrazine;Poloxamer;Polylysine;puag-haad;raspberry ketone;Sertraline;sibutramine
78	16	apaflurane;bitolterol;Carbimazole;Cyclic AMP;doqualast;doxofylline;Emodin;methylxanthine;Nedocromil;oxitropium;Phenobarbital;Procaterol;syringin;tranilast;Triamcinolone Acetonide;tulobuterol
43	15	AHR 12234;amafolone;fluroxene;fosphenytoin;indecainide;Innovar;Magnesium Chloride;Methoxyflurane;pranolium;quinacainol;R 56865;Sodium Lactate;Soybean Oil;Tetrodotoxin;tilisolol
27	14	6-methyl-1,3,8-trichlorodibenzofuran;Carmustine;deguelin;formosanin C;Ifosfamide;Leucovorin;Linoleic Acid;Medroxyprogesterone;Mitomycin;Picibanil;RTKI cpd;Tegafur;trichostatin A;Vinorelbine
92	14	azabicyclane;Camphor;cefpodoxime;Codeine;Dextrorphan;dimemorfan;dipropizine;drotebanol;glaucine;Hydrocodone;Meperidine;moguisteine;Noscapine;Oxymorphone
26	13	5,6,7,8-tetrahydrofolic acid;Acitretin;CDP 840;cefuroxime axetil;Didanosine;edoxaban;Indinavir;Lignin;lycorine;Pentamidine;tetrakis(N-methyl-4-pyridiniumyl)porphine manganese(III) complex;Uric Acid;Zidovudine
56	13	aluminum sulfate;Betahistine;Carnosine;cupric acetate;delphinidin;Estriol;Ethinyl Estradiol-Norgestrel Combination;hexarelin;myricitrin;Paraoxon;Salicylic Acid;theaflavin;Tungsten
2	12	1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester;bepafant;BN 52256;bumecain;cicarperone;Cinnarizine;clofilium;meobentine;Methacholine Chloride;metylperon;monoethylglycinexylidide;Pentobarbital
18	12	2''-galloylhyperin;5,8,11,14-Eicosatetraynoic Acid;alkannin;allyl sulfide;beta-Naphthoflavone;Boron;enterotoxin C, staphylococcal;eriodictyol;ethyl pyruvate;procyanidin B2;wogonin;zerumbone
28	12	7-hydroxycoumarin;AICA ribonucleotide;corilagin;Hesperidin;Iproniazid;Methazolamide;N-(8-amino-1-carboxyoctyl)-alanyl-proline;Phenelzine;plantamajoside;polydatin;pyrvinium;sinapinic acid
16	11	2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine;amitriptyline N-oxide;Clonazepam;Doxepin;Flurazepam;Mefloquine;Modafinil;Nitrazepam;Risperidone;Temazepam;Triazolam
73	11	andrographolide;anemarsaponin B;azadirachtin;Calcium Carbonate;dibenzothiophene-4-carboxylic acid;Etidronic Acid;icariin;Levonorgestrel;Nandrolone Decanoate;Teriparatide;Vitamin K 2
7	9	15-crown-5;2-phenylaminoadenosine;bivalirudin;echinocystic acid;N(6)-cyclohexyladenosine;Nicotinyl Alcohol;Procaine;Pyridostigmine Bromide;ursolic acid
15	9	2-tert-butylhydroquinone;Aminooxyacetic Acid;Chlorthalidone;cilnidipine;heme arginate;ICI D8731;oleuropein;prolinedithiocarbamate;tempol
39	9	Acetylcholine;Dihydroergocristine;Haloperidol;Hemicholinium 3;Hexamethonium;Naltrexone;Oxidopamine;Piperoxan;tertatolol
57	9	amezinium;dimethophrine;Droxidopa;Ergotamine;fludrocortisone acetate;Heptaminol;norfenefrine;Protriptyline;Vitamin B 12
30	8	9,9-dimethylcarbazine;Aminosalicylic Acid;Chenodeoxycholic Acid;Ethionamide;Kanamycin;terizidone;Thioacetazone;Viomycin
187	8	Cromakalim;Nimodipine;Pargyline;Progesterone;ramiprilat;Reserpine;Rilmenidine;Triamterene
149	7	Cefazolin;Cefepime;Cefotetan;Chloramphenicol;Daptomycin;Fusidic Acid;Methicillin
